danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.558,0.534,9,-13.355,0,0.957,0.68,0.0,0.102,0.511,178.368,audio_features,093RivoXCivJPm372opl5Q,spotify:track:093RivoXCivJPm372opl5Q,https://api.spotify.com/v1/tracks/093RivoXCivJPm372opl5Q,https://api.spotify.com/v1/audio-analysis/093RivoXCivJPm372opl5Q,153333,4,Dear Diary : 2016.07.29,ZERO : FEVER Part.1,2020-07-29,01IFxHiVOY6uf3vUFVXEoI,ATEEZ
0.646,0.86,7,-2.409,1,0.0912,0.135,0.0,0.131,0.711,92.962,audio_features,2dPETee06bbHulsABk0h7I,spotify:track:2dPETee06bbHulsABk0h7I,https://api.spotify.com/v1/tracks/2dPETee06bbHulsABk0h7I,https://api.spotify.com/v1/audio-analysis/2dPETee06bbHulsABk0h7I,204040,4,FEVER,ZERO : FEVER Part.1,2020-07-29,01IFxHiVOY6uf3vUFVXEoI,ATEEZ
0.604,0.961,4,-1.692,0,0.165,0.0395,0.0,0.242,0.645,164.847,audio_features,0YXpDiXEQlRmVSAFcub7sE,spotify:track:0YXpDiXEQlRmVSAFcub7sE,https://api.spotify.com/v1/tracks/0YXpDiXEQlRmVSAFcub7sE,https://api.spotify.com/v1/audio-analysis/0YXpDiXEQlRmVSAFcub7sE,181147,4,THANXX,ZERO : FEVER Part.1,2020-07-29,01IFxHiVOY6uf3vUFVXEoI,ATEEZ
0.774,0.926,1,-2.973,0,0.218,0.108,0.0,0.301,0.864,74.979,audio_features,3c8UznwIeQjux7OWT0Wa0s,spotify:track:3c8UznwIeQjux7OWT0Wa0s,https://api.spotify.com/v1/tracks/3c8UznwIeQjux7OWT0Wa0s,https://api.spotify.com/v1/audio-analysis/3c8UznwIeQjux7OWT0Wa0s,181880,4,TO THE BEAT,ZERO : FEVER Part.1,2020-07-29,01IFxHiVOY6uf3vUFVXEoI,ATEEZ
0.607,0.886,4,-3.77,0,0.0847,0.108,0.0,0.31,0.616,149.941,audio_features,7zC6xvBPnIC92K06pMpstY,spotify:track:7zC6xvBPnIC92K06pMpstY,https://api.spotify.com/v1/tracks/7zC6xvBPnIC92K06pMpstY,https://api.spotify.com/v1/audio-analysis/7zC6xvBPnIC92K06pMpstY,210813,4,INCEPTION,ZERO : FEVER Part.1,2020-07-29,01IFxHiVOY6uf3vUFVXEoI,ATEEZ
0.602,0.924,9,-2.372,0,0.0763,0.151,0.0,0.369,0.732,146.018,audio_features,5U8pXQSdhTtQ8bp6K6vb9Y,spotify:track:5U8pXQSdhTtQ8bp6K6vb9Y,https://api.spotify.com/v1/tracks/5U8pXQSdhTtQ8bp6K6vb9Y,https://api.spotify.com/v1/audio-analysis/5U8pXQSdhTtQ8bp6K6vb9Y,205853,4,Good Lil Boy,ZERO : FEVER Part.1,2020-07-29,01IFxHiVOY6uf3vUFVXEoI,ATEEZ
0.723,0.681,1,-4.082,1,0.063,0.197,0.0,0.109,0.382,101.015,audio_features,1eFk8R4OobU7kaAZdfYBKz,spotify:track:1eFk8R4OobU7kaAZdfYBKz,https://api.spotify.com/v1/tracks/1eFk8R4OobU7kaAZdfYBKz,https://api.spotify.com/v1/audio-analysis/1eFk8R4OobU7kaAZdfYBKz,203613,4,One Day At A Time,ZERO : FEVER Part.1,2020-07-29,01IFxHiVOY6uf3vUFVXEoI,ATEEZ
0.725,0.715,2,-7.236,0,0.122,7.18e-05,0.806,0.0815,0.51,159.982,audio_features,07Tae4TZyY2McuoWEzG5IJ,spotify:track:07Tae4TZyY2McuoWEzG5IJ,https://api.spotify.com/v1/tracks/07Tae4TZyY2McuoWEzG5IJ,https://api.spotify.com/v1/audio-analysis/07Tae4TZyY2McuoWEzG5IJ,31253,4,"Hearts Awakened, Live Alive - Expression Revisited",TREASURE EP. EXTRA: Shift The Map,2019-12-04,3uejTFamPCZuTD1HvYLqw2,ATEEZ
0.5,0.762,9,-4.376,0,0.0724,0.0149,0.0,0.132,0.272,159.899,audio_features,14MK8meDsJ7JVCjVXGXK2j,spotify:track:14MK8meDsJ7JVCjVXGXK2j,https://api.spotify.com/v1/tracks/14MK8meDsJ7JVCjVXGXK2j,https://api.spotify.com/v1/audio-analysis/14MK8meDsJ7JVCjVXGXK2j,202080,4,HALA HALA - Traditional Treatment Mix,TREASURE EP. EXTRA: Shift The Map,2019-12-04,3uejTFamPCZuTD1HvYLqw2,ATEEZ
0.467,0.922,3,-3.223,0,0.119,0.0924,1.87e-05,0.348,0.538,173.071,audio_features,72kxK8h09ZyJwaElUKyGsy,spotify:track:72kxK8h09ZyJwaElUKyGsy,https://api.spotify.com/v1/tracks/72kxK8h09ZyJwaElUKyGsy,https://api.spotify.com/v1/audio-analysis/72kxK8h09ZyJwaElUKyGsy,195613,4,Pirate King - Overload Mix,TREASURE EP. EXTRA: Shift The Map,2019-12-04,3uejTFamPCZuTD1HvYLqw2,ATEEZ
