danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.785,0.814,5,-3.462,0,0.0451,0.0326,0.0,0.0929,0.618,120.017,audio_features,6uUmsUbMkrnvCSQ7SVtFXo,spotify:track:6uUmsUbMkrnvCSQ7SVtFXo,https://api.spotify.com/v1/tracks/6uUmsUbMkrnvCSQ7SVtFXo,https://api.spotify.com/v1/audio-analysis/6uUmsUbMkrnvCSQ7SVtFXo,103760,4,Intro - Everybody Scream - KR Ver.,Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.625,0.916,4,-2.448,0,0.0571,0.00954,0.0,0.125,0.626,135.866,audio_features,69gyHM24jezDZhg0qVVLK1,spotify:track:69gyHM24jezDZhg0qVVLK1,https://api.spotify.com/v1/tracks/69gyHM24jezDZhg0qVVLK1,https://api.spotify.com/v1/audio-analysis/69gyHM24jezDZhg0qVVLK1,224920,4,"Oh,Ah,Oh - KR Ver.",Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.755,0.872,8,-2.244,1,0.0533,0.0865,0.0,0.141,0.643,124.986,audio_features,4Y4TRgzfgLq1XAwAH3weCQ,spotify:track:4Y4TRgzfgLq1XAwAH3weCQ,https://api.spotify.com/v1/tracks/4Y4TRgzfgLq1XAwAH3weCQ,https://api.spotify.com/v1/audio-analysis/4Y4TRgzfgLq1XAwAH3weCQ,204920,4,SUNSET GLOW - KR Ver.,Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.727,0.835,5,-4.039,0,0.0915,0.0414,0.0,0.258,0.674,110.009,audio_features,1hu0EGuah22BIptdRkVpPd,spotify:track:1hu0EGuah22BIptdRkVpPd,https://api.spotify.com/v1/tracks/1hu0EGuah22BIptdRkVpPd,https://api.spotify.com/v1/audio-analysis/1hu0EGuah22BIptdRkVpPd,218893,4,You Are My Light - KR Ver.,Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.936,0.693,6,-5.376,1,0.123,0.0208,0.0,0.0782,0.884,117.96,audio_features,2WkVwHv5Kx1zxM87ZTpj4n,spotify:track:2WkVwHv5Kx1zxM87ZTpj4n,https://api.spotify.com/v1/tracks/2WkVwHv5Kx1zxM87ZTpj4n,https://api.spotify.com/v1/audio-analysis/2WkVwHv5Kx1zxM87ZTpj4n,224467,4,STRONG BABY - KR Ver.,Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.702,0.906,9,-3.405,0,0.0343,0.0204,0.0,0.284,0.95,129.985,audio_features,7iLahCSPiw8rUcFKu70vPF,spotify:track:7iLahCSPiw8rUcFKu70vPF,https://api.spotify.com/v1/tracks/7iLahCSPiw8rUcFKu70vPF,https://api.spotify.com/v1/audio-analysis/7iLahCSPiw8rUcFKu70vPF,210240,4,Wonderful - KR Ver.,Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.707,0.751,7,-4.923,0,0.0609,0.161,0.0,0.135,0.683,144.961,audio_features,2qphgymrIZbjE9em221ALr,spotify:track:2qphgymrIZbjE9em221ALr,https://api.spotify.com/v1/tracks/2qphgymrIZbjE9em221ALr,https://api.spotify.com/v1/audio-analysis/2qphgymrIZbjE9em221ALr,241187,4,Foolish Love - KR Ver.,Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.704,0.566,3,-5.793,0,0.0332,0.826,0.0,0.115,0.339,126.061,audio_features,7IOh6kosqmyMPEWj2LzrEb,spotify:track:7IOh6kosqmyMPEWj2LzrEb,https://api.spotify.com/v1/tracks/7IOh6kosqmyMPEWj2LzrEb,https://api.spotify.com/v1/audio-analysis/7IOh6kosqmyMPEWj2LzrEb,264640,4,Haru Haru - Acoustic Version (KR Ver.),Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.747,0.916,3,-4.306,0,0.0297,0.0391,0.0,0.11,0.773,125.044,audio_features,4xSV1zJjOiBpkPNF2y0rrq,spotify:track:4xSV1zJjOiBpkPNF2y0rrq,https://api.spotify.com/v1/tracks/4xSV1zJjOiBpkPNF2y0rrq,https://api.spotify.com/v1/audio-analysis/4xSV1zJjOiBpkPNF2y0rrq,206520,4,Lies - Remix Version (KR Ver.),Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.709,0.897,1,-3.508,0,0.0312,0.0181,0.0,0.2,0.904,134.956,audio_features,5hjb7deEBfZPZJ6zm4lv76,spotify:track:5hjb7deEBfZPZJ6zm4lv76,https://api.spotify.com/v1/tracks/5hjb7deEBfZPZJ6zm4lv76,https://api.spotify.com/v1/audio-analysis/5hjb7deEBfZPZJ6zm4lv76,240613,4,Last Farewell - Remix Version (KR Ver.),Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.648,0.806,0,-3.779,0,0.0455,0.0529,0.0,0.31,0.711,155.914,audio_features,6kWSm29BPO5SWZFON5wrAo,spotify:track:6kWSm29BPO5SWZFON5wrAo,https://api.spotify.com/v1/tracks/6kWSm29BPO5SWZFON5wrAo,https://api.spotify.com/v1/audio-analysis/6kWSm29BPO5SWZFON5wrAo,200253,4,Remember - KR Ver.,Remember,2018-12-26,19gXT8PvZZAkWY7aajR1l7,BIGBANG
0.454,0.92,9,-4.673,0,0.112,0.0291,0.0,0.805,0.278,130.036,audio_features,688p8MXRCXPAQMAx7FuL4o,spotify:track:688p8MXRCXPAQMAx7FuL4o,https://api.spotify.com/v1/tracks/688p8MXRCXPAQMAx7FuL4o,https://api.spotify.com/v1/audio-analysis/688p8MXRCXPAQMAx7FuL4o,241053,4,HANDS UP - BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.392,0.883,5,-4.181,1,0.155,0.0101,0.0,0.963,0.312,130.373,audio_features,1GsDbrWUjH1Uvyzx9gQ3Sy,spotify:track:1GsDbrWUjH1Uvyzx9gQ3Sy,https://api.spotify.com/v1/tracks/1GsDbrWUjH1Uvyzx9gQ3Sy,https://api.spotify.com/v1/audio-analysis/1GsDbrWUjH1Uvyzx9gQ3Sy,259253,4,SOBER - KR Ver. BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.325,0.95,4,-4.854,1,0.358,0.126,0.0,0.615,0.419,87.229,audio_features,03eRQhlT8GXCQN4Yyejg6S,spotify:track:03eRQhlT8GXCQN4Yyejg6S,https://api.spotify.com/v1/tracks/03eRQhlT8GXCQN4Yyejg6S,https://api.spotify.com/v1/audio-analysis/03eRQhlT8GXCQN4Yyejg6S,222613,4,WE LIKE 2 PARTY - KR Ver. BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.427,0.783,0,-5.063,0,0.257,0.306,0.0,0.404,0.422,180.324,audio_features,0rw223wC2p864j6MCUElG1,spotify:track:0rw223wC2p864j6MCUElG1,https://api.spotify.com/v1/tracks/0rw223wC2p864j6MCUElG1,https://api.spotify.com/v1/audio-analysis/0rw223wC2p864j6MCUElG1,156107,4,FXXK IT - KR Ver. BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.503,0.814,0,-5.129,0,0.0708,0.0818,0.0,0.838,0.331,89.843,audio_features,20kq1RufhOtt4W65MLhK4v,spotify:track:20kq1RufhOtt4W65MLhK4v,https://api.spotify.com/v1/tracks/20kq1RufhOtt4W65MLhK4v,https://api.spotify.com/v1/audio-analysis/20kq1RufhOtt4W65MLhK4v,243493,4,LOSER - BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.372,0.826,9,-6.037,0,0.247,0.246,0.0,0.984,0.471,149.447,audio_features,6YqBTH2T1oIomqFnbrmohK,spotify:track:6YqBTH2T1oIomqFnbrmohK,https://api.spotify.com/v1/tracks/6YqBTH2T1oIomqFnbrmohK,https://api.spotify.com/v1/audio-analysis/6YqBTH2T1oIomqFnbrmohK,254040,4,BAD BOY - BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.549,0.574,10,-7.279,1,0.0351,0.113,0.0,0.85,0.117,78.129,audio_features,3I20DFvnkLR15i2hHNLKJY,spotify:track:3I20DFvnkLR15i2hHNLKJY,https://api.spotify.com/v1/tracks/3I20DFvnkLR15i2hHNLKJY,https://api.spotify.com/v1/audio-analysis/3I20DFvnkLR15i2hHNLKJY,203587,4,WAKE ME UP - KR Ver. BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.499,0.484,7,-7.081,1,0.0337,0.268,0.0,0.397,0.386,141.824,audio_features,5DM2fi3sOs73aPox7Qmcqr,spotify:track:5DM2fi3sOs73aPox7Qmcqr,https://api.spotify.com/v1/tracks/5DM2fi3sOs73aPox7Qmcqr,https://api.spotify.com/v1/audio-analysis/5DM2fi3sOs73aPox7Qmcqr,250453,4,DARLING - KR Ver. BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.627,0.663,7,-7.679,1,0.0502,0.0337,0.000188,0.946,0.256,129.978,audio_features,05ggldT59hjOpegqC8BoN8,spotify:track:05ggldT59hjOpegqC8BoN8,https://api.spotify.com/v1/tracks/05ggldT59hjOpegqC8BoN8,https://api.spotify.com/v1/audio-analysis/05ggldT59hjOpegqC8BoN8,244040,4,SUPER STAR - KR Ver. BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.478,0.366,3,-7.96,1,0.0437,0.866,0.0,0.643,0.271,80.053,audio_features,5z2vntOZXAkDPN6RE5rtRr,spotify:track:5z2vntOZXAkDPN6RE5rtRr,https://api.spotify.com/v1/tracks/5z2vntOZXAkDPN6RE5rtRr,https://api.spotify.com/v1/audio-analysis/5z2vntOZXAkDPN6RE5rtRr,224053,4,"Untitled, 2014 - KR Ver. BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL",BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.391,0.888,1,-2.99,1,0.103,0.0198,7.73e-06,0.961,0.526,139.997,audio_features,1Im324TBHIGAjDitnAb9KL,spotify:track:1Im324TBHIGAjDitnAb9KL,https://api.spotify.com/v1/tracks/1Im324TBHIGAjDitnAb9KL,https://api.spotify.com/v1/audio-analysis/1Im324TBHIGAjDitnAb9KL,237893,4,D-Day - BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.403,0.952,7,-5.202,0,0.241,0.0456,0.00127,0.252,0.284,140.925,audio_features,2e1B8It187VDZajJB0JO0h,spotify:track:2e1B8It187VDZajJB0JO0h,https://api.spotify.com/v1/tracks/2e1B8It187VDZajJB0JO0h,https://api.spotify.com/v1/audio-analysis/2e1B8It187VDZajJB0JO0h,296347,4,あ・ぜ・ちょ! - BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.486,0.819,7,-5.928,1,0.0547,0.343,0.0,0.619,0.474,77.133,audio_features,0XPUnaQCaHgGBzqzS0FHuO,spotify:track:0XPUnaQCaHgGBzqzS0FHuO,https://api.spotify.com/v1/tracks/0XPUnaQCaHgGBzqzS0FHuO,https://api.spotify.com/v1/audio-analysis/0XPUnaQCaHgGBzqzS0FHuO,137480,4,アイなんていらない [COME TO MY] - BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
0.422,0.862,0,-5.381,1,0.0808,0.289,0.0,0.63,0.475,89.649,audio_features,0QS92rwbTjAtBY4l7heBgi,spotify:track:0QS92rwbTjAtBY4l7heBgi,https://api.spotify.com/v1/tracks/0QS92rwbTjAtBY4l7heBgi,https://api.spotify.com/v1/audio-analysis/0QS92rwbTjAtBY4l7heBgi,156720,4,I KNOW - BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,BIGBANG JAPAN DOME TOUR 2017 -LAST DANCE- : THE FINAL,2018-08-17,5rnN2OpG9EzVaGgpzrkyzH,BIGBANG
