danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.812,0.761,11,-5.222,1,0.0812,0.0465,0.000135,0.0601,0.344,130.032,audio_features,4SFknyjLcyTLJFPKD2m96o,spotify:track:4SFknyjLcyTLJFPKD2m96o,https://api.spotify.com/v1/tracks/4SFknyjLcyTLJFPKD2m96o,https://api.spotify.com/v1/audio-analysis/4SFknyjLcyTLJFPKD2m96o,182956,4,How You Like That,THE ALBUM,2020-10-02,71O60S5gIJSIAhdnrDIh3N,BLACKPINK
0.79,0.701,9,-4.81,1,0.365,0.0317,8.06e-05,0.0311,0.91,159.972,audio_features,4JUPEh2DVSXFGExu4Uxevz,spotify:track:4JUPEh2DVSXFGExu4Uxevz,https://api.spotify.com/v1/tracks/4JUPEh2DVSXFGExu4Uxevz,https://api.spotify.com/v1/audio-analysis/4JUPEh2DVSXFGExu4Uxevz,177813,4,Ice Cream (with Selena Gomez),THE ALBUM,2020-10-02,71O60S5gIJSIAhdnrDIh3N,BLACKPINK
0.701,0.556,9,-7.42,0,0.0414,0.00886,0.000122,0.106,0.333,152.045,audio_features,1XnpzbOGptRwfJhZgLbmSr,spotify:track:1XnpzbOGptRwfJhZgLbmSr,https://api.spotify.com/v1/tracks/1XnpzbOGptRwfJhZgLbmSr,https://api.spotify.com/v1/audio-analysis/1XnpzbOGptRwfJhZgLbmSr,201122,4,Pretty Savage,THE ALBUM,2020-10-02,71O60S5gIJSIAhdnrDIh3N,BLACKPINK
0.653,0.662,7,-6.168,1,0.162,0.00465,0.0,0.0626,0.674,111.712,audio_features,7iAgNZdotu40NwtoIWJHFe,spotify:track:7iAgNZdotu40NwtoIWJHFe,https://api.spotify.com/v1/tracks/7iAgNZdotu40NwtoIWJHFe,https://api.spotify.com/v1/audio-analysis/7iAgNZdotu40NwtoIWJHFe,161168,4,Bet You Wanna (feat. Cardi B),THE ALBUM,2020-10-02,71O60S5gIJSIAhdnrDIh3N,BLACKPINK
0.654,0.707,6,-5.661,1,0.0664,0.00559,0.0,0.0873,0.448,127.97,audio_features,4Ws314Ylb27BVsvlZOy30C,spotify:track:4Ws314Ylb27BVsvlZOy30C,https://api.spotify.com/v1/tracks/4Ws314Ylb27BVsvlZOy30C,https://api.spotify.com/v1/audio-analysis/4Ws314Ylb27BVsvlZOy30C,194765,4,Lovesick Girls,THE ALBUM,2020-10-02,71O60S5gIJSIAhdnrDIh3N,BLACKPINK
0.804,0.633,4,-6.186,1,0.0612,0.0371,0.000119,0.102,0.67,115.002,audio_features,7qq0EOPW4RRlqdvMBmdd73,spotify:track:7qq0EOPW4RRlqdvMBmdd73,https://api.spotify.com/v1/tracks/7qq0EOPW4RRlqdvMBmdd73,https://api.spotify.com/v1/audio-analysis/7qq0EOPW4RRlqdvMBmdd73,163946,4,Crazy Over You,THE ALBUM,2020-10-02,71O60S5gIJSIAhdnrDIh3N,BLACKPINK
0.686,0.64,8,-5.491,1,0.159,0.0334,0.0,0.0801,0.597,162.225,audio_features,7iKDsPfLT0d5mu2htfMKBZ,spotify:track:7iKDsPfLT0d5mu2htfMKBZ,https://api.spotify.com/v1/tracks/7iKDsPfLT0d5mu2htfMKBZ,https://api.spotify.com/v1/audio-analysis/7iKDsPfLT0d5mu2htfMKBZ,171798,4,Love To Hate Me,THE ALBUM,2020-10-02,71O60S5gIJSIAhdnrDIh3N,BLACKPINK
0.477,0.435,5,-6.497,1,0.0523,0.237,0.0,0.12,0.322,144.144,audio_features,39kzWAiVPpycdMpr745oPj,spotify:track:39kzWAiVPpycdMpr745oPj,https://api.spotify.com/v1/tracks/39kzWAiVPpycdMpr745oPj,https://api.spotify.com/v1/audio-analysis/39kzWAiVPpycdMpr745oPj,231202,4,You Never Know,THE ALBUM,2020-10-02,71O60S5gIJSIAhdnrDIh3N,BLACKPINK
0.813,0.787,11,-4.254,1,0.0777,0.0452,0.000107,0.0506,0.326,130.018,audio_features,6qHFPCWow1hMMY5x8h9VSM,spotify:track:6qHFPCWow1hMMY5x8h9VSM,https://api.spotify.com/v1/tracks/6qHFPCWow1hMMY5x8h9VSM,https://api.spotify.com/v1/audio-analysis/6qHFPCWow1hMMY5x8h9VSM,180956,4,How You Like That,THE ALBUM,2020-10-02,5jI79QM3CJiSELceqwVe78,BLACKPINK
0.791,0.733,9,-3.852,1,0.35,0.0305,0.000169,0.0423,0.913,159.974,audio_features,52aLulmBwpzoQXkiE7G4OT,spotify:track:52aLulmBwpzoQXkiE7G4OT,https://api.spotify.com/v1/tracks/52aLulmBwpzoQXkiE7G4OT,https://api.spotify.com/v1/audio-analysis/52aLulmBwpzoQXkiE7G4OT,175813,4,Ice Cream (with Selena Gomez),THE ALBUM,2020-10-02,5jI79QM3CJiSELceqwVe78,BLACKPINK
