danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.566,0.716,1,-5.733,1,0.0424,0.00691,0.0,0.37,0.45,81.068,audio_features,4O3RT44ni2nuKJeOmw7NPM,spotify:track:4O3RT44ni2nuKJeOmw7NPM,https://api.spotify.com/v1/tracks/4O3RT44ni2nuKJeOmw7NPM,https://api.spotify.com/v1/audio-analysis/4O3RT44ni2nuKJeOmw7NPM,207481,4,Life Goes On,BE,2020-11-20,6uino3UBLWxAKsdnY0ad5s,BTS
0.764,0.526,11,-7.355,1,0.212,0.0484,0.0,0.0718,0.588,114.91,audio_features,5xfFv9ibZGTEEouUNmRvUg,spotify:track:5xfFv9ibZGTEEouUNmRvUg,https://api.spotify.com/v1/tracks/5xfFv9ibZGTEEouUNmRvUg,https://api.spotify.com/v1/audio-analysis/5xfFv9ibZGTEEouUNmRvUg,222243,4,내 방을 여행하는 법,BE,2020-11-20,6uino3UBLWxAKsdnY0ad5s,BTS
0.547,0.605,8,-6.755,1,0.0415,0.42,0.0,0.125,0.364,121.953,audio_features,1dAxzkBm41M1puxxpd6FaV,spotify:track:1dAxzkBm41M1puxxpd6FaV,https://api.spotify.com/v1/tracks/1dAxzkBm41M1puxxpd6FaV,https://api.spotify.com/v1/audio-analysis/1dAxzkBm41M1puxxpd6FaV,254950,4,Blue & Grey,BE,2020-11-20,6uino3UBLWxAKsdnY0ad5s,BTS
0.703,0.321,4,-13.135,1,0.884,0.864,0.0,0.908,0.544,114.822,audio_features,6FOY0O1zkcfiPdXY0mDvsx,spotify:track:6FOY0O1zkcfiPdXY0mDvsx,https://api.spotify.com/v1/tracks/6FOY0O1zkcfiPdXY0mDvsx,https://api.spotify.com/v1/audio-analysis/6FOY0O1zkcfiPdXY0mDvsx,179548,4,Skit,BE,2020-11-20,6uino3UBLWxAKsdnY0ad5s,BTS
0.787,0.669,5,-4.333,0,0.0428,0.00782,0.0,0.123,0.57,104.994,audio_features,5fsaGiSOOpGY8QHS5aeJFg,spotify:track:5fsaGiSOOpGY8QHS5aeJFg,https://api.spotify.com/v1/tracks/5fsaGiSOOpGY8QHS5aeJFg,https://api.spotify.com/v1/audio-analysis/5fsaGiSOOpGY8QHS5aeJFg,202313,4,잠시,BE,2020-11-20,6uino3UBLWxAKsdnY0ad5s,BTS
0.731,0.845,8,-5.352,1,0.132,0.0132,0.0,0.0782,0.484,101.085,audio_features,2OMG3LnKtXKfM9l21Yoae2,spotify:track:2OMG3LnKtXKfM9l21Yoae2,https://api.spotify.com/v1/tracks/2OMG3LnKtXKfM9l21Yoae2,https://api.spotify.com/v1/audio-analysis/2OMG3LnKtXKfM9l21Yoae2,239722,4,병,BE,2020-11-20,6uino3UBLWxAKsdnY0ad5s,BTS
0.582,0.693,6,-5.048,1,0.0465,0.114,0.0,0.13,0.341,125.904,audio_features,4E78cs6ihF8pqAV93TjOs4,spotify:track:4E78cs6ihF8pqAV93TjOs4,https://api.spotify.com/v1/tracks/4E78cs6ihF8pqAV93TjOs4,https://api.spotify.com/v1/audio-analysis/4E78cs6ihF8pqAV93TjOs4,204800,4,Stay,BE,2020-11-20,6uino3UBLWxAKsdnY0ad5s,BTS
0.746,0.765,6,-4.41,0,0.0993,0.0112,0.0,0.0936,0.737,114.044,audio_features,58fPSA7uhyxl0cb8v6Ob7K,spotify:track:58fPSA7uhyxl0cb8v6Ob7K,https://api.spotify.com/v1/tracks/58fPSA7uhyxl0cb8v6Ob7K,https://api.spotify.com/v1/audio-analysis/58fPSA7uhyxl0cb8v6Ob7K,199054,4,Dynamite,BE,2020-11-20,6uino3UBLWxAKsdnY0ad5s,BTS
0.486,0.61,10,-12.063,1,0.0348,0.582,0.791,0.144,0.0806,144.992,audio_features,5raJ9QoZOdoRZ1MZOcygkR,spotify:track:5raJ9QoZOdoRZ1MZOcygkR,https://api.spotify.com/v1/tracks/5raJ9QoZOdoRZ1MZOcygkR,https://api.spotify.com/v1/audio-analysis/5raJ9QoZOdoRZ1MZOcygkR,84613,4,INTRO : Calling,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,1nScVw87kRJiT2bg2Kswhp,BTS
0.723,0.634,1,-5.415,1,0.0542,0.0892,0.0,0.0787,0.582,129.017,audio_features,3Ys2PYl1wyPKQIwyqhP9cQ,spotify:track:3Ys2PYl1wyPKQIwyqhP9cQ,https://api.spotify.com/v1/tracks/3Ys2PYl1wyPKQIwyqhP9cQ,https://api.spotify.com/v1/audio-analysis/3Ys2PYl1wyPKQIwyqhP9cQ,243267,4,Stay Gold,MAP OF THE SOUL : 7 ~ THE JOURNEY ~,2020-07-14,1nScVw87kRJiT2bg2Kswhp,BTS
