danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.748,0.818,10,-2.561,1,0.0639,0.0653,0.0,0.0781,0.541,109.929,audio_features,5xE3cCz0RMvOBMeGnhCsoX,spotify:track:5xE3cCz0RMvOBMeGnhCsoX,https://api.spotify.com/v1/tracks/5xE3cCz0RMvOBMeGnhCsoX,https://api.spotify.com/v1/audio-analysis/5xE3cCz0RMvOBMeGnhCsoX,207027,4,Nillili Mambo - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.694,0.911,8,-2.367,1,0.0548,0.00269,0.0,0.24,0.644,135.994,audio_features,5s3wyJJqlX0LrkTyygY3Mt,spotify:track:5s3wyJJqlX0LrkTyygY3Mt,https://api.spotify.com/v1/tracks/5s3wyJJqlX0LrkTyygY3Mt,https://api.spotify.com/v1/audio-analysis/5s3wyJJqlX0LrkTyygY3Mt,201440,4,Very Good - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.697,0.919,8,-2.667,1,0.145,0.0267,0.0,0.0652,0.858,162.006,audio_features,552CvQvlE3aWR7tufhIgUw,spotify:track:552CvQvlE3aWR7tufhIgUw,https://api.spotify.com/v1/tracks/552CvQvlE3aWR7tufhIgUw,https://api.spotify.com/v1/audio-analysis/552CvQvlE3aWR7tufhIgUw,179413,4,Her - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.711,0.975,10,-1.962,0,0.142,0.0515,0.0,0.0356,0.772,101.011,audio_features,1ywIo3KxlZsGR9EETsqxz1,spotify:track:1ywIo3KxlZsGR9EETsqxz1,https://api.spotify.com/v1/tracks/1ywIo3KxlZsGR9EETsqxz1,https://api.spotify.com/v1/audio-analysis/1ywIo3KxlZsGR9EETsqxz1,217347,4,Nice Day - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.693,0.961,9,-2.398,0,0.386,0.108,0.0,0.0686,0.69,130.018,audio_features,72KPWvhIMyvm7kV4XVnQqq,spotify:track:72KPWvhIMyvm7kV4XVnQqq,https://api.spotify.com/v1/tracks/72KPWvhIMyvm7kV4XVnQqq,https://api.spotify.com/v1/audio-analysis/72KPWvhIMyvm7kV4XVnQqq,195680,4,Jackpot - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.671,0.65,7,-4.083,1,0.0786,0.114,0.0,0.153,0.328,89.996,audio_features,0xTpDXvwqhQmDCBeTjI2HP,spotify:track:0xTpDXvwqhQmDCBeTjI2HP,https://api.spotify.com/v1/tracks/0xTpDXvwqhQmDCBeTjI2HP,https://api.spotify.com/v1/audio-analysis/0xTpDXvwqhQmDCBeTjI2HP,208640,4,Toy - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.635,0.872,7,-3.993,1,0.131,0.281,0.0,0.113,0.477,124.901,audio_features,64wBguKcFEmKJBHfdU81Ka,spotify:track:64wBguKcFEmKJBHfdU81Ka,https://api.spotify.com/v1/tracks/64wBguKcFEmKJBHfdU81Ka,https://api.spotify.com/v1/audio-analysis/64wBguKcFEmKJBHfdU81Ka,209893,4,Be The Light - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.748,0.909,1,-2.804,1,0.0544,0.00712,0.0,0.108,0.685,113.975,audio_features,0vhk6wPCMRUxPzzIVsSyc1,spotify:track:0vhk6wPCMRUxPzzIVsSyc1,https://api.spotify.com/v1/tracks/0vhk6wPCMRUxPzzIVsSyc1,https://api.spotify.com/v1/audio-analysis/0vhk6wPCMRUxPzzIVsSyc1,178827,4,My Zone,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.865,0.707,7,-5.164,0,0.0735,0.0153,0.0,0.25,0.775,112.002,audio_features,3Jz7hYn9TESpdq2ElT9yWs,spotify:track:3Jz7hYn9TESpdq2ElT9yWs,https://api.spotify.com/v1/tracks/3Jz7hYn9TESpdq2ElT9yWs,https://api.spotify.com/v1/audio-analysis/3Jz7hYn9TESpdq2ElT9yWs,183440,4,Shall We Dance - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.658,0.862,11,-3.51,1,0.137,0.0396,0.0,0.286,0.886,142.066,audio_features,7e4XxEhk2DjOHkA3eznjqP,spotify:track:7e4XxEhk2DjOHkA3eznjqP,https://api.spotify.com/v1/tracks/7e4XxEhk2DjOHkA3eznjqP,https://api.spotify.com/v1/audio-analysis/7e4XxEhk2DjOHkA3eznjqP,171027,4,Yesterday - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.8,0.701,9,-4.863,1,0.0464,0.206,0.0,0.0935,0.64,102.021,audio_features,4ds9xjDVR1UWPMv8jZ6WQ9,spotify:track:4ds9xjDVR1UWPMv8jZ6WQ9,https://api.spotify.com/v1/tracks/4ds9xjDVR1UWPMv8jZ6WQ9,https://api.spotify.com/v1/audio-analysis/4ds9xjDVR1UWPMv8jZ6WQ9,217613,4,Walkin' In The Rain - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.485,0.891,6,-5.086,0,0.182,0.0439,0.0,0.348,0.389,179.933,audio_features,2GnjXnMXe7FlOvTg8v5Wc9,spotify:track:2GnjXnMXe7FlOvTg8v5Wc9,https://api.spotify.com/v1/tracks/2GnjXnMXe7FlOvTg8v5Wc9,https://api.spotify.com/v1/audio-analysis/2GnjXnMXe7FlOvTg8v5Wc9,226253,4,Movie's Over - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.558,0.656,1,-5.392,1,0.0712,0.457,0.0,0.105,0.499,145.878,audio_features,1y3W2nKLmpyYrp2qlN0Phu,spotify:track:1y3W2nKLmpyYrp2qlN0Phu,https://api.spotify.com/v1/tracks/1y3W2nKLmpyYrp2qlN0Phu,https://api.spotify.com/v1/audio-analysis/1y3W2nKLmpyYrp2qlN0Phu,239867,4,Don't Leave - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
0.621,0.921,1,-3.876,1,0.159,0.111,0.0,0.398,0.699,157.075,audio_features,609wp4xhklR01KaG5Uqbjz,spotify:track:609wp4xhklR01KaG5Uqbjz,https://api.spotify.com/v1/tracks/609wp4xhklR01KaG5Uqbjz,https://api.spotify.com/v1/audio-analysis/609wp4xhklR01KaG5Uqbjz,194813,4,品行ZERO - Japanese Version,Block B THE BEST,2018-06-22,5RKOJ84BKMmtonCp0XXd4g,Block B
