danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.771,0.86,1,-2.574,1,0.0889,0.00873,0.0,0.193,0.683,93.047,audio_features,3uO9uv6y5eAJrkQzkHqVnM,spotify:track:3uO9uv6y5eAJrkQzkHqVnM,https://api.spotify.com/v1/tracks/3uO9uv6y5eAJrkQzkHqVnM,https://api.spotify.com/v1/audio-analysis/3uO9uv6y5eAJrkQzkHqVnM,213680,4,My Turn,HIDEOUT: BE OUR VOICE - SEASON 3.,2021-01-19,7151PzsDeTLtjDvqVyOj3m,CRAVITY
0.616,0.811,6,-3.694,0,0.0732,0.273,0.0,0.128,0.51,143.03,audio_features,7tbGmL8l5HiP6vUcqhCJfh,spotify:track:7tbGmL8l5HiP6vUcqhCJfh,https://api.spotify.com/v1/tracks/7tbGmL8l5HiP6vUcqhCJfh,https://api.spotify.com/v1/audio-analysis/7tbGmL8l5HiP6vUcqhCJfh,228827,4,Call my name,HIDEOUT: BE OUR VOICE - SEASON 3.,2021-01-19,7151PzsDeTLtjDvqVyOj3m,CRAVITY
0.754,0.894,1,-2.247,1,0.0486,0.0132,1.62e-05,0.211,0.374,100.027,audio_features,4HHrZ1QLxopU9aacD4KqGA,spotify:track:4HHrZ1QLxopU9aacD4KqGA,https://api.spotify.com/v1/tracks/4HHrZ1QLxopU9aacD4KqGA,https://api.spotify.com/v1/audio-analysis/4HHrZ1QLxopU9aacD4KqGA,185467,4,Mammoth,HIDEOUT: BE OUR VOICE - SEASON 3.,2021-01-19,7151PzsDeTLtjDvqVyOj3m,CRAVITY
0.818,0.918,1,-1.632,1,0.225,0.222,0.0,0.164,0.508,94.05,audio_features,3XjJ7pJ5B8benNO0r03PMU,spotify:track:3XjJ7pJ5B8benNO0r03PMU,https://api.spotify.com/v1/tracks/3XjJ7pJ5B8benNO0r03PMU,https://api.spotify.com/v1/audio-analysis/3XjJ7pJ5B8benNO0r03PMU,215533,4,Bad Habits,HIDEOUT: BE OUR VOICE - SEASON 3.,2021-01-19,7151PzsDeTLtjDvqVyOj3m,CRAVITY
0.619,0.951,6,-1.856,0,0.362,0.0488,0.0,0.818,0.489,154.885,audio_features,3HO6UOMwAGtB0duDr3zTjy,spotify:track:3HO6UOMwAGtB0duDr3zTjy,https://api.spotify.com/v1/tracks/3HO6UOMwAGtB0duDr3zTjy,https://api.spotify.com/v1/audio-analysis/3HO6UOMwAGtB0duDr3zTjy,194800,4,Moonlight,HIDEOUT: BE OUR VOICE - SEASON 3.,2021-01-19,7151PzsDeTLtjDvqVyOj3m,CRAVITY
0.676,0.928,0,-3.165,1,0.0737,0.0421,0.0,0.1,0.56,106.015,audio_features,6nKaK7JCi3Vq6sEhZtRigh,spotify:track:6nKaK7JCi3Vq6sEhZtRigh,https://api.spotify.com/v1/tracks/6nKaK7JCi3Vq6sEhZtRigh,https://api.spotify.com/v1/audio-analysis/6nKaK7JCi3Vq6sEhZtRigh,218867,4,Dangerous,HIDEOUT: BE OUR VOICE - SEASON 3.,2021-01-19,7151PzsDeTLtjDvqVyOj3m,CRAVITY
0.701,0.581,8,-6.302,1,0.0317,0.223,1.21e-06,0.148,0.328,90.976,audio_features,707YeYYJ3BC8WiIanK17Sa,spotify:track:707YeYYJ3BC8WiIanK17Sa,https://api.spotify.com/v1/tracks/707YeYYJ3BC8WiIanK17Sa,https://api.spotify.com/v1/audio-analysis/707YeYYJ3BC8WiIanK17Sa,208733,4,Give me your love,HIDEOUT: BE OUR VOICE - SEASON 3.,2021-01-19,7151PzsDeTLtjDvqVyOj3m,CRAVITY
0.7,0.745,6,-3.023,0,0.147,0.282,0.0,0.131,0.382,81.59,audio_features,1n2oIAbEqbgX6eIxMcdj78,spotify:track:1n2oIAbEqbgX6eIxMcdj78,https://api.spotify.com/v1/tracks/1n2oIAbEqbgX6eIxMcdj78,https://api.spotify.com/v1/audio-analysis/1n2oIAbEqbgX6eIxMcdj78,194333,4,Flame,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,2020-08-24,0XI2pmH6pUEjx0d9iOqx9x,CRAVITY
0.563,0.934,7,-2.39,0,0.0518,0.131,0.0,0.267,0.559,150.011,audio_features,0EcAgUUh7WcStDvHfzNu7V,spotify:track:0EcAgUUh7WcStDvHfzNu7V,https://api.spotify.com/v1/tracks/0EcAgUUh7WcStDvHfzNu7V,https://api.spotify.com/v1/audio-analysis/0EcAgUUh7WcStDvHfzNu7V,213947,4,Believer,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,2020-08-24,0XI2pmH6pUEjx0d9iOqx9x,CRAVITY
0.775,0.79,5,-3.229,0,0.0695,0.0295,0.0,0.0755,0.715,117.951,audio_features,1YmfuRcsUIEhpIbsKsJNak,spotify:track:1YmfuRcsUIEhpIbsKsJNak,https://api.spotify.com/v1/tracks/1YmfuRcsUIEhpIbsKsJNak,https://api.spotify.com/v1/audio-analysis/1YmfuRcsUIEhpIbsKsJNak,205027,4,Ohh Ahh,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,2020-08-24,0XI2pmH6pUEjx0d9iOqx9x,CRAVITY
0.627,0.901,9,-3.095,0,0.07,0.202,1.06e-06,0.156,0.571,153.968,audio_features,33oTTiHsDaLA6alPXHPrGk,spotify:track:33oTTiHsDaLA6alPXHPrGk,https://api.spotify.com/v1/tracks/33oTTiHsDaLA6alPXHPrGk,https://api.spotify.com/v1/audio-analysis/33oTTiHsDaLA6alPXHPrGk,215640,4,Realize,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,2020-08-24,0XI2pmH6pUEjx0d9iOqx9x,CRAVITY
0.743,0.895,2,-4.283,1,0.105,0.194,0.0,0.0861,0.768,119.997,audio_features,6qjlTKIbnLvYPrG8Qjazd7,spotify:track:6qjlTKIbnLvYPrG8Qjazd7,https://api.spotify.com/v1/tracks/6qjlTKIbnLvYPrG8Qjazd7,https://api.spotify.com/v1/audio-analysis/6qjlTKIbnLvYPrG8Qjazd7,187213,4,HOT AIR BALLOON,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,2020-08-24,0XI2pmH6pUEjx0d9iOqx9x,CRAVITY
0.775,0.844,9,-2.415,1,0.09,0.0814,0.0,0.0494,0.742,105.004,audio_features,3hK2tG62EvBCjCz5sQI7cY,spotify:track:3hK2tG62EvBCjCz5sQI7cY,https://api.spotify.com/v1/tracks/3hK2tG62EvBCjCz5sQI7cY,https://api.spotify.com/v1/audio-analysis/3hK2tG62EvBCjCz5sQI7cY,197107,4,Sunrise,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,2020-08-24,0XI2pmH6pUEjx0d9iOqx9x,CRAVITY
0.643,0.699,3,-4.593,1,0.0456,0.521,0.0,0.0822,0.376,153.876,audio_features,7BOZXsXcOKbHMjbBVcT4R6,spotify:track:7BOZXsXcOKbHMjbBVcT4R6,https://api.spotify.com/v1/tracks/7BOZXsXcOKbHMjbBVcT4R6,https://api.spotify.com/v1/audio-analysis/7BOZXsXcOKbHMjbBVcT4R6,218187,4,Breathing,HIDEOUT: THE NEW DAY WE STEP INTO - SEASON 2.,2020-08-24,0XI2pmH6pUEjx0d9iOqx9x,CRAVITY
0.62,0.838,10,-4.0,0,0.113,0.0242,0.0,0.142,0.584,127.86,audio_features,5iairMvVEhUMH23bPS3m3q,spotify:track:5iairMvVEhUMH23bPS3m3q,https://api.spotify.com/v1/tracks/5iairMvVEhUMH23bPS3m3q,https://api.spotify.com/v1/audio-analysis/5iairMvVEhUMH23bPS3m3q,201188,4,Top of the Chain,HIDEOUT: REMEMBER WHO WE ARE - SEASON1.,2020-04-14,0ygafCgqBc6OwdjsmQEh7G,CRAVITY
0.618,0.86,2,-3.545,0,0.0643,0.0394,0.0,0.132,0.528,78.028,audio_features,3zhb2FclGaz3NKovP79Kwk,spotify:track:3zhb2FclGaz3NKovP79Kwk,https://api.spotify.com/v1/tracks/3zhb2FclGaz3NKovP79Kwk,https://api.spotify.com/v1/audio-analysis/3zhb2FclGaz3NKovP79Kwk,208575,4,Break all the Rules,HIDEOUT: REMEMBER WHO WE ARE - SEASON1.,2020-04-14,0ygafCgqBc6OwdjsmQEh7G,CRAVITY
