danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.787,0.966,9,0.039,0,0.0849,0.0161,0.000384,0.137,0.546,107.979,audio_features,1fimfc1OQeellxi69Lo1pE,spotify:track:1fimfc1OQeellxi69Lo1pE,https://api.spotify.com/v1/tracks/1fimfc1OQeellxi69Lo1pE,https://api.spotify.com/v1/audio-analysis/1fimfc1OQeellxi69Lo1pE,200880,4,Let Me Dance,Let Me Dance (The Spies Who Loved Me OST Special Track),2020-11-12,57Vlygz8CFQHzlpHTKrkqI,EVERGLOW
0.769,0.91,9,-1.534,1,0.0577,0.000784,0.847,0.18,0.381,108.028,audio_features,419pHhnB2PSacYtaJpkBq8,spotify:track:419pHhnB2PSacYtaJpkBq8,https://api.spotify.com/v1/tracks/419pHhnB2PSacYtaJpkBq8,https://api.spotify.com/v1/audio-analysis/419pHhnB2PSacYtaJpkBq8,200880,4,Let Me Dance (Inst.),Let Me Dance (The Spies Who Loved Me OST Special Track),2020-11-12,57Vlygz8CFQHzlpHTKrkqI,EVERGLOW
0.477,0.85,3,-1.486,0,0.0911,0.00108,0.0,0.0675,0.601,163.845,audio_features,60M8FSYZP8MA0Wy2huOADL,spotify:track:60M8FSYZP8MA0Wy2huOADL,https://api.spotify.com/v1/tracks/60M8FSYZP8MA0Wy2huOADL,https://api.spotify.com/v1/audio-analysis/60M8FSYZP8MA0Wy2huOADL,210893,4,LA DI DA,-77.82x-78.29,2020-09-21,1F2CtDmTEiyJRv2bCf6989,EVERGLOW
0.697,0.935,1,-0.811,0,0.0597,0.0283,0.0,0.0883,0.539,109.97,audio_features,7rQDt6y60dMT9Wh7xzLZAf,spotify:track:7rQDt6y60dMT9Wh7xzLZAf,https://api.spotify.com/v1/tracks/7rQDt6y60dMT9Wh7xzLZAf,https://api.spotify.com/v1/audio-analysis/7rQDt6y60dMT9Wh7xzLZAf,190960,4,UNTOUCHABLE,-77.82x-78.29,2020-09-21,1F2CtDmTEiyJRv2bCf6989,EVERGLOW
0.814,0.839,11,-4.303,1,0.0408,0.00556,0.000258,0.112,0.56,103.018,audio_features,64D1jf5SZsccJE3e2NxjGJ,spotify:track:64D1jf5SZsccJE3e2NxjGJ,https://api.spotify.com/v1/tracks/64D1jf5SZsccJE3e2NxjGJ,https://api.spotify.com/v1/audio-analysis/64D1jf5SZsccJE3e2NxjGJ,203547,4,GxxD BOY,-77.82x-78.29,2020-09-21,1F2CtDmTEiyJRv2bCf6989,EVERGLOW
0.649,0.895,2,-1.689,1,0.0356,0.155,0.0466,0.0658,0.774,140.993,audio_features,2dj8zWm8Kexsi59SRFEN7n,spotify:track:2dj8zWm8Kexsi59SRFEN7n,https://api.spotify.com/v1/tracks/2dj8zWm8Kexsi59SRFEN7n,https://api.spotify.com/v1/audio-analysis/2dj8zWm8Kexsi59SRFEN7n,216093,4,NO GOOD REASON,-77.82x-78.29,2020-09-21,1F2CtDmTEiyJRv2bCf6989,EVERGLOW
0.63,0.943,2,-1.413,1,0.126,0.0907,3.02e-06,0.112,0.678,159.923,audio_features,3uFEHXBPg3M1PT5Q7QrGDh,spotify:track:3uFEHXBPg3M1PT5Q7QrGDh,https://api.spotify.com/v1/tracks/3uFEHXBPg3M1PT5Q7QrGDh,https://api.spotify.com/v1/audio-analysis/3uFEHXBPg3M1PT5Q7QrGDh,189253,4,SALUTE,reminiscence,2020-02-03,5ByQ39IHGxrddAwQcnxvoj,EVERGLOW
0.692,0.881,11,-2.563,0,0.0461,0.0457,4.26e-06,0.146,0.433,103.055,audio_features,3CyCjgTHFzqucmECajq8QA,spotify:track:3CyCjgTHFzqucmECajq8QA,https://api.spotify.com/v1/tracks/3CyCjgTHFzqucmECajq8QA,https://api.spotify.com/v1/audio-analysis/3CyCjgTHFzqucmECajq8QA,192280,4,DUN DUN,reminiscence,2020-02-03,5ByQ39IHGxrddAwQcnxvoj,EVERGLOW
0.614,0.899,9,-2.513,1,0.107,0.14,0.0,0.123,0.318,151.903,audio_features,1duKu1GCPPtE9cvCOBQ2aK,spotify:track:1duKu1GCPPtE9cvCOBQ2aK,https://api.spotify.com/v1/tracks/1duKu1GCPPtE9cvCOBQ2aK,https://api.spotify.com/v1/audio-analysis/1duKu1GCPPtE9cvCOBQ2aK,193640,4,PLAYER,reminiscence,2020-02-03,5ByQ39IHGxrddAwQcnxvoj,EVERGLOW
0.736,0.707,6,-3.506,1,0.0363,0.118,0.0,0.179,0.481,100.058,audio_features,13ONR16cBJFWnInbeJ9ohH,spotify:track:13ONR16cBJFWnInbeJ9ohH,https://api.spotify.com/v1/tracks/13ONR16cBJFWnInbeJ9ohH,https://api.spotify.com/v1/audio-analysis/13ONR16cBJFWnInbeJ9ohH,218373,4,NO LIE,reminiscence,2020-02-03,5ByQ39IHGxrddAwQcnxvoj,EVERGLOW
0.602,0.728,2,-4.797,1,0.0368,0.2,0.0,0.308,0.132,147.966,audio_features,6mgqTxm6s5Vu11dSNuD4S1,spotify:track:6mgqTxm6s5Vu11dSNuD4S1,https://api.spotify.com/v1/tracks/6mgqTxm6s5Vu11dSNuD4S1,https://api.spotify.com/v1/audio-analysis/6mgqTxm6s5Vu11dSNuD4S1,164640,4,Hush,HUSH,2019-08-19,7tMpbKXDLlHPSCoPdF2OBv,EVERGLOW
0.633,0.706,10,-5.137,0,0.0627,0.000587,0.0795,0.245,0.399,128.187,audio_features,5uHl2eYaITSX6xEX8bmaXy,spotify:track:5uHl2eYaITSX6xEX8bmaXy,https://api.spotify.com/v1/tracks/5uHl2eYaITSX6xEX8bmaXy,https://api.spotify.com/v1/audio-analysis/5uHl2eYaITSX6xEX8bmaXy,189147,4,Adios,HUSH,2019-08-19,7tMpbKXDLlHPSCoPdF2OBv,EVERGLOW
0.676,0.93,6,-2.822,1,0.148,0.0585,0.0,0.477,0.54,122.879,audio_features,6smv5LHD61uo90r760Ufik,spotify:track:6smv5LHD61uo90r760Ufik,https://api.spotify.com/v1/tracks/6smv5LHD61uo90r760Ufik,https://api.spotify.com/v1/audio-analysis/6smv5LHD61uo90r760Ufik,189080,4,You Don't Know Me,HUSH,2019-08-19,7tMpbKXDLlHPSCoPdF2OBv,EVERGLOW
0.703,0.733,5,-5.356,0,0.0456,0.0203,0.0,0.155,0.659,111.961,audio_features,1ON2UoWAgGGOF4C4E8Lr21,spotify:track:1ON2UoWAgGGOF4C4E8Lr21,https://api.spotify.com/v1/tracks/1ON2UoWAgGGOF4C4E8Lr21,https://api.spotify.com/v1/audio-analysis/1ON2UoWAgGGOF4C4E8Lr21,194338,4,Moon,ARRIVAL OF EVERGLOW,2019-03-18,34jrFDbWiepwHN4L1pZmCr,EVERGLOW
0.719,0.828,6,-5.559,1,0.0613,0.0343,0.0,0.0747,0.634,139.927,audio_features,06Pvy98db25O7wlfFFFIRM,spotify:track:06Pvy98db25O7wlfFFFIRM,https://api.spotify.com/v1/tracks/06Pvy98db25O7wlfFFFIRM,https://api.spotify.com/v1/audio-analysis/06Pvy98db25O7wlfFFFIRM,228682,4,Bon Bon Chocolat,ARRIVAL OF EVERGLOW,2019-03-18,34jrFDbWiepwHN4L1pZmCr,EVERGLOW
0.614,0.473,8,-5.407,1,0.0241,0.314,0.0,0.0731,0.162,92.925,audio_features,076Ua0HsTjCai7Z48zvlsA,spotify:track:076Ua0HsTjCai7Z48zvlsA,https://api.spotify.com/v1/tracks/076Ua0HsTjCai7Z48zvlsA,https://api.spotify.com/v1/audio-analysis/076Ua0HsTjCai7Z48zvlsA,276525,4,D+1,ARRIVAL OF EVERGLOW,2019-03-18,34jrFDbWiepwHN4L1pZmCr,EVERGLOW
0.679,0.833,7,-2.565,1,0.0592,0.269,0.0,0.166,0.456,131.904,audio_features,5Jyjf4geEyGQy9L81MvoDL,spotify:track:5Jyjf4geEyGQy9L81MvoDL,https://api.spotify.com/v1/tracks/5Jyjf4geEyGQy9L81MvoDL,https://api.spotify.com/v1/audio-analysis/5Jyjf4geEyGQy9L81MvoDL,202173,4,Shall We Kiss?,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.591,0.67,5,-5.652,1,0.0437,0.295,0.0,0.129,0.427,86.018,audio_features,71OBaIpF0bdWyS0mr90tg4,spotify:track:71OBaIpF0bdWyS0mr90tg4,https://api.spotify.com/v1/tracks/71OBaIpF0bdWyS0mr90tg4,https://api.spotify.com/v1/audio-analysis/71OBaIpF0bdWyS0mr90tg4,199947,4,Only You Don't Know,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.36,0.791,4,-1.889,1,0.0422,0.341,0.0,0.313,0.373,199.995,audio_features,4V7UUJnxf0db4fxraJN7OE,spotify:track:4V7UUJnxf0db4fxraJN7OE,https://api.spotify.com/v1/tracks/4V7UUJnxf0db4fxraJN7OE,https://api.spotify.com/v1/audio-analysis/4V7UUJnxf0db4fxraJN7OE,233987,4,Run To You,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.38,0.574,4,-3.56,1,0.0279,0.436,0.0,0.163,0.249,139.918,audio_features,1ufneUzHbzy3G6KfI6d4ud,spotify:track:1ufneUzHbzy3G6KfI6d4ud,https://api.spotify.com/v1/tracks/1ufneUzHbzy3G6KfI6d4ud,https://api.spotify.com/v1/audio-analysis/1ufneUzHbzy3G6KfI6d4ud,244867,4,Wherever,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.385,0.529,6,-4.605,1,0.0437,0.694,0.0,0.119,0.224,139.091,audio_features,1cCRYABkqMJLuXbWlmpwya,spotify:track:1cCRYABkqMJLuXbWlmpwya,https://api.spotify.com/v1/tracks/1cCRYABkqMJLuXbWlmpwya,https://api.spotify.com/v1/audio-analysis/1cCRYABkqMJLuXbWlmpwya,246147,4,The Trace You Left,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.352,0.406,4,-7.688,1,0.0323,0.705,0.0,0.101,0.136,63.767,audio_features,0EZniKcaVym4cQpLgXQJYI,spotify:track:0EZniKcaVym4cQpLgXQJYI,https://api.spotify.com/v1/tracks/0EZniKcaVym4cQpLgXQJYI,https://api.spotify.com/v1/audio-analysis/0EZniKcaVym4cQpLgXQJYI,218893,4,Seeing You Again,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.645,0.632,10,-6.201,0,0.0365,0.476,0.679,0.138,0.464,119.959,audio_features,17jMjiN7iBOOqBbtM2sfbW,spotify:track:17jMjiN7iBOOqBbtM2sfbW,https://api.spotify.com/v1/tracks/17jMjiN7iBOOqBbtM2sfbW,https://api.spotify.com/v1/audio-analysis/17jMjiN7iBOOqBbtM2sfbW,116400,4,The Spies Who Loved Me,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.691,0.331,0,-8.498,0,0.0357,0.207,0.825,0.364,0.0377,111.994,audio_features,1ByozyTWhNtOMS13Vf0fjG,spotify:track:1ByozyTWhNtOMS13Vf0fjG,https://api.spotify.com/v1/tracks/1ByozyTWhNtOMS13Vf0fjG,https://api.spotify.com/v1/audio-analysis/1ByozyTWhNtOMS13Vf0fjG,163347,4,Flashpoint,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.189,0.259,5,-12.403,1,0.0379,0.845,0.927,0.0942,0.0998,132.602,audio_features,4yknqpfa2U0tPQmBV08z6L,spotify:track:4yknqpfa2U0tPQmBV08z6L,https://api.spotify.com/v1/tracks/4yknqpfa2U0tPQmBV08z6L,https://api.spotify.com/v1/audio-analysis/4yknqpfa2U0tPQmBV08z6L,208987,5,Us We Met Again,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.857,0.269,0,-11.549,1,0.104,0.378,0.0598,0.322,0.538,94.059,audio_features,5cyb3zUEbIjGB4BDKC9JXO,spotify:track:5cyb3zUEbIjGB4BDKC9JXO,https://api.spotify.com/v1/tracks/5cyb3zUEbIjGB4BDKC9JXO,https://api.spotify.com/v1/audio-analysis/5cyb3zUEbIjGB4BDKC9JXO,149013,4,Searching,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.688,0.731,0,-7.13,1,0.0278,0.41,0.877,0.112,0.926,120.095,audio_features,5aNA132u8GetYnhVf1yGwJ,spotify:track:5aNA132u8GetYnhVf1yGwJ,https://api.spotify.com/v1/tracks/5aNA132u8GetYnhVf1yGwJ,https://api.spotify.com/v1/audio-analysis/5aNA132u8GetYnhVf1yGwJ,149573,4,Secret Intelligence,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.317,0.768,5,-7.506,0,0.0437,0.00125,0.734,0.274,0.348,131.938,audio_features,7uhk9wagnWN40PtCbcyrtm,spotify:track:7uhk9wagnWN40PtCbcyrtm,https://api.spotify.com/v1/tracks/7uhk9wagnWN40PtCbcyrtm,https://api.spotify.com/v1/audio-analysis/7uhk9wagnWN40PtCbcyrtm,212587,4,Omakase,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.74,0.516,7,-12.541,1,0.0312,0.546,0.519,0.5,0.476,111.99,audio_features,18UTyZgnE1z86gjg5CkOmk,spotify:track:18UTyZgnE1z86gjg5CkOmk,https://api.spotify.com/v1/tracks/18UTyZgnE1z86gjg5CkOmk,https://api.spotify.com/v1/audio-analysis/18UTyZgnE1z86gjg5CkOmk,167413,4,PLAN A,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.673,0.166,11,-13.604,0,0.0468,0.734,0.788,0.191,0.414,149.764,audio_features,2B1MR1NVPZBhBcILIZVQHX,spotify:track:2B1MR1NVPZBhBcILIZVQHX,https://api.spotify.com/v1/tracks/2B1MR1NVPZBhBcILIZVQHX,https://api.spotify.com/v1/audio-analysis/2B1MR1NVPZBhBcILIZVQHX,102347,3,What's Up With Him,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.622,0.234,2,-10.998,1,0.0344,0.953,0.909,0.127,0.132,113.992,audio_features,1NfYP45UFijQoBRGJFoXau,spotify:track:1NfYP45UFijQoBRGJFoXau,https://api.spotify.com/v1/tracks/1NfYP45UFijQoBRGJFoXau,https://api.spotify.com/v1/audio-analysis/1NfYP45UFijQoBRGJFoXau,205347,4,If I Hadn’t Done That Then,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.66,0.597,9,-10.272,0,0.0312,0.65,0.889,0.151,0.412,134.97,audio_features,15VSw4ISPSrX9fIbTJHMXa,spotify:track:15VSw4ISPSrX9fIbTJHMXa,https://api.spotify.com/v1/tracks/15VSw4ISPSrX9fIbTJHMXa,https://api.spotify.com/v1/audio-analysis/15VSw4ISPSrX9fIbTJHMXa,129613,4,Moves Like Bond,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.651,0.957,2,-4.859,1,0.0323,0.000178,0.815,0.111,0.79,129.994,audio_features,1wMIB9E3mtCpvx3wLOqxv4,spotify:track:1wMIB9E3mtCpvx3wLOqxv4,https://api.spotify.com/v1/tracks/1wMIB9E3mtCpvx3wLOqxv4,https://api.spotify.com/v1/audio-analysis/1wMIB9E3mtCpvx3wLOqxv4,142747,4,Bring It On,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
0.363,0.597,2,-11.485,1,0.0337,0.244,0.821,0.068,0.207,104.026,audio_features,4ghf9ZPz0KuG4FwV2QFmuT,spotify:track:4ghf9ZPz0KuG4FwV2QFmuT,https://api.spotify.com/v1/tracks/4ghf9ZPz0KuG4FwV2QFmuT,https://api.spotify.com/v1/audio-analysis/4ghf9ZPz0KuG4FwV2QFmuT,178627,4,The Secret Code,The Spies Who Loved Me OST,2020-12-09,7sWpeOQPL9nC5zb6l5TzSn,EVERGLOW
