danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.163,0.951,2,-4.524,1,0.196,0.0489,0.0228,0.332,0.108,75.942,audio_features,6mP6j0P59AZBtDp4TgHGs1,spotify:track:6mP6j0P59AZBtDp4TgHGs1,https://api.spotify.com/v1/tracks/6mP6j0P59AZBtDp4TgHGs1,https://api.spotify.com/v1/audio-analysis/6mP6j0P59AZBtDp4TgHGs1,65573,4,EXplOration - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.613,0.959,2,-2.679,1,0.102,0.392,0.0,0.354,0.282,116.012,audio_features,51R9fGhN8vGIEOFDLInF6R,spotify:track:51R9fGhN8vGIEOFDLInF6R,https://api.spotify.com/v1/tracks/51R9fGhN8vGIEOFDLInF6R,https://api.spotify.com/v1/audio-analysis/51R9fGhN8vGIEOFDLInF6R,225120,4,Tempo - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.473,0.977,10,-3.18,0,0.35,0.131,0.0,0.539,0.524,175.81,audio_features,4nHsSkd9hZX5CSy2Qmp7wI,spotify:track:4nHsSkd9hZX5CSy2Qmp7wI,https://api.spotify.com/v1/tracks/4nHsSkd9hZX5CSy2Qmp7wI,https://api.spotify.com/v1/audio-analysis/4nHsSkd9hZX5CSy2Qmp7wI,224560,4,Transformer - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.637,0.937,10,-2.355,0,0.124,0.0428,0.0,0.756,0.33,117.989,audio_features,0rgbZHhfaHxz9zDj4EJPfi,spotify:track:0rgbZHhfaHxz9zDj4EJPfi,https://api.spotify.com/v1/tracks/0rgbZHhfaHxz9zDj4EJPfi,https://api.spotify.com/v1/audio-analysis/0rgbZHhfaHxz9zDj4EJPfi,240587,4,Gravity - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.562,0.866,11,-3.118,0,0.0685,0.0797,0.0,0.902,0.469,83.976,audio_features,4ZxUzwWYIG9oCWxhdBjW6Y,spotify:track:4ZxUzwWYIG9oCWxhdBjW6Y,https://api.spotify.com/v1/tracks/4ZxUzwWYIG9oCWxhdBjW6Y,https://api.spotify.com/v1/audio-analysis/4ZxUzwWYIG9oCWxhdBjW6Y,200560,4,Sign - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.608,0.769,11,-4.229,0,0.0556,0.436,0.0,0.879,0.371,84.014,audio_features,6haQ6zO4GwumSBRd5uh6bD,spotify:track:6haQ6zO4GwumSBRd5uh6bD,https://api.spotify.com/v1/tracks/6haQ6zO4GwumSBRd5uh6bD,https://api.spotify.com/v1/audio-analysis/6haQ6zO4GwumSBRd5uh6bD,244053,4,UN Village - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.641,0.798,7,-4.948,1,0.0947,0.316,0.0,0.888,0.439,98.018,audio_features,76nYziIO6r41vhe7sQhCto,spotify:track:76nYziIO6r41vhe7sQhCto,https://api.spotify.com/v1/tracks/76nYziIO6r41vhe7sQhCto,https://api.spotify.com/v1/audio-analysis/76nYziIO6r41vhe7sQhCto,260213,4,24/7 - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.574,0.914,5,-3.255,0,0.129,0.128,0.0,0.484,0.48,145.885,audio_features,1B6HtcrHqKxvIwxaNETzqe,spotify:track:1B6HtcrHqKxvIwxaNETzqe,https://api.spotify.com/v1/tracks/1B6HtcrHqKxvIwxaNETzqe,https://api.spotify.com/v1/audio-analysis/1B6HtcrHqKxvIwxaNETzqe,204933,4,Love Shot - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.586,0.857,8,-4.187,0,0.0827,0.502,0.0,0.746,0.433,82.595,audio_features,654LF7jjPY1ZOC8vi9ZrQY,spotify:track:654LF7jjPY1ZOC8vi9ZrQY,https://api.spotify.com/v1/tracks/654LF7jjPY1ZOC8vi9ZrQY,https://api.spotify.com/v1/audio-analysis/654LF7jjPY1ZOC8vi9ZrQY,194600,4,Ooh La La La - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
0.481,0.891,6,-3.376,1,0.16,0.00923,0.0,0.867,0.525,149.766,audio_features,2p84Gj2t049kVmdInrl2EV,spotify:track:2p84Gj2t049kVmdInrl2EV,https://api.spotify.com/v1/tracks/2p84Gj2t049kVmdInrl2EV,https://api.spotify.com/v1/audio-analysis/2p84Gj2t049kVmdInrl2EV,225707,4,Monster - Live,EXO PLANET #5 –EXplOration– Live Album,2020-04-21,1KKX3xvCcIMgBKrf43cr4W,EXO
