danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.724,0.846,9,-3.785,0,0.0538,0.109,0.0,0.0958,0.64,129.959,audio_features,0pDh5dMblZFw7bXRsbekZ1,spotify:track:0pDh5dMblZFw7bXRsbekZ1,https://api.spotify.com/v1/tracks/0pDh5dMblZFw7bXRsbekZ1,https://api.spotify.com/v1/audio-analysis/0pDh5dMblZFw7bXRsbekZ1,187251,4,Breath,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.715,0.866,3,-5.505,0,0.148,0.0324,0.0,0.109,0.688,98.034,audio_features,6xrjIHbm6ga5J8HhOS2Rmn,spotify:track:6xrjIHbm6ga5J8HhOS2Rmn,https://api.spotify.com/v1/tracks/6xrjIHbm6ga5J8HhOS2Rmn,https://api.spotify.com/v1/audio-analysis/6xrjIHbm6ga5J8HhOS2Rmn,222120,4,LAST PIECE,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.839,0.564,1,-7.282,1,0.0614,0.128,0.0,0.241,0.515,124.04,audio_features,04YPwOU37XTnzrPTltJz1B,spotify:track:04YPwOU37XTnzrPTltJz1B,https://api.spotify.com/v1/tracks/04YPwOU37XTnzrPTltJz1B,https://api.spotify.com/v1/audio-analysis/04YPwOU37XTnzrPTltJz1B,159720,4,Born Ready,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.761,0.724,8,-4.569,0,0.105,0.103,0.0,0.0378,0.883,90.014,audio_features,64vGGXR2JO75ngSyAsvb8d,spotify:track:64vGGXR2JO75ngSyAsvb8d,https://api.spotify.com/v1/tracks/64vGGXR2JO75ngSyAsvb8d,https://api.spotify.com/v1/audio-analysis/64vGGXR2JO75ngSyAsvb8d,206929,4,SPECIAL,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.547,0.616,2,-5.537,1,0.0843,0.0671,0.0,0.357,0.418,154.802,audio_features,6oEgj9nOyX7mqEbgP6bKBH,spotify:track:6oEgj9nOyX7mqEbgP6bKBH,https://api.spotify.com/v1/tracks/6oEgj9nOyX7mqEbgP6bKBH,https://api.spotify.com/v1/audio-analysis/6oEgj9nOyX7mqEbgP6bKBH,194465,4,WAVE,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.625,0.622,9,-6.279,1,0.0342,0.208,8.2e-05,0.17,0.279,146.048,audio_features,0nC5ebLXfpgOKOw05joNkq,spotify:track:0nC5ebLXfpgOKOw05joNkq,https://api.spotify.com/v1/tracks/0nC5ebLXfpgOKOw05joNkq,https://api.spotify.com/v1/audio-analysis/0nC5ebLXfpgOKOw05joNkq,174070,4,Waiting For You,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.649,0.528,7,-7.262,1,0.0431,0.257,0.0,0.0987,0.496,80.016,audio_features,72CFnNVdYSWvH70PkovdM2,spotify:track:72CFnNVdYSWvH70PkovdM2,https://api.spotify.com/v1/tracks/72CFnNVdYSWvH70PkovdM2,https://api.spotify.com/v1/audio-analysis/72CFnNVdYSWvH70PkovdM2,223838,4,"Thank You, Sorry",Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.717,0.863,3,-6.263,1,0.0486,0.141,3.94e-06,0.218,0.82,144.016,audio_features,1hcdSZ6FasEAByx6BrjGXY,spotify:track:1hcdSZ6FasEAByx6BrjGXY,https://api.spotify.com/v1/tracks/1hcdSZ6FasEAByx6BrjGXY,https://api.spotify.com/v1/audio-analysis/1hcdSZ6FasEAByx6BrjGXY,194961,4,1+1,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.855,0.809,8,-4.973,1,0.0639,0.00807,0.000747,0.293,0.667,123.999,audio_features,2Efpgql2LGwTC3TGEed2ol,spotify:track:2Efpgql2LGwTC3TGEed2ol,https://api.spotify.com/v1/tracks/2Efpgql2LGwTC3TGEed2ol,https://api.spotify.com/v1/audio-analysis/2Efpgql2LGwTC3TGEed2ol,180803,4,I Mean It,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
0.786,0.639,5,-5.313,1,0.0584,0.254,0.0,0.116,0.724,140.011,audio_features,7JkWbwxCqmm913MgcxIozF,spotify:track:7JkWbwxCqmm913MgcxIozF,https://api.spotify.com/v1/tracks/7JkWbwxCqmm913MgcxIozF,https://api.spotify.com/v1/audio-analysis/7JkWbwxCqmm913MgcxIozF,210131,4,We Are Young,Breath of Love: Last Piece,2020-11-30,5vL6vinpOUVWOV2T8VjL4H,GOT7
