danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.662,0.928,8,-2.916,1,0.132,0.0557,0.00122,0.127,0.824,105.067,audio_features,0WG9TuJbzIwc5wddbQmfcv,spotify:track:0WG9TuJbzIwc5wddbQmfcv,https://api.spotify.com/v1/tracks/0WG9TuJbzIwc5wddbQmfcv,https://api.spotify.com/v1/audio-analysis/0WG9TuJbzIwc5wddbQmfcv,205785,4,Girls Are Back,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.777,0.807,9,-4.101,0,0.0517,0.0308,2.93e-05,0.228,0.732,129.984,audio_features,1UwERmn5UogyCz6qo21BmA,spotify:track:1UwERmn5UogyCz6qo21BmA,https://api.spotify.com/v1/tracks/1UwERmn5UogyCz6qo21BmA,https://api.spotify.com/v1/audio-analysis/1UwERmn5UogyCz6qo21BmA,222894,4,All Night,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.709,0.867,1,-3.258,1,0.0672,0.0406,0.0,0.275,0.877,120.022,audio_features,1Bjy9ZtwMle3uhVgoBgiGN,spotify:track:1Bjy9ZtwMle3uhVgoBgiGN,https://api.spotify.com/v1/tracks/1Bjy9ZtwMle3uhVgoBgiGN,https://api.spotify.com/v1/audio-analysis/1Bjy9ZtwMle3uhVgoBgiGN,199563,4,Holiday,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.593,0.878,2,-2.867,1,0.0469,0.199,1.42e-05,0.316,0.52,97.993,audio_features,6LUaidcmZGIXczdMtMbfZ9,spotify:track:6LUaidcmZGIXczdMtMbfZ9,https://api.spotify.com/v1/tracks/6LUaidcmZGIXczdMtMbfZ9,https://api.spotify.com/v1/audio-analysis/6LUaidcmZGIXczdMtMbfZ9,230635,4,FAN,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.49,0.931,4,-4.681,1,0.237,0.049,3.58e-06,0.395,0.247,191.682,audio_features,6Wm9796jCPAQfplIM0Q7hF,spotify:track:6Wm9796jCPAQfplIM0Q7hF,https://api.spotify.com/v1/tracks/6Wm9796jCPAQfplIM0Q7hF,https://api.spotify.com/v1/audio-analysis/6Wm9796jCPAQfplIM0Q7hF,195631,4,Only One,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.692,0.602,7,-5.096,1,0.0253,0.0667,0.0,0.108,0.521,111.068,audio_features,4N8bc3QFJJcVwXRu4rcEQO,spotify:track:4N8bc3QFJJcVwXRu4rcEQO,https://api.spotify.com/v1/tracks/4N8bc3QFJJcVwXRu4rcEQO,https://api.spotify.com/v1/audio-analysis/4N8bc3QFJJcVwXRu4rcEQO,214251,4,One Last Time,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.612,0.786,10,-4.281,0,0.163,0.275,0.0,0.0725,0.729,98.913,audio_features,3x5mGMf6oxKCHyAN4mXa8m,spotify:track:3x5mGMf6oxKCHyAN4mXa8m,https://api.spotify.com/v1/tracks/3x5mGMf6oxKCHyAN4mXa8m,https://api.spotify.com/v1/audio-analysis/3x5mGMf6oxKCHyAN4mXa8m,200541,4,Sweet Talk,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.609,0.715,7,-4.121,0,0.044,0.351,0.0,0.155,0.672,129.964,audio_features,5sksmysaBWQJ3yzEP1lXdt,spotify:track:5sksmysaBWQJ3yzEP1lXdt,https://api.spotify.com/v1/tracks/5sksmysaBWQJ3yzEP1lXdt,https://api.spotify.com/v1/audio-analysis/5sksmysaBWQJ3yzEP1lXdt,218022,4,Love Is Bitter,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.631,0.711,7,-5.16,1,0.0411,0.038,0.0,0.131,0.407,92.014,audio_features,2o0tBYtr3tBBqesoZzHklI,spotify:track:2o0tBYtr3tBBqesoZzHklI,https://api.spotify.com/v1/tracks/2o0tBYtr3tBBqesoZzHklI,https://api.spotify.com/v1/audio-analysis/2o0tBYtr3tBBqesoZzHklI,232616,4,오랜 소원 It's You,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
0.433,0.651,2,-5.957,1,0.037,0.125,0.0,0.229,0.378,171.882,audio_features,6wHaswVnTnXSIOiB8t0Rfq,spotify:track:6wHaswVnTnXSIOiB8t0Rfq,https://api.spotify.com/v1/tracks/6wHaswVnTnXSIOiB8t0Rfq,https://api.spotify.com/v1/audio-analysis/6wHaswVnTnXSIOiB8t0Rfq,241107,4,Light Up the Sky,Holiday Night - The 6th Album,2017-08-04,5MQM8Jw1FvT21Dny8cOXjF,Girls' Generation
