danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.687,0.463,1,-7.754,1,0.0402,0.282,0.798,0.0621,0.273,110.981,audio_features,3WV4SYWmwpfuO508Mbuxff,spotify:track:3WV4SYWmwpfuO508Mbuxff,https://api.spotify.com/v1/tracks/3WV4SYWmwpfuO508Mbuxff,https://api.spotify.com/v1/audio-analysis/3WV4SYWmwpfuO508Mbuxff,88117,4,Re-boot,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.738,0.739,6,-3.944,0,0.164,0.231,0.0,0.0932,0.563,110.902,audio_features,4TX31otOYZcyRCwd7hMMC0,spotify:track:4TX31otOYZcyRCwd7hMMC0,https://api.spotify.com/v1/tracks/4TX31otOYZcyRCwd7hMMC0,https://api.spotify.com/v1/audio-analysis/4TX31otOYZcyRCwd7hMMC0,206573,4,WANNABE,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.714,0.731,5,-5.555,0,0.126,0.417,0.0,0.231,0.557,121.025,audio_features,6P79WvoWD60NKDHxKNxfxn,spotify:track:6P79WvoWD60NKDHxKNxfxn,https://api.spotify.com/v1/tracks/6P79WvoWD60NKDHxKNxfxn,https://api.spotify.com/v1/audio-analysis/6P79WvoWD60NKDHxKNxfxn,224342,4,Without You,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.675,0.934,11,-1.556,0,0.0476,0.132,0.0,0.343,0.846,100.975,audio_features,3COyCdPvVODktxB4BhuU5E,spotify:track:3COyCdPvVODktxB4BhuU5E,https://api.spotify.com/v1/tracks/3COyCdPvVODktxB4BhuU5E,https://api.spotify.com/v1/audio-analysis/3COyCdPvVODktxB4BhuU5E,231427,4,I Love U Crazy!,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.666,0.84,1,-3.164,0,0.0554,0.0422,0.0,0.282,0.835,129.933,audio_features,1kQ6COziaUskeO2vgR6o8w,spotify:track:1kQ6COziaUskeO2vgR6o8w,https://api.spotify.com/v1/tracks/1kQ6COziaUskeO2vgR6o8w,https://api.spotify.com/v1/audio-analysis/1kQ6COziaUskeO2vgR6o8w,205640,4,Lately,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.644,0.896,11,-4.0,0,0.0707,0.172,0.0,0.123,0.645,101.974,audio_features,2RW4y2tX6SGAD9RjixScis,spotify:track:2RW4y2tX6SGAD9RjixScis,https://api.spotify.com/v1/tracks/2RW4y2tX6SGAD9RjixScis,https://api.spotify.com/v1/audio-analysis/2RW4y2tX6SGAD9RjixScis,186067,4,COMPASS,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.836,0.889,7,-3.882,1,0.154,0.22,0.0,0.0582,0.731,106.055,audio_features,3rzukiyeEzL8kusUplfWqc,spotify:track:3rzukiyeEzL8kusUplfWqc,https://api.spotify.com/v1/tracks/3rzukiyeEzL8kusUplfWqc,https://api.spotify.com/v1/audio-analysis/3rzukiyeEzL8kusUplfWqc,203533,4,No Matter What (Jang Jun & TAG) Feat. Joo Chan,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.582,0.505,3,-7.493,1,0.0259,0.774,0.00349,0.101,0.34,120.083,audio_features,0Rm71Ozq7wfKAypQVSScJc,spotify:track:0Rm71Ozq7wfKAypQVSScJc,https://api.spotify.com/v1/tracks/0Rm71Ozq7wfKAypQVSScJc,https://api.spotify.com/v1/audio-analysis/0Rm71Ozq7wfKAypQVSScJc,227775,4,A Song For Me (Joo Chan Solo),Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.662,0.648,0,-6.081,1,0.0484,0.462,0.0,0.113,0.547,78.005,audio_features,5KQAtaj1BJIOB7Pwu9Kw8p,spotify:track:5KQAtaj1BJIOB7Pwu9Kw8p,https://api.spotify.com/v1/tracks/5KQAtaj1BJIOB7Pwu9Kw8p,https://api.spotify.com/v1/audio-analysis/5KQAtaj1BJIOB7Pwu9Kw8p,231286,4,Spring Again,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
0.429,0.906,0,-1.823,1,0.0788,0.0458,0.0,0.287,0.799,111.206,audio_features,0DAQsCoPLmLcTfskW9pOXL,spotify:track:0DAQsCoPLmLcTfskW9pOXL,https://api.spotify.com/v1/tracks/0DAQsCoPLmLcTfskW9pOXL,https://api.spotify.com/v1/audio-analysis/0DAQsCoPLmLcTfskW9pOXL,198467,4,She's My Girl,Golden Child 1st Album Repackage [Without You],2020-01-29,2iNuqI81QpukRsKAmEIJeF,Golden Child
