danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.673,0.663,2,-5.202,1,0.0323,0.154,0.846,0.103,0.58,109.94,audio_features,6F60TOJLVCcAY62RfmSZ4i,spotify:track:6F60TOJLVCcAY62RfmSZ4i,https://api.spotify.com/v1/tracks/6F60TOJLVCcAY62RfmSZ4i,https://api.spotify.com/v1/audio-analysis/6F60TOJLVCcAY62RfmSZ4i,90687,4,Begin,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.667,0.796,2,-3.128,1,0.0492,0.177,0.0,0.106,0.531,109.9,audio_features,6UGiaIJTytlixn5WDidlED,spotify:track:6UGiaIJTytlixn5WDidlED,https://api.spotify.com/v1/tracks/6UGiaIJTytlixn5WDidlED,https://api.spotify.com/v1/audio-analysis/6UGiaIJTytlixn5WDidlED,231079,4,Tell Me,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.496,0.902,4,-2.937,1,0.0577,0.0117,0.0,0.0798,0.361,129.984,audio_features,3RVbgUbDWVnVG9G3aJrzh9,spotify:track:3RVbgUbDWVnVG9G3aJrzh9,https://api.spotify.com/v1/tracks/3RVbgUbDWVnVG9G3aJrzh9,https://api.spotify.com/v1/audio-analysis/3RVbgUbDWVnVG9G3aJrzh9,240562,4,Synchronise,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.462,0.716,8,-5.722,1,0.0485,0.326,0.0,0.103,0.189,79.971,audio_features,2BLCuVay110yb1yO0QYDid,spotify:track:2BLCuVay110yb1yO0QYDid,https://api.spotify.com/v1/tracks/2BLCuVay110yb1yO0QYDid,https://api.spotify.com/v1/audio-analysis/2BLCuVay110yb1yO0QYDid,202037,4,No More,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.728,0.694,6,-4.525,0,0.0597,0.136,0.0,0.158,0.658,96.99,audio_features,7rmnTlxSiuxvLosgsLrboH,spotify:track:7rmnTlxSiuxvLosgsLrboH,https://api.spotify.com/v1/tracks/7rmnTlxSiuxvLosgsLrboH,https://api.spotify.com/v1/audio-analysis/7rmnTlxSiuxvLosgsLrboH,202581,4,TGIF (Dong Woo Solo),TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.576,0.864,6,-3.733,0,0.0309,0.152,0.0,0.0482,0.735,120.016,audio_features,6Ai6pxs4boTH3NRmK95FLd,spotify:track:6Ai6pxs4boTH3NRmK95FLd,https://api.spotify.com/v1/tracks/6Ai6pxs4boTH3NRmK95FLd,https://api.spotify.com/v1/audio-analysis/6Ai6pxs4boTH3NRmK95FLd,204733,3,Pray,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.312,0.614,5,-4.461,1,0.035,0.303,0.0,0.104,0.173,141.913,audio_features,4jGl8gXMblBU8PUdJErSAN,spotify:track:4jGl8gXMblBU8PUdJErSAN,https://api.spotify.com/v1/tracks/4jGl8gXMblBU8PUdJErSAN,https://api.spotify.com/v1/audio-analysis/4jGl8gXMblBU8PUdJErSAN,314216,4,Why Me,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.66,0.925,0,-3.138,0,0.063,0.0072,0.0,0.342,0.493,126.001,audio_features,7oGEP1UfFPnJOFeE38Erjr,spotify:track:7oGEP1UfFPnJOFeE38Erjr,https://api.spotify.com/v1/tracks/7oGEP1UfFPnJOFeE38Erjr,https://api.spotify.com/v1/audio-analysis/7oGEP1UfFPnJOFeE38Erjr,227464,4,Wind,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.541,0.948,11,-3.943,0,0.14,0.0021,0.0,0.365,0.781,90.129,audio_features,1Jf8ufNTYPWdegpVkfDBZt,spotify:track:1Jf8ufNTYPWdegpVkfDBZt,https://api.spotify.com/v1/tracks/1Jf8ufNTYPWdegpVkfDBZt,https://api.spotify.com/v1/audio-analysis/1Jf8ufNTYPWdegpVkfDBZt,219535,4,I Hate,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.281,0.332,9,-6.397,1,0.0281,0.857,2.85e-06,0.0898,0.342,140.914,audio_features,1wLJHRAKWsI7lFhpOJj4nv,spotify:track:1wLJHRAKWsI7lFhpOJj4nv,https://api.spotify.com/v1/tracks/1wLJHRAKWsI7lFhpOJj4nv,https://api.spotify.com/v1/audio-analysis/1wLJHRAKWsI7lFhpOJj4nv,224187,4,reminisce,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.652,0.582,1,-5.84,1,0.0569,0.19,0.0,0.0902,0.596,88.96,audio_features,3hVmq2LeSvIEEvUnV5abZ9,spotify:track:3hVmq2LeSvIEEvUnV5abZ9,https://api.spotify.com/v1/tracks/3hVmq2LeSvIEEvUnV5abZ9,https://api.spotify.com/v1/audio-analysis/3hVmq2LeSvIEEvUnV5abZ9,192263,4,Love Song (Sung Jong Solo),TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.65,0.856,5,-3.602,1,0.0779,0.103,0.0,0.0729,0.653,108.929,audio_features,7xFgidUl3tJSTjO8CS7CFL,spotify:track:7xFgidUl3tJSTjO8CS7CFL,https://api.spotify.com/v1/tracks/7xFgidUl3tJSTjO8CS7CFL,https://api.spotify.com/v1/audio-analysis/7xFgidUl3tJSTjO8CS7CFL,212568,4,Begin Again,TOP SEED,2018-01-08,7xuwYMKOTLRGynVDjtLTTb,INFINITE
0.735,0.866,4,-3.812,0,0.132,0.11,0.0,0.0879,0.772,116.027,audio_features,0AhpjLD21GQdkR5njsafFt,spotify:track:0AhpjLD21GQdkR5njsafFt,https://api.spotify.com/v1/tracks/0AhpjLD21GQdkR5njsafFt,https://api.spotify.com/v1/audio-analysis/0AhpjLD21GQdkR5njsafFt,224400,4,Air - Japanese Ver.,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.641,0.758,4,-4.371,1,0.046,0.233,0.0,0.0607,0.366,95.079,audio_features,2JyNg2rxPYc8mdLIVpGhA2,spotify:track:2JyNg2rxPYc8mdLIVpGhA2,https://api.spotify.com/v1/tracks/2JyNg2rxPYc8mdLIVpGhA2,https://api.spotify.com/v1/audio-analysis/2JyNg2rxPYc8mdLIVpGhA2,225133,4,One Day - Japanese Ver.,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.593,0.902,4,-3.143,0,0.0681,0.01,0.0,0.127,0.444,128.061,audio_features,4yFIpmMmx6KcjSIt4v7HNP,spotify:track:4yFIpmMmx6KcjSIt4v7HNP,https://api.spotify.com/v1/tracks/4yFIpmMmx6KcjSIt4v7HNP,https://api.spotify.com/v1/audio-analysis/4yFIpmMmx6KcjSIt4v7HNP,240720,4,Zero - Japanese Ver.,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.684,0.898,2,-3.097,0,0.0854,0.101,0.0,0.168,0.764,119.954,audio_features,6cx90dKrxMksg8sycIrW0d,spotify:track:6cx90dKrxMksg8sycIrW0d,https://api.spotify.com/v1/tracks/6cx90dKrxMksg8sycIrW0d,https://api.spotify.com/v1/audio-analysis/6cx90dKrxMksg8sycIrW0d,227133,4,Toki,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.506,0.676,6,-4.603,0,0.0292,0.114,0.0,0.177,0.281,90.011,audio_features,6x8uBS99y2tOCeoWWLcuoJ,spotify:track:6x8uBS99y2tOCeoWWLcuoJ,https://api.spotify.com/v1/tracks/6x8uBS99y2tOCeoWWLcuoJ,https://api.spotify.com/v1/audio-analysis/6x8uBS99y2tOCeoWWLcuoJ,253453,4,Thanks - Japanese Ver.,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.674,0.767,7,-4.288,0,0.142,0.102,0.0,0.144,0.261,118.072,audio_features,5VqURsTJ5G1tg14F4BVuWb,spotify:track:5VqURsTJ5G1tg14F4BVuWb,https://api.spotify.com/v1/tracks/5VqURsTJ5G1tg14F4BVuWb,https://api.spotify.com/v1/audio-analysis/5VqURsTJ5G1tg14F4BVuWb,242267,4,The Eye - Japanese Ver.,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.75,0.754,0,-4.486,0,0.0475,0.0181,0.0,0.0673,0.706,106.003,audio_features,1J0UNsVuXa71NPLn2UXT52,spotify:track:1J0UNsVuXa71NPLn2UXT52,https://api.spotify.com/v1/tracks/1J0UNsVuXa71NPLn2UXT52,https://api.spotify.com/v1/audio-analysis/1J0UNsVuXa71NPLn2UXT52,210187,4,After Dark,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.453,0.729,0,-3.682,0,0.0539,0.173,0.0,0.227,0.4,179.725,audio_features,2g0b4FbmKVHS1IcBZTniMA,spotify:track:2g0b4FbmKVHS1IcBZTniMA,https://api.spotify.com/v1/tracks/2g0b4FbmKVHS1IcBZTniMA,https://api.spotify.com/v1/audio-analysis/2g0b4FbmKVHS1IcBZTniMA,281680,4,Waiting For The Moment,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.709,0.789,1,-5.486,0,0.0822,0.0529,0.0,0.103,0.549,127.985,audio_features,4tDVLLeXAXo8ADy4b4xRAz,spotify:track:4tDVLLeXAXo8ADy4b4xRAz,https://api.spotify.com/v1/tracks/4tDVLLeXAXo8ADy4b4xRAz,https://api.spotify.com/v1/audio-analysis/4tDVLLeXAXo8ADy4b4xRAz,218267,4,Man In Love - Ava1anche Remix,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.658,0.855,1,-5.354,1,0.0475,0.0325,0.0,0.221,0.532,126.951,audio_features,76mOlFpmYM0bdEe1rHSweV,spotify:track:76mOlFpmYM0bdEe1rHSweV,https://api.spotify.com/v1/tracks/76mOlFpmYM0bdEe1rHSweV,https://api.spotify.com/v1/audio-analysis/76mOlFpmYM0bdEe1rHSweV,238640,4,Be Mine - Ava1anche Remix,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
0.65,0.802,9,-3.645,0,0.0556,0.302,0.0,0.0935,0.666,94.998,audio_features,5wxwTNScWVBMDavpp95EiY,spotify:track:5wxwTNScWVBMDavpp95EiY,https://api.spotify.com/v1/tracks/5wxwTNScWVBMDavpp95EiY,https://api.spotify.com/v1/audio-analysis/5wxwTNScWVBMDavpp95EiY,209827,4,True Love - Japanese Ver.,AIR,2017-05-24,2Cvm4brxkj1BmITpihJ0RM,INFINITE
