danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.614,0.877,9,-4.04,0,0.0406,0.00569,0.00633,0.0649,0.326,128.037,audio_features,2iv1U6ulyjUIWJPSlrawHN,spotify:track:2iv1U6ulyjUIWJPSlrawHN,https://api.spotify.com/v1/tracks/2iv1U6ulyjUIWJPSlrawHN,https://api.spotify.com/v1/audio-analysis/2iv1U6ulyjUIWJPSlrawHN,73720,4,12:00,[12:00],2020-10-19,3obToaukLcPbCLPPmWFzQi,LOONA
0.806,0.934,2,-0.836,1,0.11,0.104,0.00108,0.0618,0.444,128.016,audio_features,6yGQ86UppYULzTCxAWgwVN,spotify:track:6yGQ86UppYULzTCxAWgwVN,https://api.spotify.com/v1/tracks/6yGQ86UppYULzTCxAWgwVN,https://api.spotify.com/v1/audio-analysis/6yGQ86UppYULzTCxAWgwVN,205520,4,Why Not?,[12:00],2020-10-19,3obToaukLcPbCLPPmWFzQi,LOONA
0.71,0.921,6,-1.905,0,0.0547,0.053,0.00429,0.0576,0.912,158.069,audio_features,6tIKSYUpxyOOhE4OPDXjNi,spotify:track:6tIKSYUpxyOOhE4OPDXjNi,https://api.spotify.com/v1/tracks/6tIKSYUpxyOOhE4OPDXjNi,https://api.spotify.com/v1/audio-analysis/6tIKSYUpxyOOhE4OPDXjNi,198187,4,Voice,[12:00],2020-10-19,3obToaukLcPbCLPPmWFzQi,LOONA
0.643,0.644,0,-3.315,1,0.0629,0.523,2.91e-06,0.0904,0.414,83.994,audio_features,5t6ffoqxXwydvNlYC3niot,spotify:track:5t6ffoqxXwydvNlYC3niot,https://api.spotify.com/v1/tracks/5t6ffoqxXwydvNlYC3niot,https://api.spotify.com/v1/audio-analysis/5t6ffoqxXwydvNlYC3niot,215973,4,Fall Again,[12:00],2020-10-19,3obToaukLcPbCLPPmWFzQi,LOONA
0.776,0.665,8,-3.971,1,0.0354,0.374,0.0,0.0969,0.422,109.988,audio_features,3lVzntD100XcGaW3HZ5FuU,spotify:track:3lVzntD100XcGaW3HZ5FuU,https://api.spotify.com/v1/tracks/3lVzntD100XcGaW3HZ5FuU,https://api.spotify.com/v1/audio-analysis/3lVzntD100XcGaW3HZ5FuU,214360,4,Universe,[12:00],2020-10-19,3obToaukLcPbCLPPmWFzQi,LOONA
0.764,0.922,2,-1.583,1,0.0631,0.0377,0.000116,0.124,0.741,130.022,audio_features,5QZHS9YzYpNDY8nmG2h64N,spotify:track:5QZHS9YzYpNDY8nmG2h64N,https://api.spotify.com/v1/tracks/5QZHS9YzYpNDY8nmG2h64N,https://api.spotify.com/v1/audio-analysis/5QZHS9YzYpNDY8nmG2h64N,182373,4,Hide & Seek,[12:00],2020-10-19,3obToaukLcPbCLPPmWFzQi,LOONA
0.813,0.913,0,-2.987,1,0.129,0.128,0.00982,0.304,0.675,104.998,audio_features,1PI5Nlv1bJESN0H1wBa7Pe,spotify:track:1PI5Nlv1bJESN0H1wBa7Pe,https://api.spotify.com/v1/tracks/1PI5Nlv1bJESN0H1wBa7Pe,https://api.spotify.com/v1/audio-analysis/1PI5Nlv1bJESN0H1wBa7Pe,162053,4,OOPS!,[12:00],2020-10-19,3obToaukLcPbCLPPmWFzQi,LOONA
0.715,0.92,6,-1.787,0,0.0557,0.0557,0.0037,0.0607,0.874,158.15,audio_features,4wGt2KmqMQ7LC5bqPi51sf,spotify:track:4wGt2KmqMQ7LC5bqPi51sf,https://api.spotify.com/v1/tracks/4wGt2KmqMQ7LC5bqPi51sf,https://api.spotify.com/v1/audio-analysis/4wGt2KmqMQ7LC5bqPi51sf,198187,4,Star,[12:00],2020-10-19,3obToaukLcPbCLPPmWFzQi,LOONA
0.613,0.877,9,-4.04,0,0.0405,0.00568,0.0042,0.0649,0.325,128.046,audio_features,4kTM6FHd4rJ94pgXpgxq4n,spotify:track:4kTM6FHd4rJ94pgXpgxq4n,https://api.spotify.com/v1/tracks/4kTM6FHd4rJ94pgXpgxq4n,https://api.spotify.com/v1/audio-analysis/4kTM6FHd4rJ94pgXpgxq4n,73720,4,12:00,[12:00],2020-10-19,0AfLJ1yEWYlFPabxu1kmht,LOONA
0.805,0.933,2,-0.837,1,0.111,0.0991,0.000956,0.0618,0.441,128.013,audio_features,227y7s5IZ5TWN17Pkte5tc,spotify:track:227y7s5IZ5TWN17Pkte5tc,https://api.spotify.com/v1/tracks/227y7s5IZ5TWN17Pkte5tc,https://api.spotify.com/v1/audio-analysis/227y7s5IZ5TWN17Pkte5tc,205520,4,Why Not?,[12:00],2020-10-19,0AfLJ1yEWYlFPabxu1kmht,LOONA
0.709,0.921,6,-1.908,0,0.0548,0.0542,0.00415,0.0575,0.912,158.077,audio_features,3RIBc0xd2STgLZKwzGskH7,spotify:track:3RIBc0xd2STgLZKwzGskH7,https://api.spotify.com/v1/tracks/3RIBc0xd2STgLZKwzGskH7,https://api.spotify.com/v1/audio-analysis/3RIBc0xd2STgLZKwzGskH7,198187,4,Voice,[12:00],2020-10-19,0AfLJ1yEWYlFPabxu1kmht,LOONA
0.644,0.646,0,-3.327,1,0.0627,0.53,2.96e-06,0.0905,0.395,84.004,audio_features,3fCjr9vv9VK6xbqSm4QDaj,spotify:track:3fCjr9vv9VK6xbqSm4QDaj,https://api.spotify.com/v1/tracks/3fCjr9vv9VK6xbqSm4QDaj,https://api.spotify.com/v1/audio-analysis/3fCjr9vv9VK6xbqSm4QDaj,215973,4,Fall Again,[12:00],2020-10-19,0AfLJ1yEWYlFPabxu1kmht,LOONA
0.775,0.666,8,-3.968,1,0.0356,0.352,0.0,0.0964,0.437,109.99,audio_features,6tGl0s9NstDi2JK45gf7n3,spotify:track:6tGl0s9NstDi2JK45gf7n3,https://api.spotify.com/v1/tracks/6tGl0s9NstDi2JK45gf7n3,https://api.spotify.com/v1/audio-analysis/6tGl0s9NstDi2JK45gf7n3,214360,4,Universe,[12:00],2020-10-19,0AfLJ1yEWYlFPabxu1kmht,LOONA
0.764,0.922,2,-1.584,1,0.0643,0.0376,0.000105,0.124,0.756,130.016,audio_features,7A09W2N30JI3KncOCufbI6,spotify:track:7A09W2N30JI3KncOCufbI6,https://api.spotify.com/v1/tracks/7A09W2N30JI3KncOCufbI6,https://api.spotify.com/v1/audio-analysis/7A09W2N30JI3KncOCufbI6,182373,4,Hide & Seek,[12:00],2020-10-19,0AfLJ1yEWYlFPabxu1kmht,LOONA
0.801,0.913,0,-2.986,1,0.145,0.127,0.0101,0.304,0.663,105.015,audio_features,59wNSk5SUZJrVRtrHafdDG,spotify:track:59wNSk5SUZJrVRtrHafdDG,https://api.spotify.com/v1/tracks/59wNSk5SUZJrVRtrHafdDG,https://api.spotify.com/v1/audio-analysis/59wNSk5SUZJrVRtrHafdDG,162053,4,OOPS!,[12:00],2020-10-19,0AfLJ1yEWYlFPabxu1kmht,LOONA
0.715,0.92,6,-1.789,0,0.0552,0.0566,0.00399,0.0607,0.869,158.15,audio_features,46Xt2hKFz0R8RiqNPO1ato,spotify:track:46Xt2hKFz0R8RiqNPO1ato,https://api.spotify.com/v1/tracks/46Xt2hKFz0R8RiqNPO1ato,https://api.spotify.com/v1/audio-analysis/46Xt2hKFz0R8RiqNPO1ato,198187,4,Star (Voice English Ver.),[12:00],2020-10-19,0AfLJ1yEWYlFPabxu1kmht,LOONA
0.722,0.652,1,-6.699,1,0.0354,0.0345,0.766,0.08,0.337,125.015,audio_features,3Q4eFdGe02tM0whH8AH4F0,spotify:track:3Q4eFdGe02tM0whH8AH4F0,https://api.spotify.com/v1/tracks/3Q4eFdGe02tM0whH8AH4F0,https://api.spotify.com/v1/audio-analysis/3Q4eFdGe02tM0whH8AH4F0,66200,4,#,[#],2020-02-05,6rOL2mghTfDyx5CY0eU1Dn,LOONA
0.608,0.947,11,-2.437,1,0.244,0.0801,9.38e-06,0.231,0.511,125.082,audio_features,7w3pIUjz7BTTqj9uAws40m,spotify:track:7w3pIUjz7BTTqj9uAws40m,https://api.spotify.com/v1/tracks/7w3pIUjz7BTTqj9uAws40m,https://api.spotify.com/v1/audio-analysis/7w3pIUjz7BTTqj9uAws40m,198040,4,So What,[#],2020-02-05,6rOL2mghTfDyx5CY0eU1Dn,LOONA
0.689,0.945,11,-3.346,1,0.0454,0.0844,0.0,0.412,0.774,103.982,audio_features,2GGzUBEJE1dN2PHrf7neS7,spotify:track:2GGzUBEJE1dN2PHrf7neS7,https://api.spotify.com/v1/tracks/2GGzUBEJE1dN2PHrf7neS7,https://api.spotify.com/v1/audio-analysis/2GGzUBEJE1dN2PHrf7neS7,202947,4,Number 1,[#],2020-02-05,6rOL2mghTfDyx5CY0eU1Dn,LOONA
0.789,0.814,6,-3.487,1,0.0635,0.143,3.92e-06,0.229,0.84,119.974,audio_features,0WdCXlXSSfpIldlzZ4BrHi,spotify:track:0WdCXlXSSfpIldlzZ4BrHi,https://api.spotify.com/v1/tracks/0WdCXlXSSfpIldlzZ4BrHi,https://api.spotify.com/v1/audio-analysis/0WdCXlXSSfpIldlzZ4BrHi,195787,4,Oh (Yes I Am),[#],2020-02-05,6rOL2mghTfDyx5CY0eU1Dn,LOONA
0.748,0.95,7,-2.687,0,0.0812,0.153,1.27e-05,0.313,0.814,111.966,audio_features,4bPY0n3hMVd6q39B2ePkZe,spotify:track:4bPY0n3hMVd6q39B2ePkZe,https://api.spotify.com/v1/tracks/4bPY0n3hMVd6q39B2ePkZe,https://api.spotify.com/v1/audio-analysis/4bPY0n3hMVd6q39B2ePkZe,178773,4,Ding Ding Dong,[#],2020-02-05,6rOL2mghTfDyx5CY0eU1Dn,LOONA
0.468,0.415,9,-5.522,1,0.0387,0.635,0.0,0.147,0.204,84.155,audio_features,3AAu0viADpL0jFsRzOrlmR,spotify:track:3AAu0viADpL0jFsRzOrlmR,https://api.spotify.com/v1/tracks/3AAu0viADpL0jFsRzOrlmR,https://api.spotify.com/v1/audio-analysis/3AAu0viADpL0jFsRzOrlmR,221933,5,365,[#],2020-02-05,6rOL2mghTfDyx5CY0eU1Dn,LOONA
0.372,0.412,9,-5.525,1,0.0408,0.643,0.0,0.137,0.192,75.201,audio_features,1FJPXCXDD9yt9naw8R5bfs,spotify:track:1FJPXCXDD9yt9naw8R5bfs,https://api.spotify.com/v1/tracks/1FJPXCXDD9yt9naw8R5bfs,https://api.spotify.com/v1/audio-analysis/1FJPXCXDD9yt9naw8R5bfs,221920,4,365,365,2019-12-13,749shYoyhKYDbQE50IpVqT,LOONA
0.655,0.666,9,-5.056,1,0.0731,0.0851,0.891,0.0834,0.447,87.63,audio_features,4TgYBLdExSoISFOfWLmBOh,spotify:track:4TgYBLdExSoISFOfWLmBOh,https://api.spotify.com/v1/tracks/4TgYBLdExSoISFOfWLmBOh,https://api.spotify.com/v1/audio-analysis/4TgYBLdExSoISFOfWLmBOh,48659,4,X X,[X X],2019-02-19,2Ij6998NUjQ0BkQ2ipqiET,LOONA
0.582,0.866,7,-4.139,0,0.0414,0.0427,0.00014,0.126,0.351,107.021,audio_features,5jhYykolbcG1T9wZSyvhp5,spotify:track:5jhYykolbcG1T9wZSyvhp5,https://api.spotify.com/v1/tracks/5jhYykolbcG1T9wZSyvhp5,https://api.spotify.com/v1/audio-analysis/5jhYykolbcG1T9wZSyvhp5,237756,4,Butterfly,[X X],2019-02-19,2Ij6998NUjQ0BkQ2ipqiET,LOONA
