danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.451,0.867,4,-3.316,0,0.459,0.0785,0.0,0.348,0.511,89.108,audio_features,4hxNs73449mNhfLIvAC9zz,spotify:track:4hxNs73449mNhfLIvAC9zz,https://api.spotify.com/v1/tracks/4hxNs73449mNhfLIvAC9zz,https://api.spotify.com/v1/audio-analysis/4hxNs73449mNhfLIvAC9zz,182533,4,Love Killa,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.717,0.759,4,-4.67,0,0.1,0.148,0.0,0.243,0.384,106.023,audio_features,0qgeQ8XdmXbqTGiyre27zb,spotify:track:0qgeQ8XdmXbqTGiyre27zb,https://api.spotify.com/v1/tracks/0qgeQ8XdmXbqTGiyre27zb,https://api.spotify.com/v1/audio-analysis/0qgeQ8XdmXbqTGiyre27zb,238613,4,갈증,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.634,0.825,5,-1.913,0,0.231,0.0964,0.0,0.0744,0.623,150.094,audio_features,3biqfRb3wRbU9Kqk1UxUFh,spotify:track:3biqfRb3wRbU9Kqk1UxUFh,https://api.spotify.com/v1/tracks/3biqfRb3wRbU9Kqk1UxUFh,https://api.spotify.com/v1/audio-analysis/3biqfRb3wRbU9Kqk1UxUFh,219800,4,Thriller,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.797,0.713,5,-2.534,0,0.0548,0.224,0.0,0.0602,0.522,120.022,audio_features,180VPsis7DEfxa6uoA3FhP,spotify:track:180VPsis7DEfxa6uoA3FhP,https://api.spotify.com/v1/tracks/180VPsis7DEfxa6uoA3FhP,https://api.spotify.com/v1/audio-analysis/180VPsis7DEfxa6uoA3FhP,205307,4,Guess Who,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.599,0.774,4,-3.586,0,0.109,0.0531,0.0,0.126,0.356,139.728,audio_features,68qPGupXKOqzykZVJrWEpe,spotify:track:68qPGupXKOqzykZVJrWEpe,https://api.spotify.com/v1/tracks/68qPGupXKOqzykZVJrWEpe,https://api.spotify.com/v1/audio-analysis/68qPGupXKOqzykZVJrWEpe,182213,4,Nobody Else,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.623,0.9,5,-1.808,0,0.0878,0.022,0.0,0.101,0.504,95.949,audio_features,1eE7QzYxnnh06pJaZ4QhwN,spotify:track:1eE7QzYxnnh06pJaZ4QhwN,https://api.spotify.com/v1/tracks/1eE7QzYxnnh06pJaZ4QhwN,https://api.spotify.com/v1/audio-analysis/1eE7QzYxnnh06pJaZ4QhwN,195400,4,BEASTMODE,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.605,0.916,1,-1.539,1,0.0747,0.0485,0.0,0.158,0.632,150.114,audio_features,5D6RMJ23dre5lxGuZF7Q2d,spotify:track:5D6RMJ23dre5lxGuZF7Q2d,https://api.spotify.com/v1/tracks/5D6RMJ23dre5lxGuZF7Q2d,https://api.spotify.com/v1/audio-analysis/5D6RMJ23dre5lxGuZF7Q2d,183427,4,대동단결,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.709,0.813,6,-4.19,0,0.0783,0.349,0.0,0.292,0.381,109.996,audio_features,0cCodghRuNyt6AOtz46y5L,spotify:track:0cCodghRuNyt6AOtz46y5L,https://api.spotify.com/v1/tracks/0cCodghRuNyt6AOtz46y5L,https://api.spotify.com/v1/audio-analysis/0cCodghRuNyt6AOtz46y5L,189307,4,Night View,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.784,0.663,5,-5.761,0,0.0563,0.231,0.0,0.1,0.55,98.029,audio_features,2ToiAuPuVZGOUC96jOvmmW,spotify:track:2ToiAuPuVZGOUC96jOvmmW,https://api.spotify.com/v1/tracks/2ToiAuPuVZGOUC96jOvmmW,https://api.spotify.com/v1/audio-analysis/2ToiAuPuVZGOUC96jOvmmW,174640,4,Last Carnival,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
0.573,0.491,5,-8.207,0,0.0442,0.575,1.25e-06,0.101,0.656,205.682,audio_features,0SEy222w1gkxs6eJioH794,spotify:track:0SEy222w1gkxs6eJioH794,https://api.spotify.com/v1/tracks/0SEy222w1gkxs6eJioH794,https://api.spotify.com/v1/audio-analysis/0SEy222w1gkxs6eJioH794,207640,4,Sorry I'm Not Sorry,Fatal Love,2020-11-02,3x2BuKhzRIRjU4jm1WxFo3,Monsta X
