danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.636,0.915,1,-3.473,1,0.183,0.0353,0.0,0.0978,0.511,90.946,audio_features,0O22hXRIdbyrnMQk7VldC9,spotify:track:0O22hXRIdbyrnMQk7VldC9,https://api.spotify.com/v1/tracks/0O22hXRIdbyrnMQk7VldC9,https://api.spotify.com/v1/audio-analysis/0O22hXRIdbyrnMQk7VldC9,204000,4,Punch,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.555,0.926,0,-2.793,0,0.113,0.0892,0.0,0.0626,0.644,149.725,audio_features,23a4qKSwqUK70S8GnXa0Js,spotify:track:23a4qKSwqUK70S8GnXa0Js,https://api.spotify.com/v1/tracks/23a4qKSwqUK70S8GnXa0Js,https://api.spotify.com/v1/audio-analysis/23a4qKSwqUK70S8GnXa0Js,204707,4,NonStop,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.569,0.823,4,-5.709,0,0.169,0.00796,0.779,0.28,0.328,166.994,audio_features,6hHzGmjnndU1GyJsZwQ0HH,spotify:track:6hHzGmjnndU1GyJsZwQ0HH,https://api.spotify.com/v1/tracks/6hHzGmjnndU1GyJsZwQ0HH,https://api.spotify.com/v1/audio-analysis/6hHzGmjnndU1GyJsZwQ0HH,105280,4,Prelude,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.681,0.847,7,-2.462,1,0.0867,0.0306,0.0,0.0808,0.506,167.036,audio_features,3T89k61L3Uw1gHpuAKMEVH,spotify:track:3T89k61L3Uw1gHpuAKMEVH,https://api.spotify.com/v1/tracks/3T89k61L3Uw1gHpuAKMEVH,https://api.spotify.com/v1/audio-analysis/3T89k61L3Uw1gHpuAKMEVH,233013,4,Kick It,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.74,0.628,2,-3.355,1,0.143,0.043,1.74e-06,0.12,0.307,104.929,audio_features,1fX2Cec5SwCg7YN2iIZzR7,spotify:track:1fX2Cec5SwCg7YN2iIZzR7,https://api.spotify.com/v1/tracks/1fX2Cec5SwCg7YN2iIZzR7,https://api.spotify.com/v1/audio-analysis/1fX2Cec5SwCg7YN2iIZzR7,209080,4,Boom,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.636,0.814,0,-3.38,1,0.0693,0.127,0.0,0.064,0.635,159.97,audio_features,42fbsXQxGelDfIPiW6WbZb,spotify:track:42fbsXQxGelDfIPiW6WbZb,https://api.spotify.com/v1/tracks/42fbsXQxGelDfIPiW6WbZb,https://api.spotify.com/v1/audio-analysis/42fbsXQxGelDfIPiW6WbZb,249120,4,Pandora's Box,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.421,0.799,4,-4.441,1,0.14,0.203,0.0,0.198,0.176,136.424,audio_features,01MofO92inu7XFSfCXwsbT,spotify:track:01MofO92inu7XFSfCXwsbT,https://api.spotify.com/v1/tracks/01MofO92inu7XFSfCXwsbT,https://api.spotify.com/v1/audio-analysis/01MofO92inu7XFSfCXwsbT,205747,3,Day Dream,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.602,0.411,2,-5.634,0,0.0315,0.839,0.0,0.283,0.439,117.661,audio_features,3AHenSAPA6AQZZnyuWHJnz,spotify:track:3AHenSAPA6AQZZnyuWHJnz,https://api.spotify.com/v1/tracks/3AHenSAPA6AQZZnyuWHJnz,https://api.spotify.com/v1/audio-analysis/3AHenSAPA6AQZZnyuWHJnz,215027,3,Make Your Day,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.534,0.575,7,-6.628,1,0.106,0.244,0.807,0.0296,0.109,166.078,audio_features,2BuX8GK4FWQ5EEHCepk7lk,spotify:track:2BuX8GK4FWQ5EEHCepk7lk,https://api.spotify.com/v1/tracks/2BuX8GK4FWQ5EEHCepk7lk,https://api.spotify.com/v1/audio-analysis/2BuX8GK4FWQ5EEHCepk7lk,99120,4,Interlude: Neo Zone,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.646,0.863,2,-3.415,1,0.381,0.206,0.0,0.0976,0.614,157.834,audio_features,4uKoZz59e8bAdiC2bXSCWX,spotify:track:4uKoZz59e8bAdiC2bXSCWX,https://api.spotify.com/v1/tracks/4uKoZz59e8bAdiC2bXSCWX,https://api.spotify.com/v1/audio-analysis/4uKoZz59e8bAdiC2bXSCWX,183187,4,MAD DOG,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.819,0.812,1,-4.203,1,0.11,0.0603,2.03e-05,0.0429,0.719,127.983,audio_features,6PxbberVGvYZ6z54ySjAM3,spotify:track:6PxbberVGvYZ6z54ySjAM3,https://api.spotify.com/v1/tracks/6PxbberVGvYZ6z54ySjAM3,https://api.spotify.com/v1/audio-analysis/6PxbberVGvYZ6z54ySjAM3,200200,4,Sit Down!,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.547,0.778,6,-4.733,0,0.139,0.152,0.0,0.0515,0.383,126.181,audio_features,3pyNUDyPRMG1pY2zVg3Lxl,spotify:track:3pyNUDyPRMG1pY2zVg3Lxl,https://api.spotify.com/v1/tracks/3pyNUDyPRMG1pY2zVg3Lxl,https://api.spotify.com/v1/audio-analysis/3pyNUDyPRMG1pY2zVg3Lxl,248253,4,Love Me Now,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.652,0.784,1,-3.271,1,0.143,0.0477,0.0,0.0866,0.667,129.837,audio_features,6T3QlZPHu7ckPNKPs8J36v,spotify:track:6T3QlZPHu7ckPNKPs8J36v,https://api.spotify.com/v1/tracks/6T3QlZPHu7ckPNKPs8J36v,https://api.spotify.com/v1/audio-analysis/6T3QlZPHu7ckPNKPs8J36v,215160,4,Love Song,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.56,0.567,7,-3.968,0,0.0288,0.203,0.0,0.13,0.214,70.978,audio_features,2xszaAGmpxMjoqDBxgTKKn,spotify:track:2xszaAGmpxMjoqDBxgTKKn,https://api.spotify.com/v1/tracks/2xszaAGmpxMjoqDBxgTKKn,https://api.spotify.com/v1/audio-analysis/2xszaAGmpxMjoqDBxgTKKn,243427,4,White Night,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.761,0.573,9,-5.229,1,0.0332,0.627,9.04e-06,0.125,0.428,126.991,audio_features,4ZynSbjqh6owUojGwvLyRx,spotify:track:4ZynSbjqh6owUojGwvLyRx,https://api.spotify.com/v1/tracks/4ZynSbjqh6owUojGwvLyRx,https://api.spotify.com/v1/audio-analysis/4ZynSbjqh6owUojGwvLyRx,225173,4,Not Alone,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.557,0.668,6,-4.345,0,0.0474,0.144,0.0,0.145,0.38,97.985,audio_features,3xATy1secmNHldXsVjs9zP,spotify:track:3xATy1secmNHldXsVjs9zP,https://api.spotify.com/v1/tracks/3xATy1secmNHldXsVjs9zP,https://api.spotify.com/v1/audio-analysis/3xATy1secmNHldXsVjs9zP,225560,4,Dreams Come True,NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.731,0.707,4,-3.808,0,0.0582,0.105,0.0,0.404,0.579,103.969,audio_features,6iflfdX1CD1X27257fM0RD,spotify:track:6iflfdX1CD1X27257fM0RD,https://api.spotify.com/v1/tracks/6iflfdX1CD1X27257fM0RD,https://api.spotify.com/v1/audio-analysis/6iflfdX1CD1X27257fM0RD,209880,4,Elevator (127F),NCT #127 Neo Zone: The Final Round - The 2nd Album Repackage,2020-05-19,64F7bFLt8ULAfBl2L4Pyv4,NCT 127
0.731,0.707,4,-3.808,0,0.0581,0.105,0.0,0.404,0.58,103.971,audio_features,2Go7eMyOdfKqKOC4x32RYt,spotify:track:2Go7eMyOdfKqKOC4x32RYt,https://api.spotify.com/v1/tracks/2Go7eMyOdfKqKOC4x32RYt,https://api.spotify.com/v1/audio-analysis/2Go7eMyOdfKqKOC4x32RYt,209880,4,Elevator (127F),NCT #127 Neo Zone - The 2nd Album,2020-03-06,5YOvg682zFOleCiSndLnZr,NCT 127
