danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.509,0.786,2,-3.634,0,0.127,0.0758,0.0,0.0547,0.747,99.438,audio_features,6QDW77osR1FWYny0oOwxLF,spotify:track:6QDW77osR1FWYny0oOwxLF,https://api.spotify.com/v1/tracks/6QDW77osR1FWYny0oOwxLF,https://api.spotify.com/v1/audio-analysis/6QDW77osR1FWYny0oOwxLF,218347,4,DRIVE - Japanese Ver.,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.496,0.678,9,-4.592,1,0.0336,0.342,0.0,0.256,0.274,139.96,audio_features,3ldPeLjt7Nr7RpcZNpHNU0,spotify:track:3ldPeLjt7Nr7RpcZNpHNU0,https://api.spotify.com/v1/tracks/3ldPeLjt7Nr7RpcZNpHNU0,https://api.spotify.com/v1/audio-analysis/3ldPeLjt7Nr7RpcZNpHNU0,256533,4,A Song For You - Japanese Version,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.694,0.711,11,-5.098,0,0.224,0.236,0.0,0.0471,0.758,77.477,audio_features,1HYm9HH4nr6MvfWBWKYAJ4,spotify:track:1HYm9HH4nr6MvfWBWKYAJ4,https://api.spotify.com/v1/tracks/1HYm9HH4nr6MvfWBWKYAJ4,https://api.spotify.com/v1/audio-analysis/1HYm9HH4nr6MvfWBWKYAJ4,190973,4,Call me back,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.7,0.914,11,-3.382,0,0.196,0.118,0.0,0.263,0.833,123.95,audio_features,3FW4gKZL56ncLFV3di84HC,spotify:track:3FW4gKZL56ncLFV3di84HC,https://api.spotify.com/v1/tracks/3FW4gKZL56ncLFV3di84HC,https://api.spotify.com/v1/audio-analysis/3FW4gKZL56ncLFV3di84HC,183840,4,LOVE ME,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.592,0.939,0,-4.248,1,0.247,0.0777,0.0,0.182,0.661,104.979,audio_features,6br6UF5OCqG81LsdgXKHrn,spotify:track:6br6UF5OCqG81LsdgXKHrn,https://api.spotify.com/v1/tracks/6br6UF5OCqG81LsdgXKHrn,https://api.spotify.com/v1/audio-analysis/6br6UF5OCqG81LsdgXKHrn,204907,4,ONE TWO THREE,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.621,0.697,5,-6.289,1,0.044,0.0046,7.67e-06,0.262,0.389,91.926,audio_features,6BW7u4Put3v4gRYSzXc1SO,spotify:track:6BW7u4Put3v4gRYSzXc1SO,https://api.spotify.com/v1/tracks/6BW7u4Put3v4gRYSzXc1SO,https://api.spotify.com/v1/audio-analysis/6BW7u4Put3v4gRYSzXc1SO,203200,4,Trust Me,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.733,0.634,8,-7.068,1,0.0352,0.507,1.72e-06,0.106,0.426,110.034,audio_features,3jsznQBYdGTyZ64dT8dpkC,spotify:track:3jsznQBYdGTyZ64dT8dpkC,https://api.spotify.com/v1/tracks/3jsznQBYdGTyZ64dT8dpkC,https://api.spotify.com/v1/audio-analysis/3jsznQBYdGTyZ64dT8dpkC,216680,4,Stay up all night,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.631,0.68,4,-4.115,1,0.0564,0.674,1.16e-05,0.116,0.458,151.798,audio_features,3LewWwZ3TxUquMaCxiIGt4,spotify:track:3LewWwZ3TxUquMaCxiIGt4,https://api.spotify.com/v1/tracks/3LewWwZ3TxUquMaCxiIGt4,https://api.spotify.com/v1/audio-analysis/3LewWwZ3TxUquMaCxiIGt4,188640,4,If we,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.37,0.509,9,-7.357,1,0.0598,0.772,0.0,0.103,0.492,88.463,audio_features,1c9lkqC22Rk5CTUGz6micl,spotify:track:1c9lkqC22Rk5CTUGz6micl,https://api.spotify.com/v1/tracks/1c9lkqC22Rk5CTUGz6micl,https://api.spotify.com/v1/audio-analysis/1c9lkqC22Rk5CTUGz6micl,221360,4,Moon Dance,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
0.828,0.618,11,-4.739,1,0.0882,0.165,0.0,0.0723,0.71,100.032,audio_features,47sk0woHEo5D5zSSqXQMT0,spotify:track:47sk0woHEo5D5zSSqXQMT0,https://api.spotify.com/v1/tracks/47sk0woHEo5D5zSSqXQMT0,https://api.spotify.com/v1/audio-analysis/47sk0woHEo5D5zSSqXQMT0,185800,4,I'm in Trouble,DRIVE,2020-10-06,1lQLZaCCFFj1oFfvH2LS5J,NU'EST
