danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.592,0.781,0,-3.434,1,0.0442,0.0969,0.0,0.144,0.919,149.996,audio_features,1qPSuxDxEWzLoi6WlLN7N1,spotify:track:1qPSuxDxEWzLoi6WlLN7N1,https://api.spotify.com/v1/tracks/1qPSuxDxEWzLoi6WlLN7N1,https://api.spotify.com/v1/audio-analysis/1qPSuxDxEWzLoi6WlLN7N1,184307,4,Sukhumvit Swimming,SPIN OFF,2020-08-10,6EcAokZ4I8tjPwy6sDq8di,ONF
0.773,0.537,4,-4.866,1,0.0446,0.327,0.0,0.163,0.671,95.043,audio_features,5ovsRfax3EuJfdjDPBRBCh,spotify:track:5ovsRfax3EuJfdjDPBRBCh,https://api.spotify.com/v1/tracks/5ovsRfax3EuJfdjDPBRBCh,https://api.spotify.com/v1/audio-analysis/5ovsRfax3EuJfdjDPBRBCh,184400,4,Belle Epoque,SPIN OFF,2020-08-10,6EcAokZ4I8tjPwy6sDq8di,ONF
0.706,0.84,10,-4.068,0,0.0412,0.00704,0.0,0.893,0.603,123.996,audio_features,1erdXKI6QIQiwoazj5LXcC,spotify:track:1erdXKI6QIQiwoazj5LXcC,https://api.spotify.com/v1/tracks/1erdXKI6QIQiwoazj5LXcC,https://api.spotify.com/v1/audio-analysis/1erdXKI6QIQiwoazj5LXcC,210347,4,Geppeto,SPIN OFF,2020-08-10,6EcAokZ4I8tjPwy6sDq8di,ONF
0.747,0.856,0,-3.925,1,0.0689,0.063,0.0,0.127,0.799,99.997,audio_features,2tUTbzdMrxq0N2kmqO7cBu,spotify:track:2tUTbzdMrxq0N2kmqO7cBu,https://api.spotify.com/v1/tracks/2tUTbzdMrxq0N2kmqO7cBu,https://api.spotify.com/v1/audio-analysis/2tUTbzdMrxq0N2kmqO7cBu,205040,4,Good Good,SPIN OFF,2020-08-10,6EcAokZ4I8tjPwy6sDq8di,ONF
0.443,0.262,8,-9.145,1,0.0843,0.578,0.0,0.202,0.344,79.787,audio_features,03gbLZ9IMyVhHJjbphpNOV,spotify:track:03gbLZ9IMyVhHJjbphpNOV,https://api.spotify.com/v1/tracks/03gbLZ9IMyVhHJjbphpNOV,https://api.spotify.com/v1/audio-analysis/03gbLZ9IMyVhHJjbphpNOV,205067,4,Cactus,SPIN OFF,2020-08-10,6EcAokZ4I8tjPwy6sDq8di,ONF
0.578,0.861,6,-4.944,1,0.0797,0.322,6.41e-06,0.0962,0.224,98.83,audio_features,2169WuyQ3VRb3brtJ6PEKA,spotify:track:2169WuyQ3VRb3brtJ6PEKA,https://api.spotify.com/v1/tracks/2169WuyQ3VRb3brtJ6PEKA,https://api.spotify.com/v1/audio-analysis/2169WuyQ3VRb3brtJ6PEKA,201040,4,Message,SPIN OFF,2020-08-10,6EcAokZ4I8tjPwy6sDq8di,ONF
0.531,0.902,0,-3.151,1,0.096,0.111,0.0,0.146,0.303,94.809,audio_features,7y0Ys14a4PzFbl2vSmsibU,spotify:track:7y0Ys14a4PzFbl2vSmsibU,https://api.spotify.com/v1/tracks/7y0Ys14a4PzFbl2vSmsibU,https://api.spotify.com/v1/audio-analysis/7y0Ys14a4PzFbl2vSmsibU,222613,4,New World - SPIN OFF Version,SPIN OFF,2020-08-10,6EcAokZ4I8tjPwy6sDq8di,ONF
0.515,0.844,5,-4.512,1,0.0436,0.0282,0.0,0.158,0.46,149.824,audio_features,5X3zgKGFCNiWOnDwIsI1Q8,spotify:track:5X3zgKGFCNiWOnDwIsI1Q8,https://api.spotify.com/v1/tracks/5X3zgKGFCNiWOnDwIsI1Q8,https://api.spotify.com/v1/audio-analysis/5X3zgKGFCNiWOnDwIsI1Q8,237547,4,Not a sad song,Love Revolution OST Part.1,2020-10-22,7mhhZdDDxT6LbnNoofss99,ONF
0.594,0.803,5,-6.383,1,0.0312,0.00261,0.879,0.162,0.401,149.971,audio_features,1dgGDSskpMZfIoTXTtSuzv,spotify:track:1dgGDSskpMZfIoTXTtSuzv,https://api.spotify.com/v1/tracks/1dgGDSskpMZfIoTXTtSuzv,https://api.spotify.com/v1/audio-analysis/1dgGDSskpMZfIoTXTtSuzv,237560,4,Not a sad song (Inst.),Love Revolution OST Part.1,2020-10-22,7mhhZdDDxT6LbnNoofss99,ONF
0.609,0.89,0,-2.567,1,0.039,0.249,0.0,0.0868,0.458,134.033,audio_features,7FTYDtHKkelqMxqxwTATNA,spotify:track:7FTYDtHKkelqMxqxwTATNA,https://api.spotify.com/v1/tracks/7FTYDtHKkelqMxqxwTATNA,https://api.spotify.com/v1/audio-analysis/7FTYDtHKkelqMxqxwTATNA,243400,4,OURS,OURS,2020-09-04,3X1nys56CVTs6JFRFlIdGL,ONF
0.688,0.955,1,-2.46,1,0.0874,0.0485,0.0,0.102,0.723,132.975,audio_features,6xE5nzfGQvUCNIjkjQwzL4,spotify:track:6xE5nzfGQvUCNIjkjQwzL4,https://api.spotify.com/v1/tracks/6xE5nzfGQvUCNIjkjQwzL4,https://api.spotify.com/v1/audio-analysis/6xE5nzfGQvUCNIjkjQwzL4,215000,4,Be Mine,"Road to Kingdom (Your Song), Pt. 1",2020-06-05,69u5RBm7sL60Y1BK3dtUDH,ONF
0.806,0.912,1,-2.494,1,0.135,0.037,0.0,0.434,0.547,102.048,audio_features,2HZRtkGlLqXnwNcjNsgp9b,spotify:track:2HZRtkGlLqXnwNcjNsgp9b,https://api.spotify.com/v1/tracks/2HZRtkGlLqXnwNcjNsgp9b,https://api.spotify.com/v1/audio-analysis/2HZRtkGlLqXnwNcjNsgp9b,227813,4,Hard Carry,"Road to Kingdom (Your Song), Pt. 1",2020-06-05,69u5RBm7sL60Y1BK3dtUDH,ONF
0.578,0.922,8,-3.103,1,0.161,0.0396,0.0,0.273,0.45,118.701,audio_features,0dpp5l5Mf17gFI8AtahK3h,spotify:track:0dpp5l5Mf17gFI8AtahK3h,https://api.spotify.com/v1/tracks/0dpp5l5Mf17gFI8AtahK3h,https://api.spotify.com/v1/audio-analysis/0dpp5l5Mf17gFI8AtahK3h,213427,4,It's Raining,"Road to Kingdom (Your Song), Pt. 1",2020-06-05,69u5RBm7sL60Y1BK3dtUDH,ONF
0.388,0.917,10,-2.895,0,0.305,0.21,0.0,0.125,0.404,125.524,audio_features,39xdVtuMiZS7Ja0YpPXN1H,spotify:track:39xdVtuMiZS7Ja0YpPXN1H,https://api.spotify.com/v1/tracks/39xdVtuMiZS7Ja0YpPXN1H,https://api.spotify.com/v1/audio-analysis/39xdVtuMiZS7Ja0YpPXN1H,239400,4,"Everybody (from ""Road to Kingdom (King's Melody), Pt. 1"")","Everybody (from ""Road to Kingdom (King's Melody), Pt. 1"")",2020-05-08,4jUQa4ZM6lzC2R6M3EAk4L,ONF
