danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.613,0.908,9,-3.954,0,0.217,0.098,0.0,0.104,0.709,130.046,audio_features,4JcZwvNbzfY2MpWiZA8n5W,spotify:track:4JcZwvNbzfY2MpWiZA8n5W,https://api.spotify.com/v1/tracks/4JcZwvNbzfY2MpWiZA8n5W,https://api.spotify.com/v1/audio-analysis/4JcZwvNbzfY2MpWiZA8n5W,203507,4,Hit,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.764,0.54,10,-6.282,1,0.0426,0.255,0.00112,0.118,0.398,92.112,audio_features,7iFkGBB8asKBhvFXZKHPoX,spotify:track:7iFkGBB8asKBhvFXZKHPoX,https://api.spotify.com/v1/tracks/7iFkGBB8asKBhvFXZKHPoX,https://api.spotify.com/v1/audio-analysis/7iFkGBB8asKBhvFXZKHPoX,200413,4,Lie Again,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.594,0.945,7,-2.709,0,0.33,0.165,0.0,0.137,0.712,146.054,audio_features,7ARAiZIq5it82eU3kKxStC,spotify:track:7ARAiZIq5it82eU3kKxStC,https://api.spotify.com/v1/tracks/7ARAiZIq5it82eU3kKxStC,https://api.spotify.com/v1/audio-analysis/7ARAiZIq5it82eU3kKxStC,175213,4,Fear,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.664,0.867,0,-4.076,1,0.131,0.0189,0.0,0.393,0.656,144.083,audio_features,5SuIbUsh3UUtVO2LtsrWHK,spotify:track:5SuIbUsh3UUtVO2LtsrWHK,https://api.spotify.com/v1/tracks/5SuIbUsh3UUtVO2LtsrWHK,https://api.spotify.com/v1/audio-analysis/5SuIbUsh3UUtVO2LtsrWHK,180213,4,Let Me Hear You Say,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.591,0.569,11,-7.34,1,0.106,0.605,0.0,0.106,0.595,128.01,audio_features,1wutYS6FsG7zA5xeBPOQv8,spotify:track:1wutYS6FsG7zA5xeBPOQv8,https://api.spotify.com/v1/tracks/1wutYS6FsG7zA5xeBPOQv8,https://api.spotify.com/v1/audio-analysis/1wutYS6FsG7zA5xeBPOQv8,213000,4,247,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.636,0.502,1,-5.93,1,0.129,0.228,0.0,0.119,0.498,179.971,audio_features,49i9j0VXfWr8uy3MksrEyf,spotify:track:49i9j0VXfWr8uy3MksrEyf,https://api.spotify.com/v1/tracks/49i9j0VXfWr8uy3MksrEyf,https://api.spotify.com/v1/audio-analysis/49i9j0VXfWr8uy3MksrEyf,202053,4,Second Life,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.787,0.824,10,-2.646,0,0.0388,0.0646,8.94e-06,0.0564,0.904,116.033,audio_features,39URBLVOIwdS8voN2vYaTq,spotify:track:39URBLVOIwdS8voN2vYaTq,https://api.spotify.com/v1/tracks/39URBLVOIwdS8voN2vYaTq,https://api.spotify.com/v1/audio-analysis/39URBLVOIwdS8voN2vYaTq,209973,4,Network Love,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.787,0.911,10,-3.446,0,0.211,0.0233,0.0,0.342,0.585,119.994,audio_features,70YkFPuABpTRpDlvvjkRlU,spotify:track:70YkFPuABpTRpDlvvjkRlU,https://api.spotify.com/v1/tracks/70YkFPuABpTRpDlvvjkRlU,https://api.spotify.com/v1/audio-analysis/70YkFPuABpTRpDlvvjkRlU,187747,4,Back It Up,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.704,0.853,2,-3.658,0,0.0847,0.0273,0.0,0.0765,0.807,133.002,audio_features,3gL2GOhEZIe4oLNKHegZsM,spotify:track:3gL2GOhEZIe4oLNKHegZsM,https://api.spotify.com/v1/tracks/3gL2GOhEZIe4oLNKHegZsM,https://api.spotify.com/v1/audio-analysis/3gL2GOhEZIe4oLNKHegZsM,197333,4,Lucky,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
0.633,0.834,6,-2.917,0,0.103,0.234,0.0,0.278,0.807,168.013,audio_features,5EExzDL08s6b0kzNgUYvX3,spotify:track:5EExzDL08s6b0kzNgUYvX3,https://api.spotify.com/v1/tracks/5EExzDL08s6b0kzNgUYvX3,https://api.spotify.com/v1/audio-analysis/5EExzDL08s6b0kzNgUYvX3,175827,4,Snap Shoot,An Ode,2019-09-16,0ykAnhzD6TlkXlH9H76tHx,SEVENTEEN
