danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.648,0.871,1,-2.527,1,0.0372,0.00188,0.0,0.164,0.523,125.022,audio_features,4EHAn21T0OdBViPWAsrN16,spotify:track:4EHAn21T0OdBViPWAsrN16,https://api.spotify.com/v1/tracks/4EHAn21T0OdBViPWAsrN16,https://api.spotify.com/v1/audio-analysis/4EHAn21T0OdBViPWAsrN16,213162,4,Summer Breeze - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.651,0.89,0,-2.634,0,0.0676,0.328,0.0,0.0929,0.72,118.057,audio_features,22lxglezqrqgDcNkEnxpOI,spotify:track:22lxglezqrqgDcNkEnxpOI,https://api.spotify.com/v1/tracks/22lxglezqrqgDcNkEnxpOI,https://api.spotify.com/v1/audio-analysis/22lxglezqrqgDcNkEnxpOI,217070,4,One Love - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.659,0.91,10,-4.138,0,0.0627,0.0482,0.0,0.322,0.726,130.973,audio_features,4brjWDhLFcxotzNiCsiIip,spotify:track:4brjWDhLFcxotzNiCsiIip,https://api.spotify.com/v1/tracks/4brjWDhLFcxotzNiCsiIip,https://api.spotify.com/v1/audio-analysis/4brjWDhLFcxotzNiCsiIip,193102,4,Go High - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.548,0.82,3,-3.721,0,0.166,0.0223,0.0,0.101,0.392,170.011,audio_features,1KRq2RDQqYNnYNRcuHcFId,spotify:track:1KRq2RDQqYNnYNRcuHcFId,https://api.spotify.com/v1/tracks/1KRq2RDQqYNnYNRcuHcFId,https://api.spotify.com/v1/audio-analysis/1KRq2RDQqYNnYNRcuHcFId,204157,4,RPM - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.503,0.781,7,-4.691,1,0.0375,0.155,0.0,0.114,0.337,159.965,audio_features,3nIwssTd1mEt3PVIIOlVBB,spotify:track:3nIwssTd1mEt3PVIIOlVBB,https://api.spotify.com/v1/tracks/3nIwssTd1mEt3PVIIOlVBB,https://api.spotify.com/v1/audio-analysis/3nIwssTd1mEt3PVIIOlVBB,226328,4,"My Story,My Song - Japanese ver.",GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.625,0.833,11,-4.517,0,0.0537,0.00169,0.0,0.319,0.704,135.1,audio_features,37XTbb7zoHv2CiU8LXH5wq,spotify:track:37XTbb7zoHv2CiU8LXH5wq,https://api.spotify.com/v1/tracks/37XTbb7zoHv2CiU8LXH5wq,https://api.spotify.com/v1/audio-analysis/37XTbb7zoHv2CiU8LXH5wq,210541,4,See U Tomorrow - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.723,0.78,8,-3.596,1,0.0887,0.086,0.0,0.0437,0.6,123.963,audio_features,0ceEhqhrpT6SHPvfiMFckb,spotify:track:0ceEhqhrpT6SHPvfiMFckb,https://api.spotify.com/v1/tracks/0ceEhqhrpT6SHPvfiMFckb,https://api.spotify.com/v1/audio-analysis/0ceEhqhrpT6SHPvfiMFckb,194051,4,Good Guy - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.721,0.802,3,-4.062,1,0.0374,0.0337,0.0,0.103,0.613,119.971,audio_features,2QODYVivPqj2YOAOZ8u76u,spotify:track:2QODYVivPqj2YOAOZ8u76u,https://api.spotify.com/v1/tracks/2QODYVivPqj2YOAOZ8u76u,https://api.spotify.com/v1/audio-analysis/2QODYVivPqj2YOAOZ8u76u,218528,4,Round And Round - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.565,0.803,6,-5.12,1,0.109,0.0192,0.0,0.0519,0.653,169.975,audio_features,09KLcsXU3qsb3wlwvqeUj6,spotify:track:09KLcsXU3qsb3wlwvqeUj6,https://api.spotify.com/v1/tracks/09KLcsXU3qsb3wlwvqeUj6,https://api.spotify.com/v1/audio-analysis/09KLcsXU3qsb3wlwvqeUj6,213418,4,Like The Hands Held Tight - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
0.634,0.838,2,-4.643,1,0.0542,0.297,0.0,0.0554,0.58,98.067,audio_features,3Nsrkj5AZCqXbp1tAdyGoo,spotify:track:3Nsrkj5AZCqXbp1tAdyGoo,https://api.spotify.com/v1/tracks/3Nsrkj5AZCqXbp1tAdyGoo,https://api.spotify.com/v1/audio-analysis/3Nsrkj5AZCqXbp1tAdyGoo,200130,4,Beautiful Light - Japanese ver.,GOLDEN ECHO,2020-12-09,3X1EAh2fyIpEpPSbxD7oz3,SF9
