danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.631,0.832,1,-4.349,0,0.0856,0.091,0.0,0.109,0.628,130.022,audio_features,6pfTaKhyR5Bj2flqW78idC,spotify:track:6pfTaKhyR5Bj2flqW78idC,https://api.spotify.com/v1/tracks/6pfTaKhyR5Bj2flqW78idC,https://api.spotify.com/v1/audio-analysis/6pfTaKhyR5Bj2flqW78idC,199958,4,All Day All Night,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.679,0.829,10,-5.166,0,0.072,0.0251,0.0,0.068,0.604,97.043,audio_features,6mI6dpwRDteVr3ZQsDeD6e,spotify:track:6mI6dpwRDteVr3ZQsDeD6e,https://api.spotify.com/v1/tracks/6mI6dpwRDteVr3ZQsDeD6e,https://api.spotify.com/v1/audio-analysis/6mI6dpwRDteVr3ZQsDeD6e,188678,4,Countless,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.678,0.809,8,-4.162,1,0.0598,0.0383,0.0,0.243,0.561,119.979,audio_features,3mjfQvA5gAV6XnH0ZWnIyI,spotify:track:3mjfQvA5gAV6XnH0ZWnIyI,https://api.spotify.com/v1/tracks/3mjfQvA5gAV6XnH0ZWnIyI,https://api.spotify.com/v1/audio-analysis/3mjfQvA5gAV6XnH0ZWnIyI,223515,4,Good Evening,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.418,0.797,6,-3.811,1,0.204,0.134,0.0,0.122,0.484,88.096,audio_features,3sIUNOTIvP0AfuKrT3y0l9,spotify:track:3sIUNOTIvP0AfuKrT3y0l9,https://api.spotify.com/v1/tracks/3sIUNOTIvP0AfuKrT3y0l9,https://api.spotify.com/v1/audio-analysis/3sIUNOTIvP0AfuKrT3y0l9,216220,4,Chemistry,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.722,0.643,6,-4.243,0,0.12,0.171,0.0,0.229,0.721,105.906,audio_features,492SFpum5vh5ZKDP5WAIQk,spotify:track:492SFpum5vh5ZKDP5WAIQk,https://api.spotify.com/v1/tracks/492SFpum5vh5ZKDP5WAIQk,https://api.spotify.com/v1/audio-analysis/492SFpum5vh5ZKDP5WAIQk,203903,4,Electric,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.367,0.761,5,-4.249,1,0.117,0.0955,0.0,0.0886,0.344,92.927,audio_features,4uNSdLUVrv4BN1S9D8NTDz,spotify:track:4uNSdLUVrv4BN1S9D8NTDz,https://api.spotify.com/v1/tracks/4uNSdLUVrv4BN1S9D8NTDz,https://api.spotify.com/v1/audio-analysis/4uNSdLUVrv4BN1S9D8NTDz,231178,4,Who Waits For Love,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.674,0.752,5,-4.657,0,0.0326,0.295,0.0,0.164,0.348,107.021,audio_features,2QqH85XScNQ3dXabg3NZE5,spotify:track:2QqH85XScNQ3dXabg3NZE5,https://api.spotify.com/v1/tracks/2QqH85XScNQ3dXabg3NZE5,https://api.spotify.com/v1/audio-analysis/2QqH85XScNQ3dXabg3NZE5,239721,4,Our Page,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.314,0.368,4,-6.416,1,0.0313,0.782,0.0,0.102,0.29,99.583,audio_features,6bDGCPL7W0c3C0O9E7QKOb,spotify:track:6bDGCPL7W0c3C0O9E7QKOb,https://api.spotify.com/v1/tracks/6bDGCPL7W0c3C0O9E7QKOb,https://api.spotify.com/v1/audio-analysis/6bDGCPL7W0c3C0O9E7QKOb,190419,3,I Say,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.576,0.782,1,-5.762,0,0.19,0.0556,0.0,0.0638,0.73,91.27,audio_features,18BTIUm7Y9toOJG2UklPeG,spotify:track:18BTIUm7Y9toOJG2UklPeG,https://api.spotify.com/v1/tracks/18BTIUm7Y9toOJG2UklPeG,https://api.spotify.com/v1/audio-analysis/18BTIUm7Y9toOJG2UklPeG,185144,4,Retro,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
0.774,0.735,0,-4.141,0,0.174,0.0608,0.0,0.128,0.769,109.984,audio_features,4vyX2aMk1HygUxzxHHOSo0,spotify:track:4vyX2aMk1HygUxzxHHOSo0,https://api.spotify.com/v1/tracks/4vyX2aMk1HygUxzxHHOSo0,https://api.spotify.com/v1/audio-analysis/4vyX2aMk1HygUxzxHHOSo0,188739,4,Drive,The Story of Light' Epilogue - The 6th Album,2018-09-10,0myFUTLsIg4SKyAanKrM3f,SHINee
