danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.678,0.912,8,-3.45,0,0.0293,0.00283,0.0,0.319,0.692,131.947,audio_features,46gLZeEcuZwadJseEwFDVT,spotify:track:46gLZeEcuZwadJseEwFDVT,https://api.spotify.com/v1/tracks/46gLZeEcuZwadJseEwFDVT,https://api.spotify.com/v1/audio-analysis/46gLZeEcuZwadJseEwFDVT,224388,4,When We Disco,When We Disco,2020-08-12,4Zn6LcHSE0hQgHjAT7Ob5a,SUNMI
0.714,0.828,1,-4.68,0,0.0428,0.0513,0.0652,0.0347,0.318,120.014,audio_features,7oQh96s9YemWG3A4zkIbrU,spotify:track:7oQh96s9YemWG3A4zkIbrU,https://api.spotify.com/v1/tracks/7oQh96s9YemWG3A4zkIbrU,https://api.spotify.com/v1/audio-analysis/7oQh96s9YemWG3A4zkIbrU,206617,4,pporappippam 보라빛 밤,pporappippam 보라빛 밤,2020-06-29,5IKVYCIhY5SyMhj1cYovz3,SUNMI
0.656,0.61,0,-6.692,0,0.0378,0.00636,0.0283,0.166,0.187,130.984,audio_features,6fYDnLnVFV0n3FMxgEnIcg,spotify:track:6fYDnLnVFV0n3FMxgEnIcg,https://api.spotify.com/v1/tracks/6fYDnLnVFV0n3FMxgEnIcg,https://api.spotify.com/v1/audio-analysis/6fYDnLnVFV0n3FMxgEnIcg,179119,4,Gotta Go,XX (Original Television Soundtrack) Pt. 1,2020-02-06,4qneAGjgqL6nMSVY8J2OCD,SUNMI
0.67,0.496,8,-8.56,1,0.0274,0.00951,0.851,0.164,0.13,131.051,audio_features,48I7wkJX5eamR6C3mhktc7,spotify:track:48I7wkJX5eamR6C3mhktc7,https://api.spotify.com/v1/tracks/48I7wkJX5eamR6C3mhktc7,https://api.spotify.com/v1/audio-analysis/48I7wkJX5eamR6C3mhktc7,179119,4,Gotta Go Instrumental,XX (Original Television Soundtrack) Pt. 1,2020-02-06,4qneAGjgqL6nMSVY8J2OCD,SUNMI
0.699,0.806,11,-4.818,0,0.0494,0.00133,0.0,0.0579,0.615,110.014,audio_features,0wqdresTib8pJkrpKK1nmF,spotify:track:0wqdresTib8pJkrpKK1nmF,https://api.spotify.com/v1/tracks/0wqdresTib8pJkrpKK1nmF,https://api.spotify.com/v1/audio-analysis/0wqdresTib8pJkrpKK1nmF,174880,4,LALALAY 날라리,LALALAY 날라리,2019-08-27,7qmsar8kXnwi8k6OCTNoj5,SUNMI
0.642,0.677,8,-4.771,0,0.0343,0.00389,0.0,0.0854,0.258,117.039,audio_features,1KCXYoPIpvafzaAGtiRjci,spotify:track:1KCXYoPIpvafzaAGtiRjci,https://api.spotify.com/v1/tracks/1KCXYoPIpvafzaAGtiRjci,https://api.spotify.com/v1/audio-analysis/1KCXYoPIpvafzaAGtiRjci,209679,4,Noir 누아르,Noir 누아르,2019-03-04,1EBhkTQyICi50mKuybqDp9,SUNMI
0.58,0.912,4,-6.494,0,0.0605,0.0848,0.000697,0.0657,0.523,100.003,audio_features,4SKDBovL7V7JzFz4BtAaUd,spotify:track:4SKDBovL7V7JzFz4BtAaUd,https://api.spotify.com/v1/tracks/4SKDBovL7V7JzFz4BtAaUd,https://api.spotify.com/v1/audio-analysis/4SKDBovL7V7JzFz4BtAaUd,112361,4,ADDICT,WARNING,2018-09-12,7FapH4ThxhFnwohoMGs4dR,SUNMI
0.61,0.905,9,-3.686,0,0.0369,0.0142,0.0,0.0592,0.521,122.012,audio_features,6ySoz8mujfiQS37xjEEZCv,spotify:track:6ySoz8mujfiQS37xjEEZCv,https://api.spotify.com/v1/tracks/6ySoz8mujfiQS37xjEEZCv,https://api.spotify.com/v1/audio-analysis/6ySoz8mujfiQS37xjEEZCv,199134,4,Siren,WARNING,2018-09-12,7FapH4ThxhFnwohoMGs4dR,SUNMI
0.714,0.836,0,-5.518,0,0.0563,0.238,0.0,0.128,0.712,94.996,audio_features,4F0zJatuBIKVCaezK26Uvo,spotify:track:4F0zJatuBIKVCaezK26Uvo,https://api.spotify.com/v1/tracks/4F0zJatuBIKVCaezK26Uvo,https://api.spotify.com/v1/audio-analysis/4F0zJatuBIKVCaezK26Uvo,217353,4,곡선,WARNING,2018-09-12,7FapH4ThxhFnwohoMGs4dR,SUNMI
0.709,0.646,8,-6.596,0,0.052,0.16,0.000176,0.0779,0.716,100.031,audio_features,6f5h8n8UR4fsz8LjCkAOFy,spotify:track:6f5h8n8UR4fsz8LjCkAOFy,https://api.spotify.com/v1/tracks/6f5h8n8UR4fsz8LjCkAOFy,https://api.spotify.com/v1/audio-analysis/6f5h8n8UR4fsz8LjCkAOFy,199320,4,Black Pearl,WARNING,2018-09-12,7FapH4ThxhFnwohoMGs4dR,SUNMI
