danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.74,0.834,0,-5.751,1,0.293,0.0392,0.0,0.0568,0.775,139.961,audio_features,1COXMzXT4JxnQCePCeptPP,spotify:track:1COXMzXT4JxnQCePCeptPP,https://api.spotify.com/v1/tracks/1COXMzXT4JxnQCePCeptPP,https://api.spotify.com/v1/audio-analysis/1COXMzXT4JxnQCePCeptPP,187187,4,ALL IN,ALL IN,2020-10-27,06EHg8PHtDhbZMpE0jmhEn,Stray Kids
0.885,0.788,7,-4.376,1,0.081,0.066,0.0,0.0688,0.335,105.03,audio_features,6ilFCE6Ec0g4i6qbay0t6s,spotify:track:6ilFCE6Ec0g4i6qbay0t6s,https://api.spotify.com/v1/tracks/6ilFCE6Ec0g4i6qbay0t6s,https://api.spotify.com/v1/audio-analysis/6ilFCE6Ec0g4i6qbay0t6s,215067,4,FAM,ALL IN,2020-10-27,06EHg8PHtDhbZMpE0jmhEn,Stray Kids
0.76,0.81,8,-5.209,1,0.081,0.146,0.0,0.072,0.542,145.054,audio_features,4GyHQOpfrElhvKjIfXSEf3,spotify:track:4GyHQOpfrElhvKjIfXSEf3,https://api.spotify.com/v1/tracks/4GyHQOpfrElhvKjIfXSEf3,https://api.spotify.com/v1/audio-analysis/4GyHQOpfrElhvKjIfXSEf3,193187,4,One Day,ALL IN,2020-10-27,06EHg8PHtDhbZMpE0jmhEn,Stray Kids
0.684,0.82,5,-2.478,0,0.0504,0.00363,0.0,0.396,0.311,156.999,audio_features,3i5djonfd1bObNmcEcBDEO,spotify:track:3i5djonfd1bObNmcEcBDEO,https://api.spotify.com/v1/tracks/3i5djonfd1bObNmcEcBDEO,https://api.spotify.com/v1/audio-analysis/3i5djonfd1bObNmcEcBDEO,170787,4,神メニュー -Japanese ver.-,ALL IN,2020-10-27,06EHg8PHtDhbZMpE0jmhEn,Stray Kids
0.826,0.832,7,-3.377,0,0.295,0.143,0.0,0.0741,0.664,107.984,audio_features,1lrgT4CLJNrZCNCF6Fwm0k,spotify:track:1lrgT4CLJNrZCNCF6Fwm0k,https://api.spotify.com/v1/tracks/1lrgT4CLJNrZCNCF6Fwm0k,https://api.spotify.com/v1/audio-analysis/1lrgT4CLJNrZCNCF6Fwm0k,191360,4,Back Door -Japanese ver.-,ALL IN,2020-10-27,06EHg8PHtDhbZMpE0jmhEn,Stray Kids
0.611,0.967,7,-1.576,1,0.147,0.00139,0.0,0.302,0.414,97.94,audio_features,6tuhGVjqfYYs0MYxapWibK,spotify:track:6tuhGVjqfYYs0MYxapWibK,https://api.spotify.com/v1/tracks/6tuhGVjqfYYs0MYxapWibK,https://api.spotify.com/v1/audio-analysis/6tuhGVjqfYYs0MYxapWibK,188827,4,TOP -Japanese ver.-,ALL IN,2020-10-27,06EHg8PHtDhbZMpE0jmhEn,Stray Kids
0.598,0.813,7,-3.411,1,0.246,0.158,0.0,0.125,0.686,159.888,audio_features,5duEyPwRu0D5RVLkVORqLG,spotify:track:5duEyPwRu0D5RVLkVORqLG,https://api.spotify.com/v1/tracks/5duEyPwRu0D5RVLkVORqLG,https://api.spotify.com/v1/audio-analysis/5duEyPwRu0D5RVLkVORqLG,136133,4,SLUMP -Japanese ver.-,ALL IN,2020-10-27,06EHg8PHtDhbZMpE0jmhEn,Stray Kids
0.674,0.854,11,-7.784,0,0.129,0.0603,0.16,0.268,0.176,154.072,audio_features,38vbFZvtJDm16h8NVmKynx,spotify:track:38vbFZvtJDm16h8NVmKynx,https://api.spotify.com/v1/tracks/38vbFZvtJDm16h8NVmKynx,https://api.spotify.com/v1/audio-analysis/38vbFZvtJDm16h8NVmKynx,224366,4,The Tortoise and the Hare,IN LIFE,2020-09-14,0Kp2UZGWRQHa3B5e8t93rI,Stray Kids
0.82,0.842,7,-3.853,1,0.272,0.157,0.0,0.112,0.653,107.952,audio_features,3KUGAgxo3b81X5bWoOp0U8,spotify:track:3KUGAgxo3b81X5bWoOp0U8,https://api.spotify.com/v1/tracks/3KUGAgxo3b81X5bWoOp0U8,https://api.spotify.com/v1/audio-analysis/3KUGAgxo3b81X5bWoOp0U8,189287,4,Back Door,IN LIFE,2020-09-14,0Kp2UZGWRQHa3B5e8t93rI,Stray Kids
0.675,0.856,11,-2.354,0,0.12,0.0158,0.0,0.251,0.867,149.972,audio_features,5cEkeagldoF0xFbx99BBbE,spotify:track:5cEkeagldoF0xFbx99BBbE,https://api.spotify.com/v1/tracks/5cEkeagldoF0xFbx99BBbE,https://api.spotify.com/v1/audio-analysis/5cEkeagldoF0xFbx99BBbE,205103,4,B Me,IN LIFE,2020-09-14,0Kp2UZGWRQHa3B5e8t93rI,Stray Kids
