danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.518,0.917,0,-1.645,1,0.166,0.0306,0.0,0.368,0.461,160.044,audio_features,79rZwU6UJ7FwODmAqXJqmO,spotify:track:79rZwU6UJ7FwODmAqXJqmO,https://api.spotify.com/v1/tracks/79rZwU6UJ7FwODmAqXJqmO,https://api.spotify.com/v1/audio-analysis/79rZwU6UJ7FwODmAqXJqmO,221040,4,One (Monster & Infinity),Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.463,0.928,0,-1.309,1,0.236,0.0504,0.0,0.346,0.475,160.124,audio_features,06buMCMGWi0RXdw4NgaleV,spotify:track:06buMCMGWi0RXdw4NgaleV,https://api.spotify.com/v1/tracks/06buMCMGWi0RXdw4NgaleV,https://api.spotify.com/v1/audio-analysis/06buMCMGWi0RXdw4NgaleV,233893,4,Infinity,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.589,0.867,0,-2.488,0,0.124,0.109,0.0,0.525,0.429,159.916,audio_features,5YTJ66sC47zgMwOTiiszvi,spotify:track:5YTJ66sC47zgMwOTiiszvi,https://api.spotify.com/v1/tracks/5YTJ66sC47zgMwOTiiszvi,https://api.spotify.com/v1/audio-analysis/5YTJ66sC47zgMwOTiiszvi,222187,4,Monster,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.717,0.724,8,-3.25,1,0.0514,0.112,0.000324,0.0865,0.697,151.908,audio_features,1jriDhlQ4iaxu7XimeUJiP,spotify:track:1jriDhlQ4iaxu7XimeUJiP,https://api.spotify.com/v1/tracks/1jriDhlQ4iaxu7XimeUJiP,https://api.spotify.com/v1/audio-analysis/1jriDhlQ4iaxu7XimeUJiP,192120,4,Wish You Were Here,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.747,0.787,11,-3.459,1,0.0599,0.037,0.0,0.158,0.496,113.913,audio_features,3wOEQ8w0P8vv3iyCjYd01p,spotify:track:3wOEQ8w0P8vv3iyCjYd01p,https://api.spotify.com/v1/tracks/3wOEQ8w0P8vv3iyCjYd01p,https://api.spotify.com/v1/audio-analysis/3wOEQ8w0P8vv3iyCjYd01p,171947,4,Big Chance,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.692,0.859,7,-2.529,1,0.0461,0.0277,0.0,0.363,0.403,114.993,audio_features,09EmEz4aOEoyuoQvDMP5l2,spotify:track:09EmEz4aOEoyuoQvDMP5l2,https://api.spotify.com/v1/tracks/09EmEz4aOEoyuoQvDMP5l2,https://api.spotify.com/v1/audio-analysis/09EmEz4aOEoyuoQvDMP5l2,206720,4,100,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.554,0.932,0,-1.343,1,0.266,0.303,0.0,0.11,0.543,170.21,audio_features,1ADlTU9mFc3oDdD9Vla2Yw,spotify:track:1ADlTU9mFc3oDdD9Vla2Yw,https://api.spotify.com/v1/tracks/1ADlTU9mFc3oDdD9Vla2Yw,https://api.spotify.com/v1/audio-analysis/1ADlTU9mFc3oDdD9Vla2Yw,209187,4,Tiger Inside,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.618,0.642,0,-4.312,1,0.0326,0.487,0.0,0.0821,0.546,145.837,audio_features,09PXLSwlqGCfCwDT56dIJ9,spotify:track:09PXLSwlqGCfCwDT56dIJ9,https://api.spotify.com/v1/tracks/09PXLSwlqGCfCwDT56dIJ9,https://api.spotify.com/v1/audio-analysis/09PXLSwlqGCfCwDT56dIJ9,234640,4,Better Days,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.747,0.871,5,-2.749,0,0.172,0.0856,0.0,0.217,0.672,100.042,audio_features,5EAj5vSrHsQcBEpx6Za0sI,spotify:track:5EAj5vSrHsQcBEpx6Za0sI,https://api.spotify.com/v1/tracks/5EAj5vSrHsQcBEpx6Za0sI,https://api.spotify.com/v1/audio-analysis/5EAj5vSrHsQcBEpx6Za0sI,206253,4,Together At Home,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.859,0.708,4,-3.92,0,0.0891,0.0206,0.0,0.315,0.783,102.003,audio_features,3RIsvXBss0Io0mxFnekBnp,spotify:track:3RIsvXBss0Io0mxFnekBnp,https://api.spotify.com/v1/tracks/3RIsvXBss0Io0mxFnekBnp,https://api.spotify.com/v1/audio-analysis/3RIsvXBss0Io0mxFnekBnp,158093,4,Drip,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.764,0.895,2,-1.538,1,0.0637,0.039,0.0,0.164,0.337,107.037,audio_features,016G9uWubHdRF56JEXSQjH,spotify:track:016G9uWubHdRF56JEXSQjH,https://api.spotify.com/v1/tracks/016G9uWubHdRF56JEXSQjH,https://api.spotify.com/v1/audio-analysis/016G9uWubHdRF56JEXSQjH,203693,4,Line 'Em Up,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.68,0.787,1,-2.89,1,0.0468,0.354,0.0,0.35,0.691,139.997,audio_features,70FkyNgq5QPM3nt4JzyDnt,spotify:track:70FkyNgq5QPM3nt4JzyDnt,https://api.spotify.com/v1/tracks/70FkyNgq5QPM3nt4JzyDnt,https://api.spotify.com/v1/audio-analysis/70FkyNgq5QPM3nt4JzyDnt,189088,4,Dangerous Woman,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.568,0.695,5,-3.74,1,0.128,0.218,0.0,0.341,0.524,128.038,audio_features,049OKDHOubi5XxbO2HAdm9,spotify:track:049OKDHOubi5XxbO2HAdm9,https://api.spotify.com/v1/tracks/049OKDHOubi5XxbO2HAdm9,https://api.spotify.com/v1/audio-analysis/049OKDHOubi5XxbO2HAdm9,176093,4,Step Up,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.621,0.671,1,-3.241,1,0.0322,0.253,0.0,0.226,0.275,124.987,audio_features,2U5iKCFyPL5FHuFeAPCUeU,spotify:track:2U5iKCFyPL5FHuFeAPCUeU,https://api.spotify.com/v1/tracks/2U5iKCFyPL5FHuFeAPCUeU,https://api.spotify.com/v1/audio-analysis/2U5iKCFyPL5FHuFeAPCUeU,229867,4,So Long,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.748,0.87,0,-2.963,0,0.0647,0.137,0.0,0.0782,0.805,125.95,audio_features,22MtkZESOZ5hZyuVwxkwUM,spotify:track:22MtkZESOZ5hZyuVwxkwUM,https://api.spotify.com/v1/tracks/22MtkZESOZ5hZyuVwxkwUM,https://api.spotify.com/v1/audio-analysis/22MtkZESOZ5hZyuVwxkwUM,202547,4,With You,Super One -The 1st Album,2020-09-25,10fdwvVIpa0raPkZUTILAt,SuperM
0.74,0.835,10,-3.425,0,0.0839,0.0139,0.0,0.857,0.535,123.024,audio_features,5WrEilrRI5cIW0DxMvQYPZ,spotify:track:5WrEilrRI5cIW0DxMvQYPZ,https://api.spotify.com/v1/tracks/5WrEilrRI5cIW0DxMvQYPZ,https://api.spotify.com/v1/audio-analysis/5WrEilrRI5cIW0DxMvQYPZ,251293,4,Jopping,SuperM - The 1st Mini Album,2019-10-04,1C1qYeSC9RdgbrKXpZCTSJ,SuperM
0.493,0.863,4,-4.177,0,0.104,0.23,0.0,0.252,0.703,82.463,audio_features,0ls2ZkYJcDBVLZGvtzp4Qc,spotify:track:0ls2ZkYJcDBVLZGvtzp4Qc,https://api.spotify.com/v1/tracks/0ls2ZkYJcDBVLZGvtzp4Qc,https://api.spotify.com/v1/audio-analysis/0ls2ZkYJcDBVLZGvtzp4Qc,208215,4,I Can't Stand The Rain,SuperM - The 1st Mini Album,2019-10-04,1C1qYeSC9RdgbrKXpZCTSJ,SuperM
