danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.48,0.813,10,-5.437,0,0.0575,0.00456,0.0,0.229,0.7,120.888,audio_features,1IYN3VqZzehgwh5NqnavIQ,spotify:track:1IYN3VqZzehgwh5NqnavIQ,https://api.spotify.com/v1/tracks/1IYN3VqZzehgwh5NqnavIQ,https://api.spotify.com/v1/audio-analysis/1IYN3VqZzehgwh5NqnavIQ,193547,4,IDEA (理想),Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.59,0.824,1,-3.787,0,0.0705,0.0467,0.0,0.468,0.527,83.056,audio_features,2hjaiDsLLBlY68XrgjZk7F,spotify:track:2hjaiDsLLBlY68XrgjZk7F,https://api.spotify.com/v1/tracks/2hjaiDsLLBlY68XrgjZk7F,https://api.spotify.com/v1/audio-analysis/2hjaiDsLLBlY68XrgjZk7F,182080,4,Heaven,Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.707,0.582,8,-4.398,0,0.146,0.323,0.0,0.189,0.827,163.966,audio_features,3QAgFsUgFfRNk8UFfB0f89,spotify:track:3QAgFsUgFfRNk8UFfB0f89,https://api.spotify.com/v1/tracks/3QAgFsUgFfRNk8UFfB0f89,https://api.spotify.com/v1/audio-analysis/3QAgFsUgFfRNk8UFfB0f89,181613,4,Impressionable,Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.625,0.674,4,-6.233,1,0.171,0.663,0.0,0.135,0.704,103.897,audio_features,1ssN3REdzr9dUIZ6T8rD1T,spotify:track:1ssN3REdzr9dUIZ6T8rD1T,https://api.spotify.com/v1/tracks/1ssN3REdzr9dUIZ6T8rD1T,https://api.spotify.com/v1/audio-analysis/1ssN3REdzr9dUIZ6T8rD1T,215387,4,Be Your Enemy,Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.595,0.722,8,-7.829,1,0.177,0.223,3.11e-06,0.113,0.644,104.487,audio_features,5Hvi3XSS00txHgZB6UZhFl,spotify:track:5Hvi3XSS00txHgZB6UZhFl,https://api.spotify.com/v1/tracks/5Hvi3XSS00txHgZB6UZhFl,https://api.spotify.com/v1/audio-analysis/5Hvi3XSS00txHgZB6UZhFl,198267,4,Think Of You,Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.758,0.848,5,-2.539,0,0.119,0.0263,0.0,0.0969,0.752,111.979,audio_features,49a31Z3OWJiW2UeXdwkpOD,spotify:track:49a31Z3OWJiW2UeXdwkpOD,https://api.spotify.com/v1/tracks/49a31Z3OWJiW2UeXdwkpOD,https://api.spotify.com/v1/audio-analysis/49a31Z3OWJiW2UeXdwkpOD,203973,4,Exclusive - Korean Version,Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.317,0.374,8,-9.109,1,0.035,0.64,0.000497,0.112,0.361,78.242,audio_features,67S9ulmJ3RAxC7y3BsCmL7,spotify:track:67S9ulmJ3RAxC7y3BsCmL7,https://api.spotify.com/v1/tracks/67S9ulmJ3RAxC7y3BsCmL7,https://api.spotify.com/v1/audio-analysis/67S9ulmJ3RAxC7y3BsCmL7,229747,4,Pansy,Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.377,0.617,5,-5.142,1,0.0358,0.565,0.0,0.0927,0.37,169.787,audio_features,41r1sJk8amCU7DfXVAnuSE,spotify:track:41r1sJk8amCU7DfXVAnuSE,https://api.spotify.com/v1/tracks/41r1sJk8amCU7DfXVAnuSE,https://api.spotify.com/v1/audio-analysis/41r1sJk8amCU7DfXVAnuSE,214787,4,I Think It’s Love,Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.494,0.654,8,-6.635,0,0.0427,0.741,4.24e-06,0.153,0.188,116.243,audio_features,4B1ORDJhX6trFg4v6gZIZk,spotify:track:4B1ORDJhX6trFg4v6gZIZk,https://api.spotify.com/v1/tracks/4B1ORDJhX6trFg4v6gZIZk,https://api.spotify.com/v1/audio-analysis/4B1ORDJhX6trFg4v6gZIZk,181467,4,Identity,Never Gonna Dance Again : Act 2 - The 3rd Album,2020-11-09,3xgFGYUOVxGp7pZywdf7AC,TAEMIN
0.65,0.867,2,-3.332,1,0.0686,0.0287,0.000166,0.0488,0.161,115.918,audio_features,2KXEE2MsPZLmT38XiyAOpH,spotify:track:2KXEE2MsPZLmT38XiyAOpH,https://api.spotify.com/v1/tracks/2KXEE2MsPZLmT38XiyAOpH,https://api.spotify.com/v1/audio-analysis/2KXEE2MsPZLmT38XiyAOpH,211400,4,Criminal,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.658,0.812,6,-2.899,0,0.0467,0.244,0.0,0.0953,0.724,130.06,audio_features,3n3lKRN7oLcIW9i0wxDkX2,spotify:track:3n3lKRN7oLcIW9i0wxDkX2,https://api.spotify.com/v1/tracks/3n3lKRN7oLcIW9i0wxDkX2,https://api.spotify.com/v1/audio-analysis/3n3lKRN7oLcIW9i0wxDkX2,219080,4,Black Rose,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.651,0.659,11,-4.48,0,0.0351,0.084,0.0,0.232,0.23,108.94,audio_features,1ccGx6woMIsQaAwXFa81xc,spotify:track:1ccGx6woMIsQaAwXFa81xc,https://api.spotify.com/v1/tracks/1ccGx6woMIsQaAwXFa81xc,https://api.spotify.com/v1/audio-analysis/1ccGx6woMIsQaAwXFa81xc,183240,4,Strangers,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.725,0.708,6,-3.529,1,0.055,0.404,0.0,0.0559,0.633,120.081,audio_features,3Ql4eE1qDzuhZVnE8jyjdt,spotify:track:3Ql4eE1qDzuhZVnE8jyjdt,https://api.spotify.com/v1/tracks/3Ql4eE1qDzuhZVnE8jyjdt,https://api.spotify.com/v1/audio-analysis/3Ql4eE1qDzuhZVnE8jyjdt,177467,4,Waiting For,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.801,0.802,7,-4.2,1,0.142,0.00709,0.000464,0.0959,0.684,115.017,audio_features,0RvoYh6pnOwA3n6pzSRHWl,spotify:track:0RvoYh6pnOwA3n6pzSRHWl,https://api.spotify.com/v1/tracks/0RvoYh6pnOwA3n6pzSRHWl,https://api.spotify.com/v1/audio-analysis/0RvoYh6pnOwA3n6pzSRHWl,179800,4,Famous - Korean Version,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.37,0.448,0,-9.217,0,0.0634,0.524,0.0,0.104,0.34,68.045,audio_features,09SIbdUVr34sBd7Uwwt63J,spotify:track:09SIbdUVr34sBd7Uwwt63J,https://api.spotify.com/v1/tracks/09SIbdUVr34sBd7Uwwt63J,https://api.spotify.com/v1/audio-analysis/09SIbdUVr34sBd7Uwwt63J,227360,4,Clockwork,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.691,0.67,11,-4.12,0,0.0352,0.344,0.0,0.125,0.442,106.0,audio_features,1Dgepi6GzDjCvcnd2p1OAy,spotify:track:1Dgepi6GzDjCvcnd2p1OAy,https://api.spotify.com/v1/tracks/1Dgepi6GzDjCvcnd2p1OAy,https://api.spotify.com/v1/audio-analysis/1Dgepi6GzDjCvcnd2p1OAy,213720,4,Just Me And You,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.62,0.743,2,-4.302,0,0.0413,0.301,0.0,0.425,0.39,136.015,audio_features,2JZiDl32xEwkm7TjMOPUVB,spotify:track:2JZiDl32xEwkm7TjMOPUVB,https://api.spotify.com/v1/tracks/2JZiDl32xEwkm7TjMOPUVB,https://api.spotify.com/v1/audio-analysis/2JZiDl32xEwkm7TjMOPUVB,235693,4,Nemo,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.617,0.696,2,-5.455,1,0.0692,0.16,0.0,0.081,0.494,104.011,audio_features,7MYf8wY7RdOgT7fPxJKIR8,spotify:track:7MYf8wY7RdOgT7fPxJKIR8,https://api.spotify.com/v1/tracks/7MYf8wY7RdOgT7fPxJKIR8,https://api.spotify.com/v1/audio-analysis/7MYf8wY7RdOgT7fPxJKIR8,213200,4,2 KIDS,Never Gonna Dance Again : Act 1 - The 3rd Album,2020-09-07,6YfGgOaUnhs0A9brMqjpHf,TAEMIN
0.64,0.757,7,-5.532,1,0.0689,0.0261,0.0,0.127,0.413,104.943,audio_features,0aLG42zaidNkblhiQgJknP,spotify:track:0aLG42zaidNkblhiQgJknP,https://api.spotify.com/v1/tracks/0aLG42zaidNkblhiQgJknP,https://api.spotify.com/v1/audio-analysis/0aLG42zaidNkblhiQgJknP,208968,4,WANT,WANT - The 2nd Mini Album,2019-02-11,7E01VOJ7gyYPz9HXUVeQeq,TAEMIN
0.724,0.661,0,-6.14,1,0.0571,0.0277,0.0,0.225,0.545,100.05,audio_features,3NoazwpMAu02KkRwzjM3aS,spotify:track:3NoazwpMAu02KkRwzjM3aS,https://api.spotify.com/v1/tracks/3NoazwpMAu02KkRwzjM3aS,https://api.spotify.com/v1/audio-analysis/3NoazwpMAu02KkRwzjM3aS,217968,4,Artistic Groove,WANT - The 2nd Mini Album,2019-02-11,7E01VOJ7gyYPz9HXUVeQeq,TAEMIN
0.572,0.725,1,-5.56,0,0.037,0.227,0.0,0.0817,0.407,100.008,audio_features,4gQoAKDYQbufqj2gygOeGK,spotify:track:4gQoAKDYQbufqj2gygOeGK,https://api.spotify.com/v1/tracks/4gQoAKDYQbufqj2gygOeGK,https://api.spotify.com/v1/audio-analysis/4gQoAKDYQbufqj2gygOeGK,189460,4,Shadow,WANT - The 2nd Mini Album,2019-02-11,7E01VOJ7gyYPz9HXUVeQeq,TAEMIN
0.583,0.467,4,-6.282,1,0.0374,0.246,0.0,0.0799,0.376,57.766,audio_features,4zwbzD4aS1DMhqUM8Ed7ie,spotify:track:4zwbzD4aS1DMhqUM8Ed7ie,https://api.spotify.com/v1/tracks/4zwbzD4aS1DMhqUM8Ed7ie,https://api.spotify.com/v1/audio-analysis/4zwbzD4aS1DMhqUM8Ed7ie,199722,4,Truth,WANT - The 2nd Mini Album,2019-02-11,7E01VOJ7gyYPz9HXUVeQeq,TAEMIN
0.644,0.617,6,-7.348,1,0.118,0.307,0.0,0.338,0.571,95.117,audio_features,554Yyo55jijsvGWp5w2T9M,spotify:track:554Yyo55jijsvGWp5w2T9M,https://api.spotify.com/v1/tracks/554Yyo55jijsvGWp5w2T9M,https://api.spotify.com/v1/audio-analysis/554Yyo55jijsvGWp5w2T9M,168423,4,Never Forever,WANT - The 2nd Mini Album,2019-02-11,7E01VOJ7gyYPz9HXUVeQeq,TAEMIN
0.556,0.261,8,-9.74,1,0.03,0.901,0.0,0.166,0.5,85.876,audio_features,5948rGOD7Spt8IALZLOuNr,spotify:track:5948rGOD7Spt8IALZLOuNr,https://api.spotify.com/v1/tracks/5948rGOD7Spt8IALZLOuNr,https://api.spotify.com/v1/audio-analysis/5948rGOD7Spt8IALZLOuNr,200530,4,Monologue,WANT - The 2nd Mini Album,2019-02-11,7E01VOJ7gyYPz9HXUVeQeq,TAEMIN
0.279,0.424,8,-11.055,0,0.0387,0.897,0.649,0.11,0.0501,123.004,audio_features,4oPi8MvS4CMLO7DMEefb32,spotify:track:4oPi8MvS4CMLO7DMEefb32,https://api.spotify.com/v1/tracks/4oPi8MvS4CMLO7DMEefb32,https://api.spotify.com/v1/audio-analysis/4oPi8MvS4CMLO7DMEefb32,59920,4,WANT ~Outro~,WANT - The 2nd Mini Album,2019-02-11,7E01VOJ7gyYPz9HXUVeQeq,TAEMIN
0.524,0.82,8,-3.825,0,0.0652,0.038,0.0,0.318,0.491,126.948,audio_features,0r5JPP3ly5B5jyJiwTp3lj,spotify:track:0r5JPP3ly5B5jyJiwTp3lj,https://api.spotify.com/v1/tracks/0r5JPP3ly5B5jyJiwTp3lj,https://api.spotify.com/v1/audio-analysis/0r5JPP3ly5B5jyJiwTp3lj,210000,4,ECLIPSE,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.633,0.767,6,-5.99,0,0.0927,0.0217,0.0,0.204,0.711,109.952,audio_features,75SpY4lM3ky4kaAAiEEpWM,spotify:track:75SpY4lM3ky4kaAAiEEpWM,https://api.spotify.com/v1/tracks/75SpY4lM3ky4kaAAiEEpWM,https://api.spotify.com/v1/audio-analysis/75SpY4lM3ky4kaAAiEEpWM,195507,4,Into The Rhythm,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.701,0.859,1,-4.72,1,0.287,0.086,0.0,0.067,0.53,111.883,audio_features,3Dn57cJFuOevlUka8LZXOI,spotify:track:3Dn57cJFuOevlUka8LZXOI,https://api.spotify.com/v1/tracks/3Dn57cJFuOevlUka8LZXOI,https://api.spotify.com/v1/audio-analysis/3Dn57cJFuOevlUka8LZXOI,207000,4,Drip Drop - Japanese Version,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.643,0.666,5,-4.79,0,0.0298,0.105,0.0,0.0842,0.536,130.006,audio_features,75ikYehzplYldfTiM69PZ8,spotify:track:75ikYehzplYldfTiM69PZ8,https://api.spotify.com/v1/tracks/75ikYehzplYldfTiM69PZ8,https://api.spotify.com/v1/audio-analysis/75ikYehzplYldfTiM69PZ8,232907,3,Flame of Love,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.592,0.702,6,-5.139,0,0.0894,0.0372,0.0,0.0958,0.472,85.039,audio_features,4yyPSplZ3LB7n1KYvhfwtm,spotify:track:4yyPSplZ3LB7n1KYvhfwtm,https://api.spotify.com/v1/tracks/4yyPSplZ3LB7n1KYvhfwtm,https://api.spotify.com/v1/audio-analysis/4yyPSplZ3LB7n1KYvhfwtm,226840,4,Under My Skin,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.694,0.774,9,-4.307,1,0.0846,0.0176,0.0,0.0451,0.864,114.022,audio_features,3XNZyKZGwKsrkhyxB0yPto,spotify:track:3XNZyKZGwKsrkhyxB0yPto,https://api.spotify.com/v1/tracks/3XNZyKZGwKsrkhyxB0yPto,https://api.spotify.com/v1/audio-analysis/3XNZyKZGwKsrkhyxB0yPto,192600,4,Danger - Japanese Version,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.554,0.66,8,-6.464,1,0.136,0.23,0.0,0.157,0.309,154.79,audio_features,4K6rzsjRm81pDv4gHOm15r,spotify:track:4K6rzsjRm81pDv4gHOm15r,https://api.spotify.com/v1/tracks/4K6rzsjRm81pDv4gHOm15r,https://api.spotify.com/v1/audio-analysis/4K6rzsjRm81pDv4gHOm15r,213813,4,Better Man,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.681,0.761,10,-3.594,0,0.0493,0.263,0.0,0.191,0.604,120.007,audio_features,3hDR8JJlJiHkdiVYsEyIV9,spotify:track:3hDR8JJlJiHkdiVYsEyIV9,https://api.spotify.com/v1/tracks/3hDR8JJlJiHkdiVYsEyIV9,https://api.spotify.com/v1/audio-analysis/3hDR8JJlJiHkdiVYsEyIV9,228040,4,Press Your Number - Japanese Version,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.761,0.816,1,-3.509,0,0.054,0.256,0.0,0.0414,0.712,95.993,audio_features,610w8Uhhcy7Pbh9VreZW6g,spotify:track:610w8Uhhcy7Pbh9VreZW6g,https://api.spotify.com/v1/tracks/610w8Uhhcy7Pbh9VreZW6g,https://api.spotify.com/v1/audio-analysis/610w8Uhhcy7Pbh9VreZW6g,232013,4,MARS,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.683,0.901,10,-4.03,0,0.05,0.00635,0.000221,0.216,0.763,127.96,audio_features,4DVYLyeiQ5j7xbizQy0YYR,spotify:track:4DVYLyeiQ5j7xbizQy0YYR,https://api.spotify.com/v1/tracks/4DVYLyeiQ5j7xbizQy0YYR,https://api.spotify.com/v1/audio-analysis/4DVYLyeiQ5j7xbizQy0YYR,221653,4,What's This Feeling,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.587,0.684,11,-6.151,0,0.0671,0.0781,0.0,0.108,0.666,85.958,audio_features,52yATkPDsSY959XuYUAZVO,spotify:track:52yATkPDsSY959XuYUAZVO,https://api.spotify.com/v1/tracks/52yATkPDsSY959XuYUAZVO,https://api.spotify.com/v1/audio-analysis/52yATkPDsSY959XuYUAZVO,220067,4,HOLY WATER,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.528,0.732,5,-4.394,0,0.0515,0.473,0.0,0.192,0.716,91.93,audio_features,5vv8ofylfqfFdj6Y8tGLXQ,spotify:track:5vv8ofylfqfFdj6Y8tGLXQ,https://api.spotify.com/v1/tracks/5vv8ofylfqfFdj6Y8tGLXQ,https://api.spotify.com/v1/audio-analysis/5vv8ofylfqfFdj6Y8tGLXQ,211520,4,さよならひとり,TAEMIN,2018-11-05,1GVtZymB8PktOiGJnh0V9K,TAEMIN
0.538,0.808,8,-3.783,0,0.0567,0.0315,0.0,0.234,0.525,126.996,audio_features,7og5rmi0kxVcLRltyBHJ4T,spotify:track:7og5rmi0kxVcLRltyBHJ4T,https://api.spotify.com/v1/tracks/7og5rmi0kxVcLRltyBHJ4T,https://api.spotify.com/v1/audio-analysis/7og5rmi0kxVcLRltyBHJ4T,210167,4,ECLIPSE,TAEMIN,2018-11-05,5j6TLzwhvonobhfDJ8ueot,TAEMIN
0.625,0.765,6,-6.008,0,0.0878,0.02,0.0,0.17,0.699,109.947,audio_features,6HNi4EuaXtRxxeyLkC8wz4,spotify:track:6HNi4EuaXtRxxeyLkC8wz4,https://api.spotify.com/v1/tracks/6HNi4EuaXtRxxeyLkC8wz4,https://api.spotify.com/v1/audio-analysis/6HNi4EuaXtRxxeyLkC8wz4,196433,4,In To The Rhythm,TAEMIN,2018-11-05,5j6TLzwhvonobhfDJ8ueot,TAEMIN
0.696,0.857,8,-4.743,0,0.303,0.0891,0.0,0.193,0.52,111.948,audio_features,0YTBnlF7HhX71Rd2EZje4q,spotify:track:0YTBnlF7HhX71Rd2EZje4q,https://api.spotify.com/v1/tracks/0YTBnlF7HhX71Rd2EZje4q,https://api.spotify.com/v1/audio-analysis/0YTBnlF7HhX71Rd2EZje4q,208267,4,Drip Drop - Japanese Version,TAEMIN,2018-11-05,5j6TLzwhvonobhfDJ8ueot,TAEMIN
0.643,0.662,5,-4.803,0,0.0297,0.105,0.0,0.0822,0.516,130.03,audio_features,1VQm0OKrrGBzlrzIcBX7GD,spotify:track:1VQm0OKrrGBzlrzIcBX7GD,https://api.spotify.com/v1/tracks/1VQm0OKrrGBzlrzIcBX7GD,https://api.spotify.com/v1/audio-analysis/1VQm0OKrrGBzlrzIcBX7GD,235367,3,Flame of Love,TAEMIN,2018-11-05,5j6TLzwhvonobhfDJ8ueot,TAEMIN
0.39,0.696,6,-5.126,0,0.128,0.0417,0.0,0.0734,0.485,84.558,audio_features,6Nrc1uB0NlctRJY2n5KAqR,spotify:track:6Nrc1uB0NlctRJY2n5KAqR,https://api.spotify.com/v1/tracks/6Nrc1uB0NlctRJY2n5KAqR,https://api.spotify.com/v1/audio-analysis/6Nrc1uB0NlctRJY2n5KAqR,228800,4,Under My Skin,TAEMIN,2018-11-05,5j6TLzwhvonobhfDJ8ueot,TAEMIN
