danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.638,0.911,9,-2.355,1,0.223,0.0746,0.0,0.269,0.59,155.076,audio_features,504FhZHykoDxtLNvzAcGHq,spotify:track:504FhZHykoDxtLNvzAcGHq,https://api.spotify.com/v1/tracks/504FhZHykoDxtLNvzAcGHq,https://api.spotify.com/v1/audio-analysis/504FhZHykoDxtLNvzAcGHq,181307,4,Ego,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.622,0.95,9,-1.38,0,0.11,0.0854,0.0,0.129,0.638,95.041,audio_features,0kJ8giG5tKtpSohTUkZxT0,spotify:track:0kJ8giG5tKtpSohTUkZxT0,https://api.spotify.com/v1/tracks/0kJ8giG5tKtpSohTUkZxT0,https://api.spotify.com/v1/audio-analysis/0kJ8giG5tKtpSohTUkZxT0,202453,4,REVEAL,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.659,0.893,4,-2.375,0,0.0441,0.103,0.0,0.459,0.68,135.08,audio_features,6LCTivfFQO1qD7gbAP0ObK,spotify:track:6LCTivfFQO1qD7gbAP0ObK,https://api.spotify.com/v1/tracks/6LCTivfFQO1qD7gbAP0ObK,https://api.spotify.com/v1/audio-analysis/6LCTivfFQO1qD7gbAP0ObK,192240,4,Shake You Down,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.68,0.867,8,-3.033,0,0.048,0.0566,0.0,0.0926,0.384,142.038,audio_features,1p37DvsiSGpCOukN1t9e09,spotify:track:1p37DvsiSGpCOukN1t9e09,https://api.spotify.com/v1/tracks/1p37DvsiSGpCOukN1t9e09,https://api.spotify.com/v1/audio-analysis/1p37DvsiSGpCOukN1t9e09,200947,4,Scar,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.657,0.78,3,-3.507,0,0.0376,0.0218,0.0,0.0743,0.51,134.013,audio_features,4nCQFgagadk32GJXv8xiWC,spotify:track:4nCQFgagadk32GJXv8xiWC,https://api.spotify.com/v1/tracks/4nCQFgagadk32GJXv8xiWC,https://api.spotify.com/v1/audio-analysis/4nCQFgagadk32GJXv8xiWC,182907,4,Salty,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.539,0.841,11,-3.963,1,0.053,0.263,0.0,0.112,0.686,104.851,audio_features,57j218p3v4EdSrRJswvbW4,spotify:track:57j218p3v4EdSrRJswvbW4,https://api.spotify.com/v1/tracks/57j218p3v4EdSrRJswvbW4,https://api.spotify.com/v1/audio-analysis/57j218p3v4EdSrRJswvbW4,205413,4,Break your rules,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.767,0.633,7,-5.457,1,0.0383,0.0269,0.0,0.147,0.499,104.992,audio_features,0t9sPo8kRFjwvjR1m2fzLf,spotify:track:0t9sPo8kRFjwvjR1m2fzLf,https://api.spotify.com/v1/tracks/0t9sPo8kRFjwvjR1m2fzLf,https://api.spotify.com/v1/audio-analysis/0t9sPo8kRFjwvjR1m2fzLf,233467,4,Wings,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.484,0.5,1,-5.207,1,0.0305,0.697,0.0,0.281,0.346,135.637,audio_features,3w8uddonckUvwXrWVUm3GB,spotify:track:3w8uddonckUvwXrWVUm3GB,https://api.spotify.com/v1/tracks/3w8uddonckUvwXrWVUm3GB,https://api.spotify.com/v1/audio-analysis/3w8uddonckUvwXrWVUm3GB,239120,4,Good bye,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.544,0.525,3,-4.957,1,0.034,0.638,0.0,0.356,0.365,125.39,audio_features,6hkCUskSTpBLlOdOnIUfGy,spotify:track:6hkCUskSTpBLlOdOnIUfGy,https://api.spotify.com/v1/tracks/6hkCUskSTpBLlOdOnIUfGy,https://api.spotify.com/v1/audio-analysis/6hkCUskSTpBLlOdOnIUfGy,244720,4,Spring Snow,REVEAL,2020-02-10,3V8mKe524xPdo9ICU6KriO,THE BOYZ
0.639,0.908,9,-2.374,1,0.198,0.084,0.0,0.179,0.591,155.084,audio_features,4rdiBpeM87mU9yLaSVUKq0,spotify:track:4rdiBpeM87mU9yLaSVUKq0,https://api.spotify.com/v1/tracks/4rdiBpeM87mU9yLaSVUKq0,https://api.spotify.com/v1/audio-analysis/4rdiBpeM87mU9yLaSVUKq0,181307,4,Ego,THE BOYZ 1ST ALBUM [REVEAL],2020-02-10,0mCPYdhQPWUQtQSp4CSxNh,THE BOYZ
