danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.226,0.479,3,-8.259,1,0.031,0.486,0.00367,0.145,0.24,101.669,audio_features,4mJWqVx4vIxIc91b8YZQc8,spotify:track:4mJWqVx4vIxIc91b8YZQc8,https://api.spotify.com/v1/tracks/4mJWqVx4vIxIc91b8YZQc8,https://api.spotify.com/v1/audio-analysis/4mJWqVx4vIxIc91b8YZQc8,74307,4,Intro : DREAMING,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.738,0.872,2,-4.115,1,0.0907,0.000988,0.0,0.325,0.637,131.998,audio_features,7znFWDzgm3Ld5fpze6EJp5,spotify:track:7znFWDzgm3Ld5fpze6EJp5,https://api.spotify.com/v1/tracks/7znFWDzgm3Ld5fpze6EJp5,https://api.spotify.com/v1/audio-analysis/7znFWDzgm3Ld5fpze6EJp5,241453,4,Force,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.709,0.81,3,-4.163,0,0.0953,0.0198,0.0,0.107,0.668,112.037,audio_features,2rPvbloYiatOGsvWWvR62H,spotify:track:2rPvbloYiatOGsvWWvR62H,https://api.spotify.com/v1/tracks/2rPvbloYiatOGsvWWvR62H,https://api.spotify.com/v1/audio-analysis/2rPvbloYiatOGsvWWvR62H,210107,4,5時53分の空で見つけた君と僕 - Japanese Ver.,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.629,0.791,1,-4.308,1,0.101,0.00606,0.0,0.126,0.46,128.982,audio_features,7u6awM8yTcM17pBzyhMO4C,spotify:track:7u6awM8yTcM17pBzyhMO4C,https://api.spotify.com/v1/tracks/7u6awM8yTcM17pBzyhMO4C,https://api.spotify.com/v1/audio-analysis/7u6awM8yTcM17pBzyhMO4C,210893,4,9と4分の3番線で君を待つ (Run Away) - Japanese Ver.,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.631,0.806,5,-5.581,1,0.0435,0.0548,0.0,0.0489,0.537,111.004,audio_features,6gUaVBXsaFrrG5TrUX0cvd,spotify:track:6gUaVBXsaFrrG5TrUX0cvd,https://api.spotify.com/v1/tracks/6gUaVBXsaFrrG5TrUX0cvd,https://api.spotify.com/v1/audio-analysis/6gUaVBXsaFrrG5TrUX0cvd,231760,4,ある日、頭からツノが生えた (CROWN) - Japanese Ver.,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.817,0.709,7,-4.866,1,0.104,0.0246,0.0,0.325,0.443,104.022,audio_features,1hbRaMw7avaun6B6bwDqX5,spotify:track:1hbRaMw7avaun6B6bwDqX5,https://api.spotify.com/v1/tracks/1hbRaMw7avaun6B6bwDqX5,https://api.spotify.com/v1/audio-analysis/1hbRaMw7avaun6B6bwDqX5,234427,4,Angel Or Devil - Japanese Ver.,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.629,0.936,1,-4.251,0,0.0704,0.0733,0.0,0.0936,0.744,125.991,audio_features,6xBivAKgcdsCBFGaC3IzSr,spotify:track:6xBivAKgcdsCBFGaC3IzSr,https://api.spotify.com/v1/tracks/6xBivAKgcdsCBFGaC3IzSr,https://api.spotify.com/v1/audio-analysis/6xBivAKgcdsCBFGaC3IzSr,211720,4,Drama - Japanese Ver.,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.523,0.894,7,-1.529,0,0.0615,0.101,0.0,0.19,0.378,127.013,audio_features,4HEo19dGKUa2L6uE8Uvqg5,spotify:track:4HEo19dGKUa2L6uE8Uvqg5,https://api.spotify.com/v1/tracks/4HEo19dGKUa2L6uE8Uvqg5,https://api.spotify.com/v1/audio-analysis/4HEo19dGKUa2L6uE8Uvqg5,193573,4,永遠に光れ (Everlasting Shine),STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.575,0.788,9,-4.342,0,0.117,0.049,0.0,0.141,0.664,139.851,audio_features,0GpMvHj96PmMETcg95WwMP,spotify:track:0GpMvHj96PmMETcg95WwMP,https://api.spotify.com/v1/tracks/0GpMvHj96PmMETcg95WwMP,https://api.spotify.com/v1/audio-analysis/0GpMvHj96PmMETcg95WwMP,202240,4,Can't You See Me? (世界が燃えてしまった夜、僕たちは...) - Japanese Ver.,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
0.602,0.373,2,-12.97,1,0.0301,0.867,0.857,0.204,0.3,115.957,audio_features,7bzFnFnXU2isoH0F65Yid0,spotify:track:7bzFnFnXU2isoH0F65Yid0,https://api.spotify.com/v1/tracks/7bzFnFnXU2isoH0F65Yid0,https://api.spotify.com/v1/audio-analysis/7bzFnFnXU2isoH0F65Yid0,73600,4,Outro : STILL,STILL DREAMING,2021-01-19,6lNj7Qeyd2x48m0NX3w2Sf,TOMORROW X TOGETHER
