danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.73,0.785,6,-4.564,1,0.078,0.111,0,0.141,0.526,107.931,audio_features,4Dq2FjRkOTHcssggMdYK8J,spotify:track:4Dq2FjRkOTHcssggMdYK8J,https://api.spotify.com/v1/tracks/4Dq2FjRkOTHcssggMdYK8J,https://api.spotify.com/v1/audio-analysis/4Dq2FjRkOTHcssggMdYK8J,195982,4,MY TREASURE,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.841,0.44,9,-7.736,1,0.0897,0.422,0,0.203,0.785,106.942,audio_features,782NR6j9LjIfZg4BbCcJdl,spotify:track:782NR6j9LjIfZg4BbCcJdl,https://api.spotify.com/v1/tracks/782NR6j9LjIfZg4BbCcJdl,https://api.spotify.com/v1/audio-analysis/782NR6j9LjIfZg4BbCcJdl,188207,4,BE WITH ME,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.55,0.621,0,-5.913,1,0.0393,0.27,0,0.242,0.363,166.002,audio_features,0daxn4ZBkfgJdCKqRmiDcT,spotify:track:0daxn4ZBkfgJdCKqRmiDcT,https://api.spotify.com/v1/tracks/0daxn4ZBkfgJdCKqRmiDcT,https://api.spotify.com/v1/audio-analysis/0daxn4ZBkfgJdCKqRmiDcT,190767,4,SLOWMOTION,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.757,0.791,6,-5.731,0,0.0476,0.0526,0,0.493,0.67,110.062,audio_features,18uXUUPFfj6XF4hsmp65gB,spotify:track:18uXUUPFfj6XF4hsmp65gB,https://api.spotify.com/v1/tracks/18uXUUPFfj6XF4hsmp65gB,https://api.spotify.com/v1/audio-analysis/18uXUUPFfj6XF4hsmp65gB,196667,4,BOY,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.862,0.802,8,-5.342,0,0.0498,0.203,0,0.172,0.666,105.028,audio_features,1jkO79LWdg5RjkSZ2VfuTo,spotify:track:1jkO79LWdg5RjkSZ2VfuTo,https://api.spotify.com/v1/tracks/1jkO79LWdg5RjkSZ2VfuTo,https://api.spotify.com/v1/audio-analysis/1jkO79LWdg5RjkSZ2VfuTo,204493,4,COME TO ME,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.732,0.725,8,-5.585,1,0.0638,0.0101,0,0.163,0.411,130.024,audio_features,1SxqqC1aQ8JiLyfMrHYmnF,spotify:track:1SxqqC1aQ8JiLyfMrHYmnF,https://api.spotify.com/v1/tracks/1SxqqC1aQ8JiLyfMrHYmnF,https://api.spotify.com/v1/audio-analysis/1SxqqC1aQ8JiLyfMrHYmnF,181618,4,I LOVE YOU,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.717,0.807,7,-5.958,1,0.0669,0.0429,0,0.34,0.646,128.003,audio_features,0x7FHlHcZT0awEVE0Ahuhl,spotify:track:0x7FHlHcZT0awEVE0Ahuhl,https://api.spotify.com/v1/tracks/0x7FHlHcZT0awEVE0Ahuhl,https://api.spotify.com/v1/audio-analysis/0x7FHlHcZT0awEVE0Ahuhl,205080,4,B.L.T (BLING LIKE THIS),THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.766,0.746,1,-5.917,1,0.104,0.0518,0,0.0651,0.633,80.007,audio_features,7DlfhY3YfQKi97j0DXihen,spotify:track:7DlfhY3YfQKi97j0DXihen,https://api.spotify.com/v1/tracks/7DlfhY3YfQKi97j0DXihen,https://api.spotify.com/v1/audio-analysis/7DlfhY3YfQKi97j0DXihen,208053,4,MMM,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.771,0.61,1,-6.55,1,0.0297,0.0254,0,0.0924,0.734,129.934,audio_features,09QE4VI4P2ZIFHmVxeUSKd,spotify:track:09QE4VI4P2ZIFHmVxeUSKd,https://api.spotify.com/v1/tracks/09QE4VI4P2ZIFHmVxeUSKd,https://api.spotify.com/v1/audio-analysis/09QE4VI4P2ZIFHmVxeUSKd,256453,4,ORANGE,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.749,0.905,8,-3.943,0,0.0613,0.203,0,0.0887,0.801,124.983,audio_features,6YFzL1910P0fRFh865HmI3,spotify:track:6YFzL1910P0fRFh865HmI3,https://api.spotify.com/v1/tracks/6YFzL1910P0fRFh865HmI3,https://api.spotify.com/v1/audio-analysis/6YFzL1910P0fRFh865HmI3,224969,4,GOING CRAZY,THE FIRST STEP : TREASURE EFFECT,2021-01-11,5tQDFmW8QrZdTsICpLQBTL,TREASURE
0.731,0.792,6,-4.455,1,0.0687,0.111,0,0.13,0.526,107.951,audio_features,75dnAYo5WDaVF3n3dxTcN5,spotify:track:75dnAYo5WDaVF3n3dxTcN5,https://api.spotify.com/v1/tracks/75dnAYo5WDaVF3n3dxTcN5,https://api.spotify.com/v1/audio-analysis/75dnAYo5WDaVF3n3dxTcN5,195982,4,MY TREASURE - KR Ver.,THE FIRST STEP : TREASURE EFFECT (KR EDITION),2021-01-11,7gYwcGSBKdS47gnioxSSoz,TREASURE
0.838,0.444,9,-7.531,1,0.0995,0.438,0,0.195,0.784,106.947,audio_features,6ivQ09kpYInvKogqPLWgy1,spotify:track:6ivQ09kpYInvKogqPLWgy1,https://api.spotify.com/v1/tracks/6ivQ09kpYInvKogqPLWgy1,https://api.spotify.com/v1/audio-analysis/6ivQ09kpYInvKogqPLWgy1,188207,4,BE WITH ME - KR Ver.,THE FIRST STEP : TREASURE EFFECT (KR EDITION),2021-01-11,7gYwcGSBKdS47gnioxSSoz,TREASURE
0.553,0.641,0,-5.68,1,0.0396,0.272,0,0.25,0.373,165.99,audio_features,63Mc8uGcsKc1me51eyqAyB,spotify:track:63Mc8uGcsKc1me51eyqAyB,https://api.spotify.com/v1/tracks/63Mc8uGcsKc1me51eyqAyB,https://api.spotify.com/v1/audio-analysis/63Mc8uGcsKc1me51eyqAyB,190767,4,SLOWMOTION - KR Ver.,THE FIRST STEP : TREASURE EFFECT (KR EDITION),2021-01-11,7gYwcGSBKdS47gnioxSSoz,TREASURE
0.758,0.789,6,-5.732,0,0.0488,0.052,0,0.495,0.663,110.057,audio_features,4ywwkb6TXYM2p6DaEVP6tD,spotify:track:4ywwkb6TXYM2p6DaEVP6tD,https://api.spotify.com/v1/tracks/4ywwkb6TXYM2p6DaEVP6tD,https://api.spotify.com/v1/audio-analysis/4ywwkb6TXYM2p6DaEVP6tD,196667,4,BOY - KR Ver.,THE FIRST STEP : TREASURE EFFECT (KR EDITION),2021-01-11,7gYwcGSBKdS47gnioxSSoz,TREASURE
0.86,0.801,8,-5.334,0,0.0523,0.198,0,0.18,0.682,105.019,audio_features,1zUOOTlAmA1IIwSBxAaTlh,spotify:track:1zUOOTlAmA1IIwSBxAaTlh,https://api.spotify.com/v1/tracks/1zUOOTlAmA1IIwSBxAaTlh,https://api.spotify.com/v1/audio-analysis/1zUOOTlAmA1IIwSBxAaTlh,204493,4,COME TO ME - KR Ver.,THE FIRST STEP : TREASURE EFFECT (KR EDITION),2021-01-11,7gYwcGSBKdS47gnioxSSoz,TREASURE
0.731,0.731,8,-5.485,1,0.0581,0.0106,0,0.15,0.423,130.025,audio_features,29PphX8fba3zrUJsuYFxUw,spotify:track:29PphX8fba3zrUJsuYFxUw,https://api.spotify.com/v1/tracks/29PphX8fba3zrUJsuYFxUw,https://api.spotify.com/v1/audio-analysis/29PphX8fba3zrUJsuYFxUw,181618,4,I LOVE YOU - KR Ver.,THE FIRST STEP : TREASURE EFFECT (KR EDITION),2021-01-11,7gYwcGSBKdS47gnioxSSoz,TREASURE
0.718,0.818,7,-5.871,1,0.0678,0.0453,0,0.344,0.626,127.993,audio_features,0EnlWNEgNgWMMMehFgz0Pl,spotify:track:0EnlWNEgNgWMMMehFgz0Pl,https://api.spotify.com/v1/tracks/0EnlWNEgNgWMMMehFgz0Pl,https://api.spotify.com/v1/audio-analysis/0EnlWNEgNgWMMMehFgz0Pl,205080,4,B.L.T (BLING LIKE THIS) - KR Ver.,THE FIRST STEP : TREASURE EFFECT (KR EDITION),2021-01-11,7gYwcGSBKdS47gnioxSSoz,TREASURE
