danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.657,0.88,10,-3.672,0,0.102,0.121,0.0,0.463,0.769,150.084,audio_features,3apeXzypBMnUfYcZYNX6DH,spotify:track:3apeXzypBMnUfYcZYNX6DH,https://api.spotify.com/v1/tracks/3apeXzypBMnUfYcZYNX6DH,https://api.spotify.com/v1/audio-analysis/3apeXzypBMnUfYcZYNX6DH,205493,4,I CAN'T STOP ME,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.8,0.81,4,-3.82,0,0.0604,0.182,1.06e-06,0.107,0.694,105.042,audio_features,19by44jwF68iVN8D815kOB,spotify:track:19by44jwF68iVN8D815kOB,https://api.spotify.com/v1/tracks/19by44jwF68iVN8D815kOB,https://api.spotify.com/v1/audio-analysis/19by44jwF68iVN8D815kOB,179320,4,HELL IN HEAVEN,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.709,0.88,2,-2.734,1,0.0585,0.0298,4.46e-06,0.103,0.713,119.948,audio_features,0eeebX5IslzAMBs519PlO5,spotify:track:0eeebX5IslzAMBs519PlO5,https://api.spotify.com/v1/tracks/0eeebX5IslzAMBs519PlO5,https://api.spotify.com/v1/audio-analysis/0eeebX5IslzAMBs519PlO5,214240,4,UP NO MORE,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.78,0.896,11,-2.482,0,0.0614,0.0101,0.0,0.091,0.715,124.926,audio_features,4lqT9X8AYH3svpFQlEPicl,spotify:track:4lqT9X8AYH3svpFQlEPicl,https://api.spotify.com/v1/tracks/4lqT9X8AYH3svpFQlEPicl,https://api.spotify.com/v1/audio-analysis/4lqT9X8AYH3svpFQlEPicl,179587,4,DO WHAT WE LIKE,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.842,0.638,2,-2.73,0,0.0684,0.207,0.0,0.118,0.606,115.051,audio_features,2QDGmH7Ygk9Hj2qCxWY0ii,spotify:track:2QDGmH7Ygk9Hj2qCxWY0ii,https://api.spotify.com/v1/tracks/2QDGmH7Ygk9Hj2qCxWY0ii,https://api.spotify.com/v1/audio-analysis/2QDGmH7Ygk9Hj2qCxWY0ii,208133,4,BRING IT BACK,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.669,0.84,7,-3.176,1,0.0599,0.0294,0.0,0.663,0.483,105.009,audio_features,2u7G5kXP6Vi9A55U1N6Gc3,spotify:track:2u7G5kXP6Vi9A55U1N6Gc3,https://api.spotify.com/v1/tracks/2u7G5kXP6Vi9A55U1N6Gc3,https://api.spotify.com/v1/audio-analysis/2u7G5kXP6Vi9A55U1N6Gc3,196947,4,BELIEVER,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.629,0.837,0,-3.112,1,0.258,0.139,0.0,0.107,0.423,105.882,audio_features,5SxmB43X7hhvjtNkZ77VN4,spotify:track:5SxmB43X7hhvjtNkZ77VN4,https://api.spotify.com/v1/tracks/5SxmB43X7hhvjtNkZ77VN4,https://api.spotify.com/v1/audio-analysis/5SxmB43X7hhvjtNkZ77VN4,193573,4,QUEEN,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.791,0.852,6,-3.569,0,0.0449,0.296,1.56e-05,0.0999,0.509,100.062,audio_features,4DyrLEu46wIXGgBBcLVXEW,spotify:track:4DyrLEu46wIXGgBBcLVXEW,https://api.spotify.com/v1/tracks/4DyrLEu46wIXGgBBcLVXEW,https://api.spotify.com/v1/audio-analysis/4DyrLEu46wIXGgBBcLVXEW,181520,4,GO HARD,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.79,0.927,1,-2.429,1,0.141,0.108,0.0,0.357,0.553,97.995,audio_features,35J5q8vdObi345b8NKm1CX,spotify:track:35J5q8vdObi345b8NKm1CX,https://api.spotify.com/v1/tracks/35J5q8vdObi345b8NKm1CX,https://api.spotify.com/v1/audio-analysis/35J5q8vdObi345b8NKm1CX,209480,4,SHOT CLOCK,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.509,0.574,5,-6.035,0,0.262,0.533,0.0,0.0898,0.69,85.96,audio_features,7xhyrH0Es6AZ8SWqtWyUr1,spotify:track:7xhyrH0Es6AZ8SWqtWyUr1,https://api.spotify.com/v1/tracks/7xhyrH0Es6AZ8SWqtWyUr1,https://api.spotify.com/v1/audio-analysis/7xhyrH0Es6AZ8SWqtWyUr1,171053,4,HANDLE IT,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.676,0.597,5,-6.249,1,0.0387,0.0953,0.0,0.455,0.522,100.156,audio_features,7aTIF2pMy1hEs3r2ewcYGd,spotify:track:7aTIF2pMy1hEs3r2ewcYGd,https://api.spotify.com/v1/tracks/7aTIF2pMy1hEs3r2ewcYGd,https://api.spotify.com/v1/audio-analysis/7aTIF2pMy1hEs3r2ewcYGd,198867,4,DEPEND ON YOU,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.713,0.841,8,-4.067,1,0.0622,0.0859,0.0,0.0646,0.723,105.963,audio_features,2FD1OIYpzEf9y2Z6S8hgJu,spotify:track:2FD1OIYpzEf9y2Z6S8hgJu,https://api.spotify.com/v1/tracks/2FD1OIYpzEf9y2Z6S8hgJu,https://api.spotify.com/v1/audio-analysis/2FD1OIYpzEf9y2Z6S8hgJu,247360,4,SAY SOMETHING,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.362,0.813,5,-4.247,1,0.113,0.0689,0.0,0.195,0.346,86.468,audio_features,07CYRI5dwRevOhthkHU58X,spotify:track:07CYRI5dwRevOhthkHU58X,https://api.spotify.com/v1/tracks/07CYRI5dwRevOhthkHU58X,https://api.spotify.com/v1/audio-analysis/07CYRI5dwRevOhthkHU58X,218533,1,BEHIND THE MASK,Eyes wide open,2020-10-26,77irgFZWRDU0jkUCYvLiua,TWICE
0.739,0.841,5,-4.162,1,0.06,0.0312,0.0,0.173,0.562,106.99,audio_features,2bAAj29XGc4h1G4oEGYCmg,spotify:track:2bAAj29XGc4h1G4oEGYCmg,https://api.spotify.com/v1/tracks/2bAAj29XGc4h1G4oEGYCmg,https://api.spotify.com/v1/audio-analysis/2bAAj29XGc4h1G4oEGYCmg,199653,4,MORE & MORE,MORE & MORE,2020-06-01,1bUx6TFAyzCdZY9ugEXxRh,TWICE
0.775,0.87,0,-4.198,0,0.0576,0.0564,2.82e-06,0.273,0.501,129.956,audio_features,0JeDwT1t3gcrAH29RA0yvm,spotify:track:0JeDwT1t3gcrAH29RA0yvm,https://api.spotify.com/v1/tracks/0JeDwT1t3gcrAH29RA0yvm,https://api.spotify.com/v1/audio-analysis/0JeDwT1t3gcrAH29RA0yvm,225400,4,OXYGEN,MORE & MORE,2020-06-01,1bUx6TFAyzCdZY9ugEXxRh,TWICE
0.7,0.92,10,-1.532,0,0.0536,0.115,2.93e-06,0.701,0.685,108.006,audio_features,7iXrqFaV5tK4Fri4mrO8jP,spotify:track:7iXrqFaV5tK4Fri4mrO8jP,https://api.spotify.com/v1/tracks/7iXrqFaV5tK4Fri4mrO8jP,https://api.spotify.com/v1/audio-analysis/7iXrqFaV5tK4Fri4mrO8jP,193467,4,FIREWORK,MORE & MORE,2020-06-01,1bUx6TFAyzCdZY9ugEXxRh,TWICE
0.818,0.633,7,-3.145,1,0.0611,0.00539,0.00174,0.0446,0.814,111.517,audio_features,2kYbyudUsQyBzFjWTpy6xV,spotify:track:2kYbyudUsQyBzFjWTpy6xV,https://api.spotify.com/v1/tracks/2kYbyudUsQyBzFjWTpy6xV,https://api.spotify.com/v1/audio-analysis/2kYbyudUsQyBzFjWTpy6xV,186707,4,MAKE ME GO,MORE & MORE,2020-06-01,1bUx6TFAyzCdZY9ugEXxRh,TWICE
0.696,0.751,11,-4.966,0,0.161,0.138,0.0,0.282,0.478,110.8,audio_features,0Wv6HtcBNex6lwPugykWCd,spotify:track:0Wv6HtcBNex6lwPugykWCd,https://api.spotify.com/v1/tracks/0Wv6HtcBNex6lwPugykWCd,https://api.spotify.com/v1/audio-analysis/0Wv6HtcBNex6lwPugykWCd,168893,4,SHADOW,MORE & MORE,2020-06-01,1bUx6TFAyzCdZY9ugEXxRh,TWICE
0.516,0.902,2,-4.686,1,0.175,0.00146,5.31e-05,0.112,0.613,187.873,audio_features,5Y3OPUKCfbGNygyijpeP4e,spotify:track:5Y3OPUKCfbGNygyijpeP4e,https://api.spotify.com/v1/tracks/5Y3OPUKCfbGNygyijpeP4e,https://api.spotify.com/v1/audio-analysis/5Y3OPUKCfbGNygyijpeP4e,173347,4,DON'T CALL ME AGAIN,MORE & MORE,2020-06-01,1bUx6TFAyzCdZY9ugEXxRh,TWICE
0.707,0.95,6,-3.189,0,0.0645,0.0187,1.14e-05,0.35,0.589,110.029,audio_features,4XDWKodqvKyGL5YJILpKM5,spotify:track:4XDWKodqvKyGL5YJILpKM5,https://api.spotify.com/v1/tracks/4XDWKodqvKyGL5YJILpKM5,https://api.spotify.com/v1/audio-analysis/4XDWKodqvKyGL5YJILpKM5,191987,4,SWEET SUMMER DAY,MORE & MORE,2020-06-01,1bUx6TFAyzCdZY9ugEXxRh,TWICE
0.709,0.741,1,-4.085,1,0.0572,0.0216,1.33e-06,0.111,0.702,120.002,audio_features,3egADkalVEpD99sI5AGGYe,spotify:track:3egADkalVEpD99sI5AGGYe,https://api.spotify.com/v1/tracks/3egADkalVEpD99sI5AGGYe,https://api.spotify.com/v1/audio-analysis/3egADkalVEpD99sI5AGGYe,202540,4,SWING,&TWICE (Repackage),2020-02-05,64Tvx7Ca3BjA4STHq1wFap,TWICE
