danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.721,0.838,11,-4.343,0,0.125,0.0372,0.0,0.137,0.659,131.965,audio_features,1W3xfaGdfWxUU94lBcrWjT,spotify:track:1W3xfaGdfWxUU94lBcrWjT,https://api.spotify.com/v1/tracks/1W3xfaGdfWxUU94lBcrWjT,https://api.spotify.com/v1/audio-analysis/1W3xfaGdfWxUU94lBcrWjT,186267,4,Reincarnation,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.619,0.834,10,-3.918,0,0.061,0.137,0.0,0.119,0.781,150.017,audio_features,1HybeCid417lV9ldlKGenl,spotify:track:1HybeCid417lV9ldlKGenl,https://api.spotify.com/v1/tracks/1HybeCid417lV9ldlKGenl,https://api.spotify.com/v1/audio-analysis/1HybeCid417lV9ldlKGenl,187067,4,Scentist,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.718,0.723,0,-4.044,1,0.0535,0.52,0.0,0.14,0.786,98.99,audio_features,1pZmZ25sr75YYGZoj0aMlw,spotify:track:1pZmZ25sr75YYGZoj0aMlw,https://api.spotify.com/v1/tracks/1pZmZ25sr75YYGZoj0aMlw,https://api.spotify.com/v1/audio-analysis/1pZmZ25sr75YYGZoj0aMlw,246067,4,Sugar,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.696,0.773,11,-5.795,0,0.0462,0.216,0.0,0.0733,0.909,152.003,audio_features,1W93St79jAjrgEW2FYkEmW,spotify:track:1W93St79jAjrgEW2FYkEmW,https://api.spotify.com/v1/tracks/1W93St79jAjrgEW2FYkEmW,https://api.spotify.com/v1/audio-analysis/1W93St79jAjrgEW2FYkEmW,243933,3,Last Note~消えた後の蝋燭の香り,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.796,0.742,6,-4.796,0,0.0543,0.308,0.0,0.137,0.719,120.016,audio_features,6Ys7xrEbpSfZmbRL3KQt6Z,spotify:track:6Ys7xrEbpSfZmbRL3KQt6Z,https://api.spotify.com/v1/tracks/6Ys7xrEbpSfZmbRL3KQt6Z,https://api.spotify.com/v1/audio-analysis/6Ys7xrEbpSfZmbRL3KQt6Z,199133,4,Circle,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.775,0.71,7,-4.45,0,0.0371,0.258,0.0,0.0896,0.794,132.007,audio_features,3m7vb40uwUD0R6sP6HYDe1,spotify:track:3m7vb40uwUD0R6sP6HYDe1,https://api.spotify.com/v1/tracks/3m7vb40uwUD0R6sP6HYDe1,https://api.spotify.com/v1/audio-analysis/3m7vb40uwUD0R6sP6HYDe1,222933,4,My Valentine,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.702,0.755,8,-5.228,0,0.0371,0.0371,0.0,0.121,0.427,97.0,audio_features,6AUQcCfVw6MGb9Ll5UmIyQ,spotify:track:6AUQcCfVw6MGb9Ll5UmIyQ,https://api.spotify.com/v1/tracks/6AUQcCfVw6MGb9Ll5UmIyQ,https://api.spotify.com/v1/audio-analysis/6AUQcCfVw6MGb9Ll5UmIyQ,266133,4,But Not For Me,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.577,0.437,2,-6.208,1,0.0282,0.808,0.0,0.125,0.161,126.103,audio_features,7pPmELQCerSgfKJ9owL2aO,spotify:track:7pPmELQCerSgfKJ9owL2aO,https://api.spotify.com/v1/tracks/7pPmELQCerSgfKJ9owL2aO,https://api.spotify.com/v1/audio-analysis/7pPmELQCerSgfKJ9owL2aO,240533,4,The Rain,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.676,0.876,11,-3.072,0,0.0381,0.0944,0.0,0.0525,0.715,122.032,audio_features,7akGOOrHPIOZfSfL58oUi3,spotify:track:7akGOOrHPIOZfSfL58oUi3,https://api.spotify.com/v1/tracks/7akGOOrHPIOZfSfL58oUi3,https://api.spotify.com/v1/audio-analysis/7akGOOrHPIOZfSfL58oUi3,190467,4,Navy & Shining Gold,Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
0.611,0.719,6,-3.517,0,0.105,0.147,0.0,0.133,0.573,77.524,audio_features,55MUEPR6T2w0Xe4jyOORTE,spotify:track:55MUEPR6T2w0Xe4jyOORTE,https://api.spotify.com/v1/tracks/55MUEPR6T2w0Xe4jyOORTE,https://api.spotify.com/v1/audio-analysis/55MUEPR6T2w0Xe4jyOORTE,204267,4,桃源境(Shangri-La),Reincarnation,2018-09-26,6A2ahWJPDQl2n7bAtftT51,VIXX
