danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,track_name,album,release_date,album_id,artist
0.736,0.495,3,-6.734,1,0.0316,0.765,0.0,0.107,0.251,130.102,audio_features,2Rs2Mc4yGtG5wK5DGKDP1x,spotify:track:2Rs2Mc4yGtG5wK5DGKDP1x,https://api.spotify.com/v1/tracks/2Rs2Mc4yGtG5wK5DGKDP1x,https://api.spotify.com/v1/audio-analysis/2Rs2Mc4yGtG5wK5DGKDP1x,224200,4,REMEMBER - KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.567,0.257,7,-9.146,1,0.0382,0.85,0.0,0.0948,0.357,137.736,audio_features,6ycYgFQcmT1i1BM3CoqKMN,spotify:track:6ycYgFQcmT1i1BM3CoqKMN,https://api.spotify.com/v1/tracks/6ycYgFQcmT1i1BM3CoqKMN,https://api.spotify.com/v1/audio-analysis/6ycYgFQcmT1i1BM3CoqKMN,210173,4,DDUK - JINU SOLO KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.698,0.656,8,-5.483,1,0.0598,0.0475,0.0,0.0343,0.589,156.011,audio_features,3olU0zYnqx0iyjL2SyrSCq,spotify:track:3olU0zYnqx0iyjL2SyrSCq,https://api.spotify.com/v1/tracks/3olU0zYnqx0iyjL2SyrSCq,https://api.spotify.com/v1/audio-analysis/3olU0zYnqx0iyjL2SyrSCq,176347,4,HOLD - KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.759,0.595,0,-5.439,1,0.0678,0.0619,0.0,0.138,0.852,117.96,audio_features,3JcofdB5XcXFnfzZ4n4jzV,spotify:track:3JcofdB5XcXFnfzZ4n4jzV,https://api.spotify.com/v1/tracks/3JcofdB5XcXFnfzZ4n4jzV,https://api.spotify.com/v1/audio-analysis/3JcofdB5XcXFnfzZ4n4jzV,200867,4,JUST DANCE - KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.738,0.52,6,-6.947,0,0.0411,0.528,0.0,0.109,0.417,93.056,audio_features,1agTMaFdLA0hCWkk0mnbAM,spotify:track:1agTMaFdLA0hCWkk0mnbAM,https://api.spotify.com/v1/tracks/1agTMaFdLA0hCWkk0mnbAM,https://api.spotify.com/v1/audio-analysis/1agTMaFdLA0hCWkk0mnbAM,235320,4,MY BAD - KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.705,0.611,0,-5.755,1,0.0359,0.286,0.0,0.0999,0.595,130.08,audio_features,59zd68ltS6COmNkxnaroGV,spotify:track:59zd68ltS6COmNkxnaroGV,https://api.spotify.com/v1/tracks/59zd68ltS6COmNkxnaroGV,https://api.spotify.com/v1/audio-analysis/59zd68ltS6COmNkxnaroGV,224453,4,TEASER - KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.637,0.717,2,-5.289,1,0.0491,0.344,0.0,0.0578,0.322,124.035,audio_features,6w026Ih1sUg0AD41Jq55jd,spotify:track:6w026Ih1sUg0AD41Jq55jd,https://api.spotify.com/v1/tracks/6w026Ih1sUg0AD41Jq55jd,https://api.spotify.com/v1/audio-analysis/6w026Ih1sUg0AD41Jq55jd,222493,4,WELL - KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.646,0.693,7,-4.891,1,0.0397,0.01,0.0,0.0781,0.458,130.052,audio_features,2p4urnNecgkxwskGdXglmk,spotify:track:2p4urnNecgkxwskGdXglmk,https://api.spotify.com/v1/tracks/2p4urnNecgkxwskGdXglmk,https://api.spotify.com/v1/audio-analysis/2p4urnNecgkxwskGdXglmk,196787,4,SERENADE - HOONY SOLO KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.635,0.687,0,-6.941,1,0.0409,0.188,0.0,0.441,0.582,90.072,audio_features,7dIv7pqc4QowcNjwXPGJa3,spotify:track:7dIv7pqc4QowcNjwXPGJa3,https://api.spotify.com/v1/tracks/7dIv7pqc4QowcNjwXPGJa3,https://api.spotify.com/v1/audio-analysis/7dIv7pqc4QowcNjwXPGJa3,220120,4,EMPTY - 4 ver. KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
0.752,0.707,10,-3.708,0,0.201,0.0568,0.0,0.0365,0.739,89.996,audio_features,4jWTTw2LzYqB6LHckXVAfg,spotify:track:4jWTTw2LzYqB6LHckXVAfg,https://api.spotify.com/v1/tracks/4jWTTw2LzYqB6LHckXVAfg,https://api.spotify.com/v1/audio-analysis/4jWTTw2LzYqB6LHckXVAfg,205853,4,DON'T FLIRT - 4 ver. KR Ver.,Remember (JP EDITION),2020-07-22,4JL5JcIdo3gl3pT5rZZOeQ,WINNER
