external_urls/spotify,followers/href,followers/total,genres/0,genres/1,href,id,images/0/height,images/0/url,images/0/width,images/1/height,images/1/url,images/1/width,images/2/height,images/2/url,images/2/width,name,popularity,type,uri,genres/2,genres/3,genres/4,genres/5,genres/6,genres/7,genres/8,images/3/height,images/3/url,images/3/width,genres/9,genres/10
https://open.spotify.com/artist/3Nrfpe0tUJi4K4DXYWgMUX,,28756460,k-pop,k-pop boy group,https://api.spotify.com/v1/artists/3Nrfpe0tUJi4K4DXYWgMUX,3Nrfpe0tUJi4K4DXYWgMUX,640,https://i.scdn.co/image/8ef1003d0cab2411ebc066ae9e50c01dceaf4e6c,640,320,https://i.scdn.co/image/b6050d78c0fecee8e1f2614d326f7e24d835cb8e,320,160,https://i.scdn.co/image/155cffd734dfe8841887c60307ace6eb66a5bf7b,160,BTS,97,artist,spotify:artist:3Nrfpe0tUJi4K4DXYWgMUX,,,,,,,,,,,,
https://open.spotify.com/artist/2LIk90788K0zvyj2JJVwkJ,,696310,deep underground hip hop,kentucky hip hop,https://api.spotify.com/v1/artists/2LIk90788K0zvyj2JJVwkJ,2LIk90788K0zvyj2JJVwkJ,640,https://i.scdn.co/image/98e354db8bafef4b3be444bad6f0535ad72bf5f6,640,320,https://i.scdn.co/image/760c87212373379f77290356031d063ebfb792d2,320,160,https://i.scdn.co/image/360bd37c8439b95b4258b233aa12ede454d75b48,160,Jack Harlow,86,artist,spotify:artist:2LIk90788K0zvyj2JJVwkJ,pop rap,rap,,,,,,,,,,
https://open.spotify.com/artist/2EMAnMvWE2eb56ToJVfCWs,,4647917,kentucky hip hop,pop,https://api.spotify.com/v1/artists/2EMAnMvWE2eb56ToJVfCWs,2EMAnMvWE2eb56ToJVfCWs,640,https://i.scdn.co/image/c65c74e7b7eb576b8dea4d5d43283ac279e3f87d,640,320,https://i.scdn.co/image/f153678ecab2cd50acc63bf5d6c34abc4cd2347c,320,160,https://i.scdn.co/image/b90f2037f9cfabd9b39efc5613541c946df5b4bf,160,Bryson Tiller,81,artist,spotify:artist:2EMAnMvWE2eb56ToJVfCWs,pop rap,rap,trap,,,,,,,,,
https://open.spotify.com/artist/41MozSoPIsD1dJM0CLPjZF,,18987627,k-pop,k-pop girl group,https://api.spotify.com/v1/artists/41MozSoPIsD1dJM0CLPjZF,41MozSoPIsD1dJM0CLPjZF,640,https://i.scdn.co/image/8655f0fdf5f2d897af934be45f5a40fc7afa29cd,640,320,https://i.scdn.co/image/53f18c90a47468bb20eaabb57845551040e925c9,320,160,https://i.scdn.co/image/c1becfeeb0e111f9f1a2b21e82e6be1ac3bae625,160,BLACKPINK,89,artist,spotify:artist:41MozSoPIsD1dJM0CLPjZF,,,,,,,,,,,,
https://open.spotify.com/artist/7n2Ycct7Beij7Dj7meI4X0,,7928890,k-pop,k-pop girl group,https://api.spotify.com/v1/artists/7n2Ycct7Beij7Dj7meI4X0,7n2Ycct7Beij7Dj7meI4X0,640,https://i.scdn.co/image/8b433d593721665572d1cff5d3770385354e9ccf,640,320,https://i.scdn.co/image/e71a2a8a600abca334f83ca19c31c7573d67d5e6,320,160,https://i.scdn.co/image/a269ed20fa2063b365688e52cbcdde9eb7e8fefc,160,TWICE,85,artist,spotify:artist:7n2Ycct7Beij7Dj7meI4X0,,,,,,,,,,,,
https://open.spotify.com/artist/6UBA15slIuadJ8h2lPRPos,,1885976,hip hop,kansas city hip hop,https://api.spotify.com/v1/artists/6UBA15slIuadJ8h2lPRPos,6UBA15slIuadJ8h2lPRPos,640,https://i.scdn.co/image/51f88e794401a338e9df945883c3c6a081451a63,640,320,https://i.scdn.co/image/bf8620753d9ea92623654686da01c16dac1925f2,320,160,https://i.scdn.co/image/f8498a95d0e21f42b2d0eb3b032ccf253955469c,160,Tech N9ne,75,artist,spotify:artist:6UBA15slIuadJ8h2lPRPos,pop rap,rap,,,,,,,,,,
https://open.spotify.com/artist/2dIgFjalVxs4ThymZ67YCE,,3830790,k-pop,k-pop boy group,https://api.spotify.com/v1/artists/2dIgFjalVxs4ThymZ67YCE,2dIgFjalVxs4ThymZ67YCE,640,https://i.scdn.co/image/3c5decda22914c589e7d3622e752de1b547d62ce,640,320,https://i.scdn.co/image/1a8e8a79e062ff418cafa3bcbbe0849fdc200108,320,160,https://i.scdn.co/image/14ffa68a22af55ea4d36e5c6105b6b49a457d13c,160,Stray Kids,80,artist,spotify:artist:2dIgFjalVxs4ThymZ67YCE,,,,,,,,,,,,
https://open.spotify.com/artist/2AfmfGFbe0A0WsTYm0SDTx,,2249847,k-pop,k-pop girl group,https://api.spotify.com/v1/artists/2AfmfGFbe0A0WsTYm0SDTx,2AfmfGFbe0A0WsTYm0SDTx,640,https://i.scdn.co/image/6744b6a37d1c29cb5fc626795106257549730724,640,320,https://i.scdn.co/image/780f680fea9ec3b744107dfeccbed18ceeb19252,320,160,https://i.scdn.co/image/804977eed459f0ffdccafa53bc206208519ee654,160,(G)I-DLE,79,artist,spotify:artist:2AfmfGFbe0A0WsTYm0SDTx,,,,,,,,,,,,
https://open.spotify.com/artist/0ghlgldX5Dd6720Q3qFyQB,,2938903,k-pop,k-pop boy group,https://api.spotify.com/v1/artists/0ghlgldX5Dd6720Q3qFyQB,0ghlgldX5Dd6720Q3qFyQB,640,https://i.scdn.co/image/18dfbe427d7ca7c53ce1ba2db1f2605c8d3375c1,640,320,https://i.scdn.co/image/a4d0a9bbdc0f9865823317f3000e22ec066cc9fe,320,160,https://i.scdn.co/image/d631e8d9c721342273eeb32492fc27229d26c0b4,160,TOMORROW X TOGETHER,77,artist,spotify:artist:0ghlgldX5Dd6720Q3qFyQB,,,,,,,,,,,,
https://open.spotify.com/artist/1z4g3DjTBBZKhvAroFlhOM,,4780308,k-pop,k-pop girl group,https://api.spotify.com/v1/artists/1z4g3DjTBBZKhvAroFlhOM,1z4g3DjTBBZKhvAroFlhOM,640,https://i.scdn.co/image/76f0a6ebc5f5595d21756e66429aa16225e09204,640,320,https://i.scdn.co/image/361ea572e5bd08e5fe67aefbd3fb6e14d5621e79,320,160,https://i.scdn.co/image/fdd314b63c56ed0c70ce93d6396494a9bd30d26b,160,Red Velvet,77,artist,spotify:artist:1z4g3DjTBBZKhvAroFlhOM,,,,,,,,,,,,
